text,text_preprocessed,LEN
"Sidarta (Siddharta Gautama, o Buddha Gautama) i man bilong [[India]].",Sidarta i man bilong India,5
"Planti man o meri ol i kolim ""[[Buda]]"" tasol.",Planti man o meri ol i kolim Buda tasol,9
"Dispela man i bin stat [[budisim]], o lotu bilong ol Buda.",Dispela man i bin stat budisim o lotu bilong ol Buda,11
Mama bilong [[Sidarta]] i karim long [[India]] long yia samting olsem 563 bipo Kraist.,Mama bilong Sidarta i karim long India long yia samting olsem bipo Kraist,13
"Igat planti olpela stori long [[Sidarta]], o [[Buda]].",Igat planti olpela stori long Sidarta o Buda,8
[[Ating]] sampela stori i tru na sampela stori i no tru.,Ating sampela stori i tru na sampela stori i no tru,11
"Tasol, manmeri bilong toksave histori, o toksave long taim bipo tru, ol i tingting i tru olsem [[Sidarta]] i stap long [[India]] 2500 yia bipo.",Tasol manmeri bilong toksave histori o toksave long taim bipo tru ol i tingting i tru olsem Sidarta i stap long India yia bipo,24
Olpela stori ol i tok olsem [[papa]] bilong sidarta em i king.,Olpela stori ol i tok olsem papa bilong sidarta em i king,12
"Taim i pikinini yet, [[Sidarta]] i got planti moni.",Taim i pikinini yet Sidarta i got planti moni,9
[[Papa]] bilongen i holimpasim na [[Sidarta]] i no bungim wanpela trabel yet.,Papa bilongen i holimpasim na Sidarta i no bungim wanpela trabel yet,12
"Tasol taim [[Sidarta]] i kamap 29 krismas em i wok autsait long haus bilong king na i lukim 4pela samting: em i lukim olpela man, sikpela man, man i dai pinis, na gutpela man i gat no haus.",Tasol taim Sidarta i kamap krismas em i wok autsait long haus bilong king na i lukim pela samting em i lukim olpela man sikpela man man i dai pinis na gutpela man i gat no haus,37
"Long dispela taim igo, [[Sidarta]] i tingting long dispela foapela samting tasol.",Long dispela taim igo Sidarta i tingting long dispela foapela samting tasol,12
"[[Sidarta]] tu, em i traim painim hamamas long pasin asetik long taim bilong 7pela yia.",Sidarta tu em i traim painim hamamas long pasin asetik long taim bilong pela yia,15
Em i wokim wokim [[meditesen]].,Em i wokim wokim meditesen,5
"Ol i as bilong [[budisim]], o lotu bilong ol Buda.",Ol i as bilong budisim o lotu bilong ol Buda,10
Agnetha Åse Fältskog (5 Epril 1950-) i bin stap [[Suwidan]] musiker.,Agnetha Åse Fältskog i bin stap Suwidan musiker,8
[[Man]] i wokim manesmen ol i kolim manager.,Man i wokim manesmen ol i kolim manager,8
"I gat planti skul bilong lainim manesmen, ispeseli long [[USA]].",I gat planti skul bilong lainim manesmen ispeseli long USA,10
"Ferdinand de Saussure (Novemba 26, 1857 - Februeri 22, [[1913]]) em i man bilong Swisalan.",Ferdinand de Saussure em i man bilong Swisalan,8
.jo em i Intanet kod bilong kantri [[Jordan]].,jo em i Intanet kod bilong kantri Jordan,8
Olaf Stapledon (1886-1950) i bin raita bilong [[Inglan]].,Olaf Stapledon i bin raita bilong Inglan,7
Olaf Stapledon i bin stap man bilong [[pilosopi]].,Olaf Stapledon i bin stap man bilong pilosopi,8
"Em i bin tok laikim, save na [[at]] ol i gut tru.",Em i bin tok laikim save na at ol i gut tru,12
"Tok Koria (Tok Koria: ""한국어, 韓國語, Hangugeo"") em i tokples bilong kantri [[Koria]].",Tok Koria em i tokples bilong kantri Koria,8
.香港 em i Intanet kod bilong kantri [[Hong Kong]].,香港 em i Intanet kod bilong kantri Hong_Kong,8
Wanpela Papua Niugini Nasinel Ragbi Lig stap wanpela nasinel lig bilong [[Papua Niugini]].,Wanpela Papua Niugini Nasinel Ragbi Lig stap wanpela nasinel lig bilong Papua_Niugini,12
Elvis Aron Presley (1935 – 1977) i bin [[Amerika]] music sing sing ol i kolim King of rock 'n roll.,Elvis Aron Presley i bin Amerika music sing sing ol i kolim King of rock n roll,17
[[Judaisim]] i [[lotu]] bilong ol Juda.,Judaisim i lotu bilong ol Juda,6
"Šiprage – (Шипраге) em i [[Bosnia na Hesegovina]], kantri bilong Sauten Yurop.",Šiprage em i Bosnia_na_Hesegovina kantri bilong Sauten Yurop,8
.vu em i Intanet kod bilong kantri [[Vanuatu]].,vu em i Intanet kod bilong kantri Vanuatu,8
" em i wanpela taun long Soria provins, Castile na León, [[Spen]].",em i wanpela taun long Soria provins Castile na León Spen,11
Em lainim Tok Pisin na painim tupela nupela kain binatang na wokim liklik wok wantaim [[Larry Orsak]].,Em lainim Tok Pisin na painim tupela nupela kain binatang na wokim liklik wok wantaim Larry_Orsak,16
Em i speselist bilong binatang na sayor na pablisim long [[ivolusan]] bilong ol .,Em i speselist bilong binatang na sayor na pablisim long ivolusan bilong ol,13
"Planet (long Tok Inglis: ""Planet"") istap nem bilong olgeta ston i go nabaut [[San]] o narapela sta.",Planet istap nem bilong olgeta ston i go nabaut San o narapela sta,13
[[Mun]] istap nem bilong ol liklik ston i go nabaut planet.,Mun istap nem bilong ol liklik ston i go nabaut planet,11
[[San]] bilong yumi i gat etpela planet.,San bilong yumi i gat etpela planet,7
Piluto bin planet tasol nau olgeta manmeri bilong [[Estronomi]] i kolim dispela liklik planet.,Piluto bin planet tasol nau olgeta manmeri bilong Estronomi i kolim dispela liklik planet,14
Manmeri bilong [[Estronomi]] i got save long 209 narapela planet.,Manmeri bilong Estronomi i got save long narapela planet,9
Ol I Go Nabaut [[San]].,Ol I Go Nabaut San,5
Nem bilong olgeta planet i go nabaut [[San]] i kam long nem bilong god bilong [[Rom]].,Nem bilong olgeta planet i go nabaut San i kam long nem bilong god bilong Rom,16
Nem bilong sampela [[Mun]] i kam long stori Shakespeare raitim.,Nem bilong sampela Mun i kam long stori Shakespeare raitim,10
Dispela istap ol planet i go nabaut [[San]].,Dispela istap ol planet i go nabaut San,8
Numba wan istap klostu long [[San]].,Numba wan istap klostu long San,6
Cloudy Bay i wanpela lokol gavman eria long [[Sentral Provins]].,Cloudy Bay i wanpela lokol gavman eria long Sentral_Provins,9
Mendi em i [[kapitol]] na taun bikpela tumas bilong [[Sauten Hailans]] provins long [[Papua Niugini]].,Mendi em i kapitol na taun bikpela tumas bilong Sauten Hailans provins long Papua Niugini,15
Daulo emi wanpela distrik long [[Isten Hailans]] provins.,Daulo emi wanpela distrik long Isten_Hailans provins,7
"Em i bin gat olsem 30,000 manmeri long em long yia [[2000]].",Em i bin gat olsem manmeri long em long yia,10
Esia em i wanpela [[kontinen]]t bigpela moa yet lo olgeta narapela kontinent.,Esia em i wanpela kontinent bigpela moa yet lo olgeta narapela kontinent,12
"Nem bilong rijen na[[kantri]] o teritori, wantaim plak !",Nem bilong rijen nakantri o teritori wantaim plak,8
"Đồng Hới emi wanpela taun long Quảng Bình provins, Bac Trung Bo, [[Vietnam]].",Đồng Hới emi wanpela taun long Quảng Bình provins Bac Trung Bo Vietnam,13
Donald Trump em i presiden bilong [[Ol Yunaitet Stet]].,Donald Trump em i presiden bilong Ol_Yunaitet_Stet,7
Em save laik ol [[giaman tiori]] na tokim ol long giamanim ol manmeri.,Em save laik ol giaman_tiori na tokim ol long giamanim ol manmeri,12
Presiden i winim emi [[Joe Biden]].,Presiden i winim emi Joe_Biden,5
Sanna Marin (Novemba 16 [[1985]]) i praim minista bilong [[Pinlan]].,Sanna Marin i praim minista bilong Pinlan,7
"I gat dispela kain diwai long ples hat olsem long Pasifik, [[Esia]] na hap is bilong [[Aprika]].",I gat dispela kain diwai long ples hat olsem long Pasifik Esia na hap is bilong Aprika,17
"Siaman(i) oa Je(r)man(i) (, ) emi wanpela [[kantri]] long [[Yurop]].",Siaman oa Jeman emi wanpela kantri long Yurop,8
Em i stap arere long kantri Pranis na [[Holan]].,Em i stap arere long kantri Pranis na Holan,9
Kampani na gavman bilong Siamani i bin bosim noten hap bilong [[Papua Niugini]] long taim bipo inap long yia 1914.,Kampani na gavman bilong Siamani i bin bosim noten hap bilong Papua_Niugini long taim bipo inap long yia,18
Oli kolim dispela hap bilong Papua Niugini long dispela taim [[Siaman Niugini]].,Oli kolim dispela hap bilong Papua Niugini long dispela taim Siaman_Niugini,11
Siamani em i asples bilong [[Martin Luther]] na [[Albert Einstein]].,Siamani em i asples bilong Martin_Luther na Albert Einstein,9
[[Kapitol]] na bikpela taun bilong kantri emi [[Berlin]].,Kapitol na bikpela taun bilong kantri emi Berlin,8
Plak bilong [[Nowe]] i mak olsem ofisel plak bilong kantri long 13 Julai 1821.,Plak bilong Nowe i mak olsem ofisel plak bilong kantri long Julai,12
.sg em i Intanet kod bilong kantri [[Singapore]].,sg em i Intanet kod bilong kantri Singapore,8
Popondetta em i [[kapitol]] na taun bikpela tumas bilong [[Oro]] provins long [[Papua Niugini]].,Popondetta em i kapitol na taun bikpela tumas bilong Oro provins long Papua Niugini,14
"Long [[1951]], Lamington mauntain i paia na bagarapim Popondetta.",Long Lamington mauntain i paia na bagarapim Popondetta,8
"Tok Hawai (Tok Hawai: ""ʻōlelo Hawaiʻi"", ) em i wanpela tokples bilong stet Hawai long [[Ol Yunaitet Stet]].",Tok Hawai em i wanpela tokples bilong stet Hawai long Ol_Yunaitet_Stet,11
Alfabet bilong Tok [[Hawai]].,Alfabet bilong Tok Hawai,4
Em i gat 13 leta long alfabet bilong [[tok]] [[Hawai]].,Em i gat leta long alfabet bilong tok Hawai,9
Jun i [[mun]] namba faiv bilong [[yia]] long Kalenda Pop Gregori.,Jun i mun namba faiv bilong yia long Kalenda Pop Gregori,11
Dispela mun i gat 30 [[de]].,Dispela mun i gat de,5
Flóra Kádár (1928-2003) i bin actress bilong [[Hangari]].,Flóra Kádár i bin actress bilong Hangari,7
"Mama i karim August 4, 1928 long [[Budapest]], em i dai pinis long January 3, 2003.",Mama i karim August long Budapest em i dai pinis long January,12
em i Intanet kod bilong kantri [[Ijip]].,em i Intanet kod bilong kantri Ijip,7
"Pet stap wanpela biktaun bilong [[Wes Ostrelia]], [[Ostrelia]].",Pet stap wanpela biktaun bilong Wes_Ostrelia Ostrelia,7
The Rolling Stones i paspas bilong [[Bikpela Briten]].,The Rolling Stones i paspas bilong Bikpela_Briten,7
Brasil em i wanpela [[kantri]] long [[Saut Amerika]].,Brasil em i wanpela kantri long Saut Amerika,8
[[Kapitol]] long emi Brasilia.,Kapitol long emi Brasilia,4
"Sampela bigpela famili bilong tokples: Sampela tokples ol i nogat famili bilong ol, olsem Tok Bask, [[Tokples Siapan]], na Tokples Korea.",Sampela bigpela famili bilong tokples Sampela tokples ol i nogat famili bilong ol olsem Tok Bask Tokples_Siapan na Tokples Korea,20
Riga i [[kapitol]] bilong [[Latvia]].,Riga i kapitol bilong Latvia,5
"Plak bilong [[Samoa]] i mak olsem ofisel plak bilong kantri long Februeri 24, [[1949]].",Plak bilong Samoa i mak olsem ofisel plak bilong kantri long Februeri,12
"Sek Ripablik, o Jek Ripablik (""Sekia"" o ""Jekia""; , ""Czechia""; , ""Česko"") em i wanpela kantri long [[Yurop]].",Sek Ripablik o Jek Ripablik em i wanpela kantri long Yurop,11
"Kantri we i klostu long em i [[Siamani]], [[Polan]], [[Ostria]], na [[Slovakia]].",Kantri we i klostu long em i Siamani Polan Ostria na Slovakia,12
Belarus em i wanpela kantri bilong isten [[Yurop]].,Belarus em i wanpela kantri bilong isten Yurop,8
Tok Nowe emi wanpela tokples bilong kantri [[Nowe]].,Tok Nowe emi wanpela tokples bilong kantri Nowe,8
.ua em i Intanet kod bilong kantri [[Yukren]].,ua em i Intanet kod bilong kantri Yukren,8
Binumarien em i wanpela tok ples bilong [[Papua Niugini]].,Binumarien em i wanpela tok ples bilong Papua_Niugini,8
Tasol namba bilong en i bin i go daun as olsem planti i [[dai]] bilong fait na sik malaria.,Tasol namba bilong en i bin i go daun as olsem planti i dai bilong fait na sik malaria,19
"Kens stap wanpela biktaun bilong [[Kwinslan]], [[Ostrelia]].",Kens stap wanpela biktaun bilong Kwinslan Ostrelia,7
Wabag em i [[kapitol]] na taun bikpela tumas bilong [[Enga]] provins na [[Wabag Central]] district.,Wabag em i kapitol na taun bikpela tumas bilong Enga provins na Wabag Central district,15
"Mama i karim em long [[Februeri]] 21, yia [[1989]] long Brooklyn, [[Niu Yok Siti]], Niu Yok, USA.",Mama i karim em long Februeri yia long Brooklyn Niu Yok Siti Niu Yok USA,15
Danidin i wanpela siti long [[Saut Ailan]] bilong [[Niu Silan]].,Danidin i wanpela siti long Saut_Ailan bilong Niu Silan,9
"Edirne (Tok Teki: Edirne; [[Tok Gris]]: Αδριανούπολη, ""Adrianoúpoli""; [[Tok Balgeria]]: Одрин, ""Odrin""; [[Tok Latin]]: ""Hadrianopolis""), em i stap long siti bilong kantri, [[Teki]].",Edirne em i stap long siti bilong kantri Teki,9
[[Saut Amerika]] Saut Amerika em i wanpela hap bilong [[kontinen]] [[Amerika]].,Saut_Amerika Saut Amerika em i wanpela hap bilong kontinen Amerika,10
Igat tupela narapela hap bilong Amerika: [[Not Amerika]] na [[Sentrel Amerika]].,Igat tupela narapela hap bilong Amerika Not_Amerika na Sentrel Amerika,10
Kambra () em i wanpela biktaun long [[Ostrelia]].,Kambra em i wanpela biktaun long Ostrelia,7
"Em i [[kapitol]] bilong [[kantri]], na ol opis bilong nesenal [[gavman]] i stap long Kambra.",Em i kapitol bilong kantri na ol opis bilong nesenal gavman i stap long Kambra,15
Oro em i wanpela provins long [[Papua Niugini]].,Oro em i wanpela provins long Papua_Niugini,7
[[Popondetta]] em i [[kapitol]] na taun bikpela tumas bilong em.,Popondetta em i kapitol na taun bikpela tumas bilong em,10
Mekeo i wanpela lokol gavman eria long [[Sentral Provins]].,Mekeo i wanpela lokol gavman eria long Sentral_Provins,8
Nicolas Sarkozy i presiden bilong [[Frens]].,Nicolas Sarkozy i presiden bilong Frens,6
Em i kamap presiden wonpela taim: long yia [[2007]] na long yia 2012.,Em i kamap presiden wonpela taim long yia na long yia,11
Mama i karim em long January 28 bilong yia [[1955]].,Mama i karim em long January bilong yia,8
"Berne (""Bern"" long Tok Siamani) em i wanpela taun long [[Suwisalan]].",Berne em i wanpela taun long Suwisalan,7
"Em i [[kapitol]] bilong [[kantri]], na ol opis bilong nesenal [[gavman]] i stap long Berne.",Em i kapitol bilong kantri na ol opis bilong nesenal gavman i stap long Berne,15
Wik em i taim i gat seven [[de]].,Wik em i taim i gat seven de,8
Wanpela [[yia]] i gat 52 wik na wanpela o tupela de.,Wanpela yia i gat wik na wanpela o tupela de,10
"Long Tok Inglis, nem bilong ol de bilong wik i kam long got bilong pipel Nos, tasol [[sarere]] i kam long Saten, i got bilong pipel [[Rom]].",Long Tok Inglis nem bilong ol de bilong wik i kam long got bilong pipel Nos tasol sarere i kam long Saten i got bilong pipel Rom,27
"Long [[Tok Pisin]], sampela nem bilong de i wankain nem long Tok Inglis, tasol nem bilong Trinde na Fonde i kamap bilong namba.",Long Tok_Pisin sampela nem bilong de i wankain nem long Tok Inglis tasol nem bilong Trinde na Fonde i kamap bilong namba,22
Dispela sikul emi bikpela olsem i winim klostu olgeta narapela sikul long [[Niu Zilan]].,Dispela sikul emi bikpela olsem i winim klostu olgeta narapela sikul long Niu_Zilan,13
"Plak bilong [[Kiribas]] i mak olsem ofisel plak bilong kantri long Julai 12, [[1979]].",Plak bilong Kiribas i mak olsem ofisel plak bilong kantri long Julai,12
Yia (MMVII) i stat long [[Mande]] long kalenda bilong Gregori.,Yia i stat long Mande long kalenda bilong Gregori,9
[[Kapitol]] long Gyeonggi i Suwon.,Kapitol long Gyeonggi i Suwon,5
.dk em i Intanet kod bilong kantri [[Denmak]].,dk em i Intanet kod bilong kantri Denmak,8
.za em i Intanet kod bilong kantri [[Saut Aprika]].,za em i Intanet kod bilong kantri Saut_Aprika,8
Em tingting ivolusan wok bikos long [[netirel seleksan]].,Em tingting ivolusan wok bikos long netirel_seleksan,7
Ol i kolim criesen bilong unives [[bigpela bang]] (Inglis: Big Bang).,Ol i kolim criesen bilong unives bigpela_bang,7
Planti lain bilip olsem [[Papa]] God crietim [[wol]] na Adam na Eve.,Planti lain bilip olsem Papa God crietim wol na Adam na Eve,12
"Benedict XVI, o Benedik namba 16, em i nem bilong [[pop]] i kamap long Epril 20 long yia [[2005]].",Benedict XVI o Benedik namba em i nem bilong pop i kamap long Epril long yia,16
Em i man bilong [[Siamani]].,Em i man bilong Siamani,5
[[Pop]] i bikpela bos bilong ol [[Katolik]].,Pop i bikpela bos bilong ol Katolik,7
Dakar em i [[kapitol]] na taun bikpela tumas bilong [[kantri]] [[Senegal]] long [[Aprika]].,Dakar em i kapitol na taun bikpela tumas bilong kantri Senegal long Aprika,13
"Ples balus Dong Hoi em i [[ples balus]] long [[Đồng Hới]], Quang Binh provins, Bac Trung Bo, [[Vietnam]].",Ples balus Dong Hoi em i ples_balus long Đồng Hới Quang Binh provins Bac Trung Bo Vietnam,17
Vemont em i wanpela stet bilong [[Ol Yunaitet Stet]] insait long not is long kantri.,Vemont em i wanpela stet bilong Ol_Yunaitet_Stet insait long not is long kantri,13
Bislama emi wanpela [[tokples]] na toktok long bung bilong [[Vanuatu]].,Bislama emi wanpela tokples na toktok long bung bilong Vanuatu,10
Bislama na [[Tok Pisin]] ol i wanlain.,Bislama na Tok_Pisin ol i wanlain,6
Tok Pisin em i wanpela tokples bilong [[Papua Niugini]].,Tok Pisin em i wanpela tokples bilong Papua_Niugini,8
Fiji emi wanpela kantri long [[Osenia]].,Fiji emi wanpela kantri long Osenia,6
Sampela manmeri ikam long [[Fiji]] Ailan long nambawan taim long yia 3500–1000 [[BC]].,Sampela manmeri ikam long Fiji Ailan long nambawan taim long yia BC,12
"Brobergen (Brobargen long tok Nitesiaman) em i viles bilong Landkreis Stade, Niedersachsen long [[Siamani]].",Brobergen em i viles bilong Landkreis Stade Niedersachsen long Siamani,10
"Nem ""Brobergen"" pastaim raitim long 1286 (""[[Brocberge]]"").",Nem Brobergen pastaim raitim long,5
Jisas i man i stap long kantri Juda (nau [[Israel]]) 2000 yia bipo.,Jisas i man i stap long kantri Juda yia bipo,10
Stori long Jisas i kam long [[baibel]].,Stori long Jisas i kam long baibel,7
Taim [[Jisas]] i dai pinis pren bilongen ol i planim long hul insait long ston.,Taim Jisas i dai pinis pren bilongen ol i planim long hul insait long ston,15
Tasol sampela de bihain bodi bilong [[Jisas]] i no stap long hul yet.,Tasol sampela de bihain bodi bilong Jisas i no stap long hul yet,13
Sampela i tingting [[Jisas]] i got laip gen na i save go long heven.,Sampela i tingting Jisas i got laip gen na i save go long heven,14
Man o meri husat i tingting Jisas i got laip gen ol i kolim [[Kristen]].,Man o meri husat i tingting Jisas i got laip gen ol i kolim Kristen,15
"Planti man o meri i no [[Kristen]], tasol ol i tingting Jisas i bin toktok planti gutpela samting, na Jisas i bin skulim planti gutpela pasin.",Planti man o meri i no Kristen tasol ol i tingting Jisas i bin toktok planti gutpela samting na Jisas i bin skulim planti gutpela pasin,26
"Bo (Po, Sorimi) em i ken Left May tokples bilong Niugini, long [[Sandaun]] na [[Is Sepik]] Provins.",Bo em i ken Left May tokples bilong Niugini long Sandaun na Is Sepik Provins,15
"Mainkraft ([[Tok Swidan]]: ""Minecraft"", Tok Inglis: ""Minecraft"") i stap bikpela vidio gem bilong Swidan.",Mainkraft i stap bikpela vidio gem bilong Swidan,8
"Plak bilong [[Papua Niugini]] i mak olsem ofisel plak bilong kantri long Julai 1, [[1971]].",Plak bilong Papua_Niugini i mak olsem ofisel plak bilong kantri long Julai,12
Plak i soim Sauten Kros na [[kumul]].,Plak i soim Sauten Kros na kumul,7
"Plak bilong [[Siaman Niugini]] i blakpela, waitpela na retpela pinis.",Plak bilong Siaman_Niugini i blakpela waitpela na retpela pinis,9
Olpela plak bilong [[Papua Niugini]] bipo.,Olpela plak bilong Papua_Niugini bipo,5
Papua Niugini na [[Wes Papua]] long Indonisia (wes hap bilong ailan [[Niugini]]) i gat planti ples bilong lukautim welabus.,Papua Niugini na Wes_Papua long Indonisia i gat planti ples bilong lukautim welabus,13
George Walker Bush i presiden namba 43 bilong [[Amerika]].,George Walker Bush i presiden namba bilong Amerika,8
Em  i kamap presiden tupela taim: long yia [[2001]] na long yia [[2005]].,Em i kamap presiden tupela taim long yia na long yia,11
George em i pikinini bilong [[George H. W. Bush]] na Barbara Bush.,George em i pikinini bilong George_H_W_Bush na Barbara Bush,9
Mama i karim em long Julai 6 bilong yia [[1946]].,Mama i karim em long Julai bilong yia,8
Lagaip Porgera i wanpela district long [[Enga]].,Lagaip Porgera i wanpela district long Enga,7
Ol Katolik i man o meri bilong wanpela lain bilong [[Kristen]].,Ol Katolik i man o meri bilong wanpela lain bilong Kristen,11
"Pop i gat nau, nem bilongen i [[Benedict XVI]], o Benedik namba 16.",Pop i gat nau nem bilongen i Benedict_XVI o Benedik namba,11
János Áder i presiden namba 5 bilong [[Hangari]].,János Áder i presiden namba bilong Hangari,7
Mama i karim em long Me 9 bilong yia [[1959]] long Csorna.,Mama i karim em long Me bilong yia long Csorna,10
Niu Saut Wels stap wanpela stet bilong [[Ostrelia]].,Niu Saut Wels stap wanpela stet bilong Ostrelia,8
Wanpela [[kapitol]] stap [[Sidni]].,Wanpela kapitol stap Sidni,4
.to em i Intanet kod bilong kantri [[Tonga]].,to em i Intanet kod bilong kantri Tonga,8
Martin Luther em i wanpela man [[Siamani]] (Germany) husait i bin foundim lotu bilong ol Lutheran.,Martin Luther em i wanpela man Siamani husait i bin foundim lotu bilong ol Lutheran,15
Kavieng em i [[kapitol]] na taun bikpela tumas bilong [[Niu Ailan]] provins long [[Papua Niugini]].,Kavieng em i kapitol na taun bikpela tumas bilong Niu Ailan provins long Papua Niugini,15
"Republik long Aialan ([[Tok Aialan]]: ""Poblacht na hÉireann"", ) em i wanpela kantri long ailan [[Aialan]].",Republik long Aialan em i wanpela kantri long ailan Aialan,10
Kapitol na taun bikpela tumas bilong em i [[Dublin]].,Kapitol na taun bikpela tumas bilong em i Dublin,9
Em i gat tupela ofisel tokples: [[Tok Aialan]] na Tok Inglis.,Em i gat tupela ofisel tokples Tok_Aialan na Tok Inglis,10
Republik long Aialan i kisim independens long yia [[1919]].,Republik long Aialan i kisim independens long yia,8
Afghanistan em i wanpela [[kantri]] long [[Esia]].,Afghanistan em i wanpela kantri long Esia,7
[[Kapitol]] long emi Kabul.,Kapitol long emi Kabul,4
"Gol Kos stap wanpela biktaun bilong [[Kwinslan]], [[Ostrelia]].",Gol Kos stap wanpela biktaun bilong Kwinslan Ostrelia,8
Brussels emi kapitol bilong kantri [[Beljiam]].,Brussels emi kapitol bilong kantri Beljiam,6
Sepik o Sipik em i wanpela bikpela wara long [[Papua Niugini]].,Sepik o Sipik em i wanpela bikpela wara long Papua_Niugini,10
Tripela ples long Sipik i gat rot i go long [[Wewak]].,Tripela ples long Sipik i gat rot i go long Wewak,11
