Tokens	Left_Offset	Left	Left_ID	Right_Offset	Right	Right_ID	Property
['I', 'long', 'Slovenia', ',', 'Hangari', ',', 'Serbia', ',', 'Bosnia', '&', 'Herzegovina', '.']	[2]	Slovenia	Q215	[4]	Hangari	Q28	P47
['I', 'long', 'Franis', ',', 'Switzerland', ',', 'Ostria', ',', 'Slovenia', ',', 'San', 'Marino', ',', 'Vatican', 'Siti', '.']	[6]	Ostria	Q40	[8]	Slovenia	Q215	P47
['Katalan', 'hem', 'wan', 'lanwis', 'we', 'olgeta', 'i', 'stap', 'toktok', 'long', 'hem', 'long', 'Katalonia', '(', 'tufala', 'long', 'notis', 'Spain', 'mo', 'saotis', 'Franis', ')', ',', 'Valencian', 'Kaontry', ',', 'Balearik', 'Aelan', ',', 'Andorra', ',', 'Alguer', '(', 'wan', 'siti', 'blong', 'Itali', ')', 'mo', 'wes', 'hafples', 'long', 'Aragon', '.']	[20]	Franis	Q142	[29]	Andorra	Q228	P47
['Katalan', 'hem', 'wan', 'lanwis', 'we', 'olgeta', 'i', 'stap', 'toktok', 'long', 'hem', 'long', 'Katalonia', '(', 'tufala', 'long', 'notis', 'Spain', 'mo', 'saotis', 'Franis', ')', ',', 'Valencian', 'Kaontry', ',', 'Balearik', 'Aelan', ',', 'Andorra', ',', 'Alguer', '(', 'wan', 'siti', 'blong', 'Itali', ')', 'mo', 'wes', 'hafples', 'long', 'Aragon', '.']	[20]	Franis	Q142	[36]	Itali	Q38	P47
['Franz', 'Peter', 'Schubert', '(', '31', 'Januwari', '1797', ',', 'Vienna', '-', '19', 'Novemba', '1828', ',', 'Vienna', ')', 'em', 'i', 'bin', 'wan', 'man', 'blong', 'miusik', 'blong', 'Ostria', '.']	[8]	Vienna	Q1741	[24]	Ostria	Q40	P17
['Franz', 'Peter', 'Schubert', '(', '31', 'Januwari', '1797', ',', 'Vienna', '-', '19', 'Novemba', '1828', ',', 'Vienna', ')', 'em', 'i', 'bin', 'wan', 'man', 'blong', 'miusik', 'blong', 'Ostria', '.']	[8]	Vienna	Q1741	[24]	Ostria	Q40	P17
['Tanna', 'sup', 'hemi', 'wan', 'kakae', 'we', 'hem', 'i', 'kam', 'aut', 'long', 'sauten', 'island', 'blo', 'Vanuatu', 'we', 'oli', 'kolem', 'Tanna', ',', 'fulap', 'lo', 'ol', 'aeland', 'blo', 'Vanuatu', 'tete', 'tu', 'oli', 'stap', 'atoptem', 'kaen', 'stael', 'blo', 'kook', 'ia', '.']	[0]	Tanna	Q378281	[14]	Vanuatu	Q686	P706
['I', 'long', 'Jemani', ',', 'Poland', ',', 'Slovakia', ',', 'Ostria', '.']	[2]	Jemani	Q183	[8]	Ostria	Q40	P47
['I', 'long', 'Jemani', ',', 'Poland', ',', 'Slovakia', ',', 'Ostria', '.']	[6]	Slovakia	Q214	[8]	Ostria	Q40	P47
['William', 'Vennard', '(', 'bon', 'long', '31', 'Januwari', '1909', 'long', 'Norman', 'long', 'Illinois', 'mo', 'bin', 'ded', '10', 'Januwari', '1971', 'long', 'Los', 'Angeles', ')', ',', 'em', 'i', 'bin', 'man', 'blong', 'singsing', 'mo', 'man', 'blong', 'miusikoloji', 'blong', 'Yunaeted', 'Stet', 'blong', 'Amerika', '.']	[19, 20]	Los Angeles	Q65	[34, 35, 36, 37]	Yunaeted Stet blong Amerika	Q30	P17
['I', 'long', 'Jemani', ',', 'Czechia', ',', 'Slovakia', ',', 'Hungary', ',', 'Slovenia', ',', 'Itali', ',', 'Switzerland', ',', 'Liechtenstein', '.']	[10]	Slovenia	Q215	[12]	Itali	Q38	P47
['I', 'saot', 'long', 'Franis', 'mo', 'Andorra', 'mo', 'is', 'long', 'Portugal', '.']	[3]	Franis	Q142	[5]	Andorra	Q228	P530
['Exsampol', ',', 'kapitol', 'blong', 'Vanuatu', 'i', 'Port', 'Vila', 'mo', 'kapital', 'blong', 'Ostrelia', 'i', 'Canberra', '.']	[4]	Vanuatu	Q686	[6, 7]	Port Vila	Q37806	P36
['I', 'long', 'Estonia', ',', 'Rusia', ',', 'Belarus', ',', 'Litwania', '.']	[6]	Belarus	Q184	[8]	Litwania	Q37	P530
['Abraham', 'Lincoln', '(', 'bon', 'long', '12', 'Februari', '1809', 'long', 'Sinking', 'Spring', 'Farm', 'long', 'Kentucky', '–', 'bin', 'ded', '15', 'Epril', '1865', 'long', 'Washington', ',', 'D.C.', ')', ',', 'em', 'i', 'bin', 'hed', 'blong', 'stet', 'blong', 'Yunaeted', 'Stet', 'blong', 'Amerika', ',', 'stat', 'long', '1861', ',', 'kasem', '1865', '.']	[13]	Kentucky	Q1603	[33, 34, 35, 36]	Yunaeted Stet blong Amerika	Q30	P131
['Pipol', 'i', 'bin', 'mekem', 'pepa', 'fastaem', 'long', 'Jaena', 'long', '105', 'B.K.', 'Long', 'Jaena', ',', 'pepa', 'i', 'kamtru', 'long', 'India', ',', 'long', 'Middle', 'East', ',', 'mo', 'long', 'Itali', '.']	[18]	India	Q668	[26]	Itali	Q38	P530
['Sophia', 'Loren', '(', 'bon', 'long', 'Rome', 'long', '11', 'Septemba', '1934', ')', ',', 'em', 'i', 'akta', 'blong', 'Itali', '.']	[5]	Rome	Q220	[16]	Itali	Q38	P17
['Port', 'Vila', 'Market', ',', 'hem', 'i', 'sentrol', 'maket', 'long', 'kapitol', 'Port', 'Vila', 'blong', 'Vanuatu', '.']	[0, 1]	Port Vila	Q37806	[13]	Vanuatu	Q686	P17
['Milena', 'Miconi', '(', 'bon', 'long', '15', 'Desemba', '1971', 'long', 'Rome', ')', ',', 'em', 'i', 'akta', 'blong', 'Itali', '.']	[9]	Rome	Q220	[16]	Itali	Q38	P17
['Oli', 'Austronesian', ',', 'olsem', 'ol', 'man', 'blong', 'Vanuatu', 'mo', 'ol', 'narafala', 'manples', 'blong', 'Saot', 'Pasifik', '.']	[7]	Vanuatu	Q686	[14]	Pasifik	Q98	P1589
"['Halle', 'Maria', 'Berry', '(', 'bon', 'long', '14', 'Ogis', '1966', 'long', 'Cleveland', ',', 'Ohio', ')', ',', 'em', 'i', 'wan', 'akta', 'blong', 'filem', 'mo', 'foma', '""', 'model', '""', 'blong', 'Yunaeted', 'Stet', 'blong', 'Amerika', '.']"	[10, 11, 12]	Cleveland, Ohio	Q37320	[27, 28, 29, 30]	Yunaeted Stet blong Amerika	Q30	P17
['I', 'long', 'Denmark', ',', 'Poland', ',', 'Czechia', ',', 'Ostria', ',', 'Switzerland', ',', 'Franis', ',', 'Luxembourg', ',', 'Beljiom', ',', 'Neselan', '.']	[12]	Franis	Q142	[16]	Beljiom	Q31	P47
['I', 'long', 'Denmark', ',', 'Poland', ',', 'Czechia', ',', 'Ostria', ',', 'Switzerland', ',', 'Franis', ',', 'Luxembourg', ',', 'Beljiom', ',', 'Neselan', '.']	[16]	Beljiom	Q31	[18]	Neselan	Q55	P47
