Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
Valdehrodiyah ah wah monicipality inna di Province ah Soria Casteel an Leon Spain .,Valdehrodiyah,Soria,Q834027,Q55276,P131
"Agraydah ah wah monicipality inna di Province ah Soria, Casteel an Leon, Spain .",Agraydah,Soria,Q39856,Q55276,P131
Hydrogen a wah chemical element wid chemical simbal H an atamic numba wan .,Hydrogen,chemical element,Q556,Q11344,P31
Bangladesh ah wah savrin cuntry inna Asia .,Bangladesh,Asia,Q902,Q48,P30
Bogota a di capital fi Colombia .,Bogota,Colombia,Q2841,Q739,P1376
Batswana a wah cuntry inna Africa .,Batswana,Africa,Q963,Q15,P30
Brussels ah di capital fi Beljum .,Brussels,Beljum,Q239,Q31,P1376
"Seewella ah wah monicipality inna di Province ah Soria, Casteel an Leon, Spain .",Seewella,Soria,Q841496,Q55276,P131
Fantine Rodriquez To ah wah singah wey cum frah Brazil .,Fantine Rodriquez To,singah,Q10280031,Q177220,P106
Jack Sherach use to bi di president ah France .,Jack Sherach,president ah France,Q2105,Q191954,P39
Cappa ah wah chemical element wid simbal Cu an atamic numba 29 .,Cappa,chemical element,Q753,Q11344,P31
Aluminum a wah chemical element inna di Boron group wid symbal AL an atomic numba 13 .,Aluminum,chemical element,Q663,Q11344,P31
Hanova a wah city inna Germany .,Hanova,Germany,Q1715,Q183,P17
Ion a wa chemical element wid symbal Fe an atomic numba 26 .,Ion,chemical element,Q677,Q11344,P31
Berlin a di capital fi Germany .,Berlin,Germany,Q64,Q183,P1376
Brazilia a di capital fi Brazil .,Brazilia,Brazil,Q2844,Q155,P1376
"Derby a wah city inna England, United Kingdom .",Derby,"England, United Kingdom",Q43475,Q145,P131
Di capital a Portugal name Lisban .,Portugal,Lisban,Q45,Q597,P36
Carbon a wah chemical element C an di atomic numba 6 .,Carbon,chemical element,Q623,Q11344,P31
London a the capital fi England an di United Kingdom .,London,England,Q84,Q21,P1376
Lenard Norman Cohen a wah Canadian singa .,Lenard Norman Cohen,singa,Q1276,Q177220,P106
Lordy a wah rock band from Finland .,Lordy,Finland,Q23471,Q33,P495
Luciana Andrade a wah Brazilian singa .,Luciana Andrade,singa,Q10320248,Q177220,P106
Ronald Wilson Reagan di a di fortieth presi a di USA .,Ronald Wilson Reagan,presi a di USA,Q9960,Q11696,P39
Slovakia a wah country inna Europe .,Slovakia,Europe,Q214,Q46,P30
Slovenia a wah countri inna Urope .,Slovenia,Urope,Q215,Q46,P30
Di capital a tipae an di official language a mandarin .,tipae,mandarin,Q1867,Q9192,P2936
Figi a wah country ina Oceania .,Figi,Oceania,Q712,Q538,P30
George walker Bush a di 43rd president a di United states .,George walker Bush,president a di United states,Q207,Q11696,P39
Gold a wah chemical element wid di symbol au an di atomic numba 79 .,Gold,chemical element,Q897,Q11344,P31
Cambodia a wah sovereign country ina asia .,Cambodia,asia,Q424,Q48,P30
Madagascar a wah country ina africa .,Madagascar,africa,Q1019,Q15,P30
Moscow a d capital fi russia .,Moscow,russia,Q649,Q159,P1376
Mataus rocha dah silva a wah Brazilian singa .,Mataus rocha dah silva,singa,Q43193060,Q177220,P106
Natalie dessae a wah singa from france .,Natalie dessae,singa,Q241030,Q177220,P106
Nightwish a wah rock band from Finland .,Nightwish,Finland,Q43510,Q33,P495
Poland a wah country ina Central Europe .,Poland,Europe,Q36,Q46,P30
Silva a di chemical element wid di atomic numba 47 .,Silva,chemical element,Q1090,Q11344,P31
Sulfa a di chemical element wid symbol s an atomic numba 16 .,Sulfa,chemical element,Q682,Q11344,P31
Vybz Kartel (real name adijah asim palmer) a wah Jamaican rappa singa an dj from portmore jamaica .,Vybz Kartel,singa,Q1357035,Q177220,P106
Uranium a wah chemical element wid symbol u an atomic numba 92 .,Uranium,chemical element,Q1098,Q11344,P31
Kirgis a di official language inna kirgistan .,Kirgis,kirgistan,Q9255,Q813,P17
"Adradas a one munucipality inna di province a sorea, Castile and lion, Spain .",Adradas,sorea,Q829225,Q55276,P131
Oxygen a one chemical element wid symbol o and atomic numba 8 .,Oxygen,chemical element,Q629,Q11344,P31
Beijing a di capital fi the people’s republic a china .,Beijing,the people’s republic a china,Q956,Q148,P1376
"Surwales del rio a one municipality inna di province a sorea, castele and Lion, Spain .",Surwales del rio,sorea,Q835700,Q55276,P131
Daka a di capital a di biggest city inna Bangladesh .,Daka,Bangladesh,Q1354,Q902,P1376
Harris Lily Crosby a one American singa .,Harris Lily Crosby,singa,Q72984,Q177220,P106
Helium a one chemical element wid symbol He and atomic numba 2 .,Helium,chemical element,Q560,Q11344,P31
Di capital a Warsaw and di official language a Polish .,Warsaw,Polish,Q270,Q809,P37
Kirgis a di official language inna kirgistan .,Kirgis,kirgistan,Q9255,Q813,P2341
"Leicester a one city inna england, united kingdom .",Leicester,united kingdom,Q83065,Q145,P131
Liechtenstein a one country inna Europe .,Liechtenstein,Europe,Q347,Q46,P30
Lisbon a di capital a Portugal .,Lisbon,Portugal,Q597,Q45,P1376
Luxemburg a one country inna Europe .,Luxemburg,Europe,Q32,Q46,P30
Marshall Islands a one country inna Oceania .,Marshall Islands,Oceania,Q709,Q538,P30
Nitrogen a one chemical element wid symbol N and atomic numba 7 .,Nitrogen,chemical element,Q627,Q11344,P31
Nicolas sarcozy used to be the prezident a france .,Nicolas sarcozy,prezident a france,Q329,Q191954,P39
"La Locia  a whaan municipality ina the province of Soria , castile an Leon , Spain .",La Locia,Soria,Q837352,Q55276,P131
"Matamala de Almazan a wah municipality inna di provins a Soria, castille an Leon , spain .",Matamala de Almazan,Soria,Q836175,Q55276,P131
"New Castle Upan Tine a whaan city Ina England, United Kingdom .",New Castle,United Kingdom,Q82878,Q145,P131
Palawho a whaan contri ina oceonya .,Palawho,oceonya,Q695,Q538,P30
Reunion a  whaan territary ina Africa .,Reunion,Africa,Q17070,Q15,P30
Romania a whaan contri ina urope .,Romania,urope,Q218,Q46,P30
"Shikomor , di ofishal languij ina Komoros ah azwel spiik ina Mayot ( Shimaore ) , rilietid tuo Swayili .",Shikomor,Komoros,Q33077,Q970,P495
South Sudan a whaan contri Ina Africa .,South Sudan,Africa,Q958,Q15,P30
Sweedn a whaa nardik contri Ina narden urope .,Sweedn,urope,Q34,Q46,P30
"Ucero a whaan municipality ina the province of Soria , castile an Leon , Spain .",Ucero,Soria,Q835085,Q55276,P131
"Arancon a whaan municipality ina the province of Soria, castile an Leon , Spain .",Arancon,Soria,Q36805,Q55276,P131
"Bashunta, Jona Eric Althburg a whaan singa and Dj from Sweden .",Bashunta,singa,Q383541,Q177220,P106
Di kapital a masco an di ofishal lanwich a Russian .,masco,Russian,Q649,Q7737,P2936
Di kapital a masco an di ofishal lanwich a Russian .,masco,Russian,Q649,Q7737,P37
"Fuwentiarmagill a whaan municipality ina the province of Soria , castile an Leon , Spain .",Fuwentiarmagill,Soria,Q832389,Q55276,P131
"Fuwenticambran a whaan municipality ina the province of Soria , castile an Leon , Spain .",Fuwenticambran,Soria,Q832009,Q55276,P131
Kuwait a wah saverign countri inna Asia .,Kuwait,Asia,Q817,Q48,P30
