text,text_clean,text_ents
Nem ofisel long Sol i Sipesol Taun bilong Sol.,Nem ofisel long Sol i Sipesol Taun bilong Sol,Nem ofisel long Sol i Sipesol Taun bilong Sol
"[[Sol]] i gat 9 milien manmeri long em, na i gat sampela taun klostu long [[Sol]] tu.",Sol i gat milien manmeri long em na i gat sampela taun klostu long Sol tu,Sol i gat milien manmeri long em na i gat sampela taun klostu long Sol tu
[[Sol]] na ol taun klostu long em wantaim igat 21 milien manmeri.,Sol na ol taun klostu long em wantaim igat milien manmeri,Sol na ol taun klostu long em wantaim igat milien manmeri
" emi wanpela taun long Soria provins, Castile na León, [[Spen]].",emi wanpela taun long Soria provins Castile na León Spen,emi wanpela taun long Soria provins Castile na León Spen
"[[Wikimedia Commons]] emi wanpela pat long [[Wikimedia Foundation]], kipim olgeta free photo na music .",Wikimedia Commons emi wanpela pat long Wikimedia Foundation kipim olgeta free photo na music,Wikimedia_Commons emi wanpela pat long Wikimedia Foundation kipim olgeta free photo na music
"Ol Otodos, o Kristen Otodos, o Otodos Kristen ol i manmeri bilong wanpela lain bilong [[Kristen]].",Ol Otodos o Kristen Otodos o Otodos Kristen ol i manmeri bilong wanpela lain bilong Kristen,Ol Otodos o Kristen Otodos o Otodos Kristen ol i manmeri bilong wanpela lain bilong Kristen
"Ol Kristen ol i manmeri ol i lotuim [[Jisas]], o Krais(t), na ol i ting olsem Jisas em i Got i kam long Graun.",Ol Kristen ol i manmeri ol i lotuim Jisas o Kraist na ol i ting olsem Jisas em i Got i kam long Graun,Ol Kristen ol i manmeri ol i lotuim Jisas o Kraist na ol i ting olsem Jisas em i Got i kam long Graun
"Insait long Kristen, i gat kainkain lain.",Insait long Kristen i gat kainkain lain,Insait long Kristen i gat kainkain lain
"Ol Otodos i lain i ting olsem bikpela bos bilong [[Sios]] em i Krais, na Sios em i olsem bodi bilong Krais.",Ol Otodos i lain i ting olsem bikpela bos bilong Sios em i Krais na Sios em i olsem bodi bilong Krais,Ol Otodos i lain i ting olsem bikpela bos bilong Sios em i Krais na Sios em i olsem bodi bilong Krais
I gat samting olsem 300 milion man o meri ol i kolim yet Kristen Otodos long Graun.,I gat samting olsem milion man o meri ol i kolim yet Kristen Otodos long Graun,I gat samting olsem milion man o meri ol i kolim yet Kristen Otodos long Graun
Planti Kristen Otodos ol i stap long Rusia na [[Gris]].,Planti Kristen Otodos ol i stap long Rusia na Gris,Planti Kristen Otodos ol i stap long Rusia na Gris
"Tok Hangari (Tok Hangari: ""magyar"") em i tokples bilong kantri [[Hangari]].",Tok Hangari Tok Hangari magyar em i tokples bilong kantri Hangari,Tok Hangari Tok Hangari magyar em i tokples bilong kantri Hangari
Tok Hangari em i ofisel tokples bilong kantri.,Tok Hangari em i ofisel tokples bilong kantri,Tok Hangari em i ofisel tokples bilong kantri
"Sidni (Tok Inglis: ""Sydney"") stap wanpela biktaun bilong [[Niu Saut Wels]], [[Ostrelia]] na wanpela bigis biktaun bilong Ostrelia na Oseania.",Sidni Tok Inglis Sydney stap wanpela biktaun bilong Niu Saut Wels Ostrelia na wanpela bigis biktaun bilong Ostrelia na Oseania,Sidni Tok Inglis Sydney stap wanpela biktaun bilong Niu_Saut_Wels Ostrelia na wanpela bigis biktaun bilong Ostrelia na Oseania
"Sidni bin stap 5,300,000 man long 2021.",Sidni bin stap man long,Sidni bin stap man long
Daru em i [[Kapitol]] na taun bikpela tumas bilong [[Westen Provins]] long [[Papua Niugini]].,Daru em i Kapitol na taun bikpela tumas bilong Westen Provins long Papua Niugini,Daru em i Kapitol na taun bikpela tumas bilong Westen Provins long Papua Niugini
Daru em i no stap long [[Niugini]] [[ailan]]; em i stap long wanpela liklik ailan klostu long Niugini ol i kolim Daru Ailan.,Daru em i no stap long Niugini ailan em i stap long wanpela liklik ailan klostu long Niugini ol i kolim Daru Ailan,Daru em i no stap long Niugini ailan em i stap long wanpela liklik ailan klostu long Niugini ol i kolim Daru Ailan
.id em i Intanet kod bilong kantri [[Indonisia]].,id em i Intanet kod bilong kantri Indonisia,id em i Intanet kod bilong kantri Indonisia
"Plak bilong [[Hangari]] ([[Tok Hangari]]: ""Magyarország zászlaja"") i mak olsem ofisel plak bilong kantri long 1 Oktoba 1957.",Plak bilong Hangari Tok Hangari Magyarország zászlaja i mak olsem ofisel plak bilong kantri long Oktoba,Plak bilong Hangari Tok Hangari Magyarország zászlaja i mak olsem ofisel plak bilong kantri long Oktoba
Spen em i wanpela [[kantri]] i stap insait long kontinen [[Yurop]].,Spen em i wanpela kantri i stap insait long kontinen Yurop,Spen em i wanpela kantri i stap insait long kontinen Yurop
[[Madrid]] em i [[kapitol]] na nambawan bikpela taun bilong Spen.,Madrid em i kapitol na nambawan bikpela taun bilong Spen,Madrid em i kapitol na nambawan bikpela taun bilong Spen
Tokples bilong Spen i [[Tok Spen]].,Tokples bilong Spen i Tok Spen,Tokples bilong Spen i Tok_Spen
"Tok Rasia (""русский язык"", ""russkiy yazyk"") em i wanpela tokples we asples bilong em i kantri [[Rasia]].",Tok Rasia русский язык russkiy yazyk em i wanpela tokples we asples bilong em i kantri Rasia,Tok Rasia русский язык russkiy yazyk em i wanpela tokples we asples bilong em i kantri Rasia
[[Tok]] [[Rasia]] hat tumas lainim.,Tok Rasia hat tumas lainim,Tok Rasia hat tumas lainim
"Tok Rasia em i wanpela tokples ikam long famili long tokples long Indo-Yurop, na bilong lain tokples long Silavik bilong dispela famili.",Tok Rasia em i wanpela tokples ikam long famili long tokples long IndoYurop na bilong lain tokples long Silavik bilong dispela famili,Tok Rasia em i wanpela tokples ikam long famili long tokples long IndoYurop na bilong lain tokples long Silavik bilong dispela famili
Quảng Bình em i wanpela provins i stap long [[Vietnam]].,Quảng Bình em i wanpela provins i stap long Vietnam,Quảng Bình em i wanpela provins i stap long Vietnam
[[Đồng Hới]] em i [[kapitol]] bilong Quảng Bình.,Đồng Hới em i kapitol bilong Quảng Bình,Đồng_Hới em i kapitol bilong Quảng Bình
Gavana bilong Sentral emi Nguyễn Hữu Hoài.,Gavana bilong Sentral emi Nguyễn Hữu Hoài,Gavana bilong Sentral emi Nguyễn Hữu Hoài
Sentral igat foapela distrik:,Sentral igat foapela distrik,Sentral igat foapela distrik
.al em i Intanet kod bilong kantri [[Albenia]].,al em i Intanet kod bilong kantri Albenia,al em i Intanet kod bilong kantri Albenia
.ai em i Intanet kod bilong kantri Angila.,ai em i Intanet kod bilong kantri Angila,ai em i Intanet kod bilong kantri Angila
"Sidarta (Siddharta Gautama, o Buddha Gautama) i man bilong [[India]].",Sidarta Siddharta Gautama o Buddha Gautama i man bilong India,Sidarta Siddharta Gautama o Buddha Gautama i man bilong India
Em i stap long India 2500 yia bipo.,Em i stap long India yia bipo,Em i stap long India yia bipo
"Planti man o meri ol i kolim ""[[Buda]]"" tasol.",Planti man o meri ol i kolim Buda tasol,Planti man o meri ol i kolim Buda tasol
"Dispela man i bin stat [[budisim]], o lotu bilong ol Buda.",Dispela man i bin stat budisim o lotu bilong ol Buda,Dispela man i bin stat budisim o lotu bilong ol Buda
Mama bilong [[Sidarta]] i karim long [[India]] long yia samting olsem 563 bipo Kraist.,Mama bilong Sidarta i karim long India long yia samting olsem bipo Kraist,Mama bilong Sidarta i karim long India long yia samting olsem bipo Kraist
Em i dai pinis taim i gat 80 krismas.,Em i dai pinis taim i gat krismas,Em i dai pinis taim i gat krismas
"Igat planti olpela stori long [[Sidarta]], o [[Buda]].",Igat planti olpela stori long Sidarta o Buda,Igat planti olpela stori long Sidarta o Buda
[[Ating]] sampela stori i tru na sampela stori i no tru.,Ating sampela stori i tru na sampela stori i no tru,Ating sampela stori i tru na sampela stori i no tru
"Tasol, manmeri bilong toksave histori, o toksave long taim bipo tru, ol i tingting i tru olsem [[Sidarta]] i stap long [[India]] 2500 yia bipo.",Tasol manmeri bilong toksave histori o toksave long taim bipo tru ol i tingting i tru olsem Sidarta i stap long India yia bipo,Tasol manmeri bilong toksave histori o toksave long taim bipo tru ol i tingting i tru olsem Sidarta i stap long India yia bipo
Olpela stori ol i tok olsem [[papa]] bilong sidarta em i king.,Olpela stori ol i tok olsem papa bilong sidarta em i king,Olpela stori ol i tok olsem papa bilong sidarta em i king
"Taim i pikinini yet, [[Sidarta]] i got planti moni.",Taim i pikinini yet Sidarta i got planti moni,Taim i pikinini yet Sidarta i got planti moni
[[Papa]] bilongen i holimpasim na [[Sidarta]] i no bungim wanpela trabel yet.,Papa bilongen i holimpasim na Sidarta i no bungim wanpela trabel yet,Papa bilongen i holimpasim na Sidarta i no bungim wanpela trabel yet
"Tasol taim [[Sidarta]] i kamap 29 krismas em i wok autsait long haus bilong king na i lukim 4pela samting: em i lukim olpela man, sikpela man, man i dai pinis, na gutpela man i gat no haus.",Tasol taim Sidarta i kamap krismas em i wok autsait long haus bilong king na i lukim pela samting em i lukim olpela man sikpela man man i dai pinis na gutpela man i gat no haus,Tasol taim Sidarta i kamap krismas em i wok autsait long haus bilong king na i lukim pela samting em i lukim olpela man sikpela man man i dai pinis na gutpela man i gat no haus
"Long dispela taim igo, [[Sidarta]] i tingting long dispela foapela samting tasol.",Long dispela taim igo Sidarta i tingting long dispela foapela samting tasol,Long dispela taim igo Sidarta i tingting long dispela foapela samting tasol
I no ken hamamas yet.,I no ken hamamas yet,I no ken hamamas yet
Olrait em i lusim haus long king na em i go long bus.,Olrait em i lusim haus long king na em i go long bus,Olrait em i lusim haus long king na em i go long bus
Em i bungim narapela man ol i traim painim hamamas long pasin asetik.,Em i bungim narapela man ol i traim painim hamamas long pasin asetik,Em i bungim narapela man ol i traim painim hamamas long pasin asetik
"Dispela i min ol i laik kaikai liklik tru, na ol i no laik moni na haus bilongen.",Dispela i min ol i laik kaikai liklik tru na ol i no laik moni na haus bilongen,Dispela i min ol i laik kaikai liklik tru na ol i no laik moni na haus bilongen
"[[Sidarta]] tu, em i traim painim hamamas long pasin asetik long taim bilong 7pela yia.",Sidarta tu em i traim painim hamamas long pasin asetik long taim bilong pela yia,Sidarta tu em i traim painim hamamas long pasin asetik long taim bilong pela yia
Olrait em i save dispela pasin i nogut.,Olrait em i save dispela pasin i nogut,Olrait em i save dispela pasin i nogut
Olrait em i tingting long laip bilongen longpela taim tru.,Olrait em i tingting long laip bilongen longpela taim tru,Olrait em i tingting long laip bilongen longpela taim tru
Em i wokim wokim [[meditesen]].,Em i wokim wokim meditesen,Em i wokim wokim meditesen
"Meditesen em i pasin i sindaun long graun na i no tok, na i painim hamamas insait long en.",Meditesen em i pasin i sindaun long graun na i no tok na i painim hamamas insait long en,Meditesen em i pasin i sindaun long graun na i no tok na i painim hamamas insait long en
Olrait wanpela de em i sidaun long diwai na em i painim pinis enlaitmen.,Olrait wanpela de em i sidaun long diwai na em i painim pinis enlaitmen,Olrait wanpela de em i sidaun long diwai na em i painim pinis enlaitmen
Enlaitmen i min dispela man o meri i no gat wanpela trabel yet insait long het bilongen.,Enlaitmen i min dispela man o meri i no gat wanpela trabel yet insait long het bilongen,Enlaitmen i min dispela man o meri i no gat wanpela trabel yet insait long het bilongen
I gat hamamas tru tumas.,I gat hamamas tru tumas,I gat hamamas tru tumas
Nau ol i kolim dispela diwai diwai bilong enlaitmen.,Nau ol i kolim dispela diwai diwai bilong enlaitmen,Nau ol i kolim dispela diwai diwai bilong enlaitmen
Long dispela taim Sidarta i painim pinis ol save ol i kolim foapela tok tru.,Long dispela taim Sidarta i painim pinis ol save ol i kolim foapela tok tru,Long dispela taim Sidarta i painim pinis ol save ol i kolim foapela tok tru
"Ol i as bilong [[budisim]], o lotu bilong ol Buda.",Ol i as bilong budisim o lotu bilong ol Buda,Ol i as bilong budisim o lotu bilong ol Buda
Agnetha Åse Fältskog (5 Epril 1950-) i bin stap [[Suwidan]] musiker.,Agnetha Åse Fältskog Epril i bin stap Suwidan musiker,Agnetha Åse Fältskog Epril i bin stap Suwidan musiker
Manesmen (Inglis: management) em i wok bilong oganaiz wok na givim order long colaboreta.,Manesmen Inglis management em i wok bilong oganaiz wok na givim order long colaboreta,Manesmen Inglis management em i wok bilong oganaiz wok na givim order long colaboreta
[[Man]] i wokim manesmen ol i kolim manager.,Man i wokim manesmen ol i kolim manager,Man i wokim manesmen ol i kolim manager
"I gat planti skul bilong lainim manesmen, ispeseli long [[USA]].",I gat planti skul bilong lainim manesmen ispeseli long USA,I gat planti skul bilong lainim manesmen ispeseli long USA
"Ferdinand de Saussure (Novemba 26, 1857 - Februeri 22, [[1913]]) em i man bilong Swisalan.",Ferdinand de Saussure Novemba Februeri em i man bilong Swisalan,Ferdinand de Saussure Novemba Februeri em i man bilong Swisalan
Saussure i bikpela long histori long lingwistikis long 20th senseri.,Saussure i bikpela long histori long lingwistikis long th senseri,Saussure i bikpela long histori long lingwistikis long th senseri
"Em i tingting pinis lingwistikis i olsem kain long save bilong olgeta symbol, em i kolim semiolosi (nau semiotikis.)",Em i tingting pinis lingwistikis i olsem kain long save bilong olgeta symbol em i kolim semiolosi nau semiotikis,Em i tingting pinis lingwistikis i olsem kain long save bilong olgeta symbol em i kolim semiolosi nau semiotikis
"Buk bilong em i ""Cours de linguistique générale"" (Skulim long general lingwistikis).",Buk bilong em i Cours de linguistique générale Skulim long general lingwistikis,Buk bilong em i Cours de linguistique générale Skulim long general lingwistikis
.jo em i Intanet kod bilong kantri [[Jordan]].,jo em i Intanet kod bilong kantri Jordan,jo em i Intanet kod bilong kantri Jordan
Olaf Stapledon (1886-1950) i bin raita bilong [[Inglan]].,Olaf Stapledon i bin raita bilong Inglan,Olaf Stapledon i bin raita bilong Inglan
"I bin raitim ""Last and First Men"" (""Bihain tru na nambawan manmeri""), ""Star Maker"" na ""Sirius"".",I bin raitim Last and First Men Bihain tru na nambawan manmeri Star Maker na Sirius,I bin raitim Last and First Men Bihain tru na nambawan manmeri Star Maker na Sirius
Olaf Stapledon i bin stap man bilong [[pilosopi]].,Olaf Stapledon i bin stap man bilong pilosopi,Olaf Stapledon i bin stap man bilong pilosopi
"Em i bin tok laikim, save na [[at]] ol i gut tru.",Em i bin tok laikim save na at ol i gut tru,Em i bin tok laikim save na at ol i gut tru
Em i bin kolim olgeta tripela samting spirit.,Em i bin kolim olgeta tripela samting spirit,Em i bin kolim olgeta tripela samting spirit
.gn em i Intanet kod bilong kantri Guinea.,gn em i Intanet kod bilong kantri Guinea,gn em i Intanet kod bilong kantri Guinea
"Tok Koria (Tok Koria: ""한국어, 韓國語, Hangugeo"") em i tokples bilong kantri [[Koria]].",Tok Koria Tok Koria 한국어 韓國語 Hangugeo em i tokples bilong kantri Koria,Tok Koria Tok Koria 한국어 韓國語 Hangugeo em i tokples bilong kantri Koria
Tok Koria em i ofisel tokples bilong kantri.,Tok Koria em i ofisel tokples bilong kantri,Tok Koria em i ofisel tokples bilong kantri
.tf em i Intanet kod bilong kantri Pranis Sauten na Antaktik Lan.,tf em i Intanet kod bilong kantri Pranis Sauten na Antaktik Lan,tf em i Intanet kod bilong kantri Pranis Sauten na Antaktik Lan
.香港 em i Intanet kod bilong kantri [[Hong Kong]].,香港 em i Intanet kod bilong kantri Hong Kong,香港 em i Intanet kod bilong kantri Hong_Kong
Wanpela Papua Niugini Nasinel Ragbi Lig stap wanpela nasinel lig bilong [[Papua Niugini]].,Wanpela Papua Niugini Nasinel Ragbi Lig stap wanpela nasinel lig bilong Papua Niugini,Wanpela Papua Niugini Nasinel Ragbi Lig stap wanpela nasinel lig bilong Papua_Niugini
Elvis Aron Presley (1935 – 1977) i bin [[Amerika]] music sing sing ol i kolim King of rock 'n roll.,Elvis Aron Presley i bin Amerika music sing sing ol i kolim King of rock n roll,Elvis Aron Presley i bin Amerika music sing sing ol i kolim King of rock n roll
.td em i Intanet kod bilong kantri Sad.,td em i Intanet kod bilong kantri Sad,td em i Intanet kod bilong kantri Sad
Ethnologue: Languages of the World em i bikpela buk na buk long intanet bilong tokples long wol.,Ethnologue Languages of the World em i bikpela buk na buk long intanet bilong tokples long wol,Ethnologue Languages of the World em i bikpela buk na buk long intanet bilong tokples long wol
.bl em i Intanet kod bilong kantri Sen Batilemi.,bl em i Intanet kod bilong kantri Sen Batilemi,bl em i Intanet kod bilong kantri Sen Batilemi
.ne em i Intanet kod bilong kantri Niger.,ne em i Intanet kod bilong kantri Niger,ne em i Intanet kod bilong kantri Niger
[[Judaisim]] i [[lotu]] bilong ol Juda.,Judaisim i lotu bilong ol Juda,Judaisim i lotu bilong ol Juda
I gat samting olsem 15 milion man o meri ol i kolim yet Juda long Graun.,I gat samting olsem milion man o meri ol i kolim yet Juda long Graun,I gat samting olsem milion man o meri ol i kolim yet Juda long Graun
"Šiprage – (Шипраге) em i [[Bosnia na Hesegovina]], kantri bilong Sauten Yurop.",Šiprage Шипраге em i Bosnia na Hesegovina kantri bilong Sauten Yurop,Šiprage Шипраге em i Bosnia_na_Hesegovina kantri bilong Sauten Yurop
.vu em i Intanet kod bilong kantri [[Vanuatu]].,vu em i Intanet kod bilong kantri Vanuatu,vu em i Intanet kod bilong kantri Vanuatu
" em i wanpela taun long Soria provins, Castile na León, [[Spen]].",em i wanpela taun long Soria provins Castile na León Spen,em i wanpela taun long Soria provins Castile na León Spen
"Philippe Cuénoud (1968-) saientis bilong Swisalan, toktok bilong em Tok Pranis.",Philippe Cuénoud saientis bilong Swisalan toktok bilong em Tok Pranis,Philippe Cuénoud saientis bilong Swisalan toktok bilong em Tok Pranis
Em i gat window bilong fes.,Em i gat window bilong fes,Em i gat window bilong fes
Em i wok sompela mun long Papua New Guinea long krismas 1993 na 1994 long Wau na Madang.,Em i wok sompela mun long Papua New Guinea long krismas na long Wau na Madang,Em i wok sompela mun long Papua New Guinea long krismas na long Wau na Madang
Em lainim Tok Pisin na painim tupela nupela kain binatang na wokim liklik wok wantaim [[Larry Orsak]].,Em lainim Tok Pisin na painim tupela nupela kain binatang na wokim liklik wok wantaim Larry Orsak,Em lainim Tok Pisin na painim tupela nupela kain binatang na wokim liklik wok wantaim Larry_Orsak
Em i speselist bilong binatang na sayor na pablisim long [[ivolusan]] bilong ol .,Em i speselist bilong binatang na sayor na pablisim long ivolusan bilong ol,Em i speselist bilong binatang na sayor na pablisim long ivolusan bilong ol
"Em wok wanpela krismas long indastri bilong marasin, long kampani Covance, tasol ol i rausim em.",Em wok wanpela krismas long indastri bilong marasin long kampani Covance tasol ol i rausim em,Em wok wanpela krismas long indastri bilong marasin long kampani Covance tasol ol i rausim em
"Em wok sompela yia long skul tu, tasol ol rausim em tu.",Em wok sompela yia long skul tu tasol ol rausim em tu,Em wok sompela yia long skul tu tasol ol rausim em tu
Nau em wok long sevim wara na eneji.,Nau em wok long sevim wara na eneji,Nau em wok long sevim wara na eneji
Em painim nupela kain plaua long Swisalan .,Em painim nupela kain plaua long Swisalan,Em painim nupela kain plaua long Swisalan
"Planet (long Tok Inglis: ""Planet"") istap nem bilong olgeta ston i go nabaut [[San]] o narapela sta.",Planet long Tok Inglis Planet istap nem bilong olgeta ston i go nabaut San o narapela sta,Planet long Tok Inglis Planet istap nem bilong olgeta ston i go nabaut San o narapela sta
Ol planet istap raun.,Ol planet istap raun,Ol planet istap raun
[[Mun]] istap nem bilong ol liklik ston i go nabaut planet.,Mun istap nem bilong ol liklik ston i go nabaut planet,Mun istap nem bilong ol liklik ston i go nabaut planet
[[San]] bilong yumi i gat etpela planet.,San bilong yumi i gat etpela planet,San bilong yumi i gat etpela planet
Piluto bin planet tasol nau olgeta manmeri bilong [[Estronomi]] i kolim dispela liklik planet.,Piluto bin planet tasol nau olgeta manmeri bilong Estronomi i kolim dispela liklik planet,Piluto bin planet tasol nau olgeta manmeri bilong Estronomi i kolim dispela liklik planet
"Istap tupela narapela liklik planet, Seres na Eris.",Istap tupela narapela liklik planet Seres na Eris,Istap tupela narapela liklik planet Seres na Eris
"Nem ""planet"" i kam long Tok Girik: πλανήτης (""planetes"").",Nem planet i kam long Tok Girik πλανήτης planetes,Nem planet i kam long Tok Girik πλανήτης planetes
"I min ""welman"" o ""samting i go"".",I min welman o samting i go,I min welman o samting i go
Manmeri bilong [[Estronomi]] i got save long 209 narapela planet.,Manmeri bilong Estronomi i got save long narapela planet,Manmeri bilong Estronomi i got save long narapela planet
Olgeta dispela i go nabaut narapela sta.,Olgeta dispela i go nabaut narapela sta,Olgeta dispela i go nabaut narapela sta
Ol I Go Nabaut [[San]].,Ol I Go Nabaut San,Ol I Go Nabaut San
Nem bilong olgeta planet i go nabaut [[San]] i kam long nem bilong god bilong [[Rom]].,Nem bilong olgeta planet i go nabaut San i kam long nem bilong god bilong Rom,Nem bilong olgeta planet i go nabaut San i kam long nem bilong god bilong Rom
Nem bilong sampela [[Mun]] i kam long stori Shakespeare raitim.,Nem bilong sampela Mun i kam long stori Shakespeare raitim,Nem bilong sampela Mun i kam long stori Shakespeare raitim
Planet.,Planet,Planet
Dispela istap ol planet i go nabaut [[San]].,Dispela istap ol planet i go nabaut San,Dispela istap ol planet i go nabaut San
Numba wan istap klostu long [[San]].,Numba wan istap klostu long San,Numba wan istap klostu long San
Kain Long Planet.,Kain Long Planet,Kain Long Planet
Istap tupela kain long planet:,Istap tupela kain long planet,Istap tupela kain long planet
Cloudy Bay i wanpela lokol gavman eria long [[Sentral Provins]].,Cloudy Bay i wanpela lokol gavman eria long Sentral Provins,Cloudy Bay i wanpela lokol gavman eria long Sentral_Provins
Mendi em i [[kapitol]] na taun bikpela tumas bilong [[Sauten Hailans]] provins long [[Papua Niugini]].,Mendi em i kapitol na taun bikpela tumas bilong Sauten Hailans provins long Papua Niugini,Mendi em i kapitol na taun bikpela tumas bilong Sauten Hailans provins long Papua Niugini
Daulo emi wanpela distrik long [[Isten Hailans]] provins.,Daulo emi wanpela distrik long Isten Hailans provins,Daulo emi wanpela distrik long Isten_Hailans provins
"Em i bin gat olsem 30,000 manmeri long em long yia [[2000]].",Em i bin gat olsem manmeri long em long yia,Em i bin gat olsem manmeri long em long yia
Asaro Valley em igat bikpela hap bilong populesen bilong distrik.,Asaro Valley em igat bikpela hap bilong populesen bilong distrik,Asaro Valley em igat bikpela hap bilong populesen bilong distrik
Populesen densiti long Daulo emi 45 manmeri/km2.,Populesen densiti long Daulo emi manmerikm,Populesen densiti long Daulo emi manmerikm
Esia em i wanpela [[kontinen]]t bigpela moa yet lo olgeta narapela kontinent.,Esia em i wanpela kontinent bigpela moa yet lo olgeta narapela kontinent,Esia em i wanpela kontinent bigpela moa yet lo olgeta narapela kontinent
!,,
"Nem bilong rijen na[[kantri]] o teritori, wantaim plak !",Nem bilong rijen nakantri o teritori wantaim plak,Nem bilong rijen nakantri o teritori wantaim plak
