text,text_clean,text_ents
"Hem bit sikis stet Qi, Chu, Yan, Zhao, Wei mo Han, bicem fas man yunity [[Jaena]].",Hem bit sikis stet Qi Chu Yan Zhao Wei mo Han bicem fas man yunity Jaena,Hem bit sikis stet Qi Chu Yan Zhao Wei mo Han bicem fas man yunity Jaena
Ekwado hem i wan kaontri long [[Saot Amerika]] we olgeta save toktok long Spanish.,Ekwado hem i wan kaontri long Saot Amerika we olgeta save toktok long Spanish,Ekwado hem i wan kaontri long Saot_Amerika we olgeta save toktok long Spanish
Kapital blong hem i Quito.,Kapital blong hem i Quito,Kapital blong hem i Quito
"Betty Marion White Ludden (bon long 17 Januware 1922 - bin ded long 31 Desemba 2021), em i bin akta blong [[Yunaeted Stet blong Amerika]].",Betty Marion White Ludden bon long Januware bin ded long Desemba em i bin akta blong Yunaeted Stet blong Amerika,Betty Marion White Ludden bon long Januware bin ded long Desemba em i bin akta blong Yunaeted_Stet_blong_Amerika
Dipsi i bigbig [[solwota]].,Dipsi i bigbig solwota,Dipsi i bigbig solwota
"Timothy Michael ""Tim"" Kaine (bon long yia 1958), em i man blong politik blong [[Yunaeted Stet blong Amerika]].",Timothy Michael Tim Kaine bon long yia em i man blong politik blong Yunaeted Stet blong Amerika,Timothy Michael Tim Kaine bon long yia em i man blong politik blong Yunaeted_Stet_blong_Amerika
Wrocław i wan bigtaon long [[Polan]].,Wrocław i wan bigtaon long Polan,Wrocław i wan bigtaon long Polan
"Emi gat mo o les 643,782 pipol (2020).",Emi gat mo o les pipol,Emi gat mo o les pipol
Almazul i stap smol taon blong Spain.,Almazul i stap smol taon blong Spain,Almazul i stap smol taon blong Spain
Emi gat mo o less 121.,Emi gat mo o less,Emi gat mo o less
Eisaku Satō (27 Maj 1901 – 3 Jun 1975) i praem minista blong [[Japan]].,Eisaku Satō Maj Jun i praem minista blong Japan,Eisaku Satō Maj Jun i praem minista blong Japan
Beijing hem i kapital blong [[Jaena]].,Beijing hem i kapital blong Jaena,Beijing hem i kapital blong Jaena
Populesen blong em i stap long 22 million pipol.,Populesen blong em i stap long million pipol,Populesen blong em i stap long million pipol
 i stap smol taon blong Spain.,i stap smol taon blong Spain,i stap smol taon blong Spain
Gabon i kaontri long [[Afrika]].,Gabon i kaontri long Afrika,Gabon i kaontri long Afrika
"50 Cent (bon Curtis James Jackson III long 6 Julae 1975 long Queens long Bitaon blong New York), em i man blong singsing blong [[Yunaeted Stet blong Amerika]].",Cent bon Curtis James Jackson III long Julae long Queens long Bitaon blong New York em i man blong singsing blong Yunaeted Stet blong Amerika,Cent bon Curtis James Jackson III long Julae long Queens long Bitaon blong New York em i man blong singsing blong Yunaeted_Stet_blong_Amerika
Miusik stael blong 50 Cent i hop hop.,Miusik stael blong Cent i hop hop,Miusik stael blong Cent i hop hop
Em i bin tumas popiula long ol yia 2000s.,Em i bin tumas popiula long ol yia s,Em i bin tumas popiula long ol yia s
Hos hemi wan animol we i live lo bus mo kala blem i braon mo i waet o yu save mensenem nara kala bakeken.mo tu hemi stap kakae kras mo tring wota.mo hemi kat fo lek mo wan tel mo i kat fulap hair mo fulap tut.mo tu yu save yusum hem blo ron i ko lo nara ples o vilij.mo tu u save ron lem lo kompitisen.hos hemi wan spesel animol .,Hos hemi wan animol we i live lo bus mo kala blem i braon mo i waet o yu save mensenem nara kala bakekenmo tu hemi stap kakae kras mo tring wotamo hemi kat fo lek mo wan tel mo i kat fulap hair mo fulap tutmo tu yu save yusum hem blo ron i ko lo nara ples o vilijmo tu u save ron lem lo kompitisenhos hemi wan spesel animol,Hos hemi wan animol we i live lo bus mo kala blem i braon mo i waet o yu save mensenem nara kala bakekenmo tu hemi stap kakae kras mo tring wotamo hemi kat fo lek mo wan tel mo i kat fulap hair mo fulap tutmo tu yu save yusum hem blo ron i ko lo nara ples o vilijmo tu u save ron lem lo kompitisenhos hemi wan spesel animol
"Berlin, hem i kapitol blong [[Jemani]].",Berlin hem i kapitol blong Jemani,Berlin hem i kapitol blong Jemani
Taylor Alison Swift i bin wan woman blong singsing mo akta blong [[Amerika]].,Taylor Alison Swift i bin wan woman blong singsing mo akta blong Amerika,Taylor Alison Swift i bin wan woman blong singsing mo akta blong Amerika
"Ronald Ernest ""Ron"" Paul (bon long 20 Ogis 1935) i politikis blong [[Yunaeted Stet blong Amerika]].",Ronald Ernest Ron Paul bon long Ogis i politikis blong Yunaeted Stet blong Amerika,Ronald Ernest Ron Paul bon long Ogis i politikis blong Yunaeted_Stet_blong_Amerika
Gary Cooper (7 Mei 1901 – 13 Mei 1961) em i akta blong [[Yunaeted Stet blong Amerika]].,Gary Cooper Mei Mei em i akta blong Yunaeted Stet blong Amerika,Gary Cooper Mei Mei em i akta blong Yunaeted_Stet_blong_Amerika
Akane Haga (bon long yia 2002) em i woman blong singsing blong [[Japan]].,Akane Haga bon long yia em i woman blong singsing blong Japan,Akane Haga bon long yia em i woman blong singsing blong Japan
Reina Tanaka (boen 1989) em i woman blong singsing blong [[Japan]].,Reina Tanaka boen em i woman blong singsing blong Japan,Reina Tanaka boen em i woman blong singsing blong Japan
George Fredrick Handel (Jeman: Georg Friedrich Händel) (23 Febuwari 1685 – 14 Epril 1759) em i bin wan man blong miusik blong Jemani.,George Fredrick Handel Jeman Georg Friedrich Händel Febuwari Epril em i bin wan man blong miusik blong Jemani,George Fredrick Handel Jeman Georg Friedrich Händel Febuwari Epril em i bin wan man blong miusik blong Jemani
"Emi bin stap mani yia long England, mo em i gat citizenship blong Graet Britain.",Emi bin stap mani yia long England mo em i gat citizenship blong Graet Britain,Emi bin stap mani yia long England mo em i gat citizenship blong Graet Britain
"Kinto Sol, hem i wan miusik grup blong Mexico.",Kinto Sol hem i wan miusik grup blong Mexico,Kinto Sol hem i wan miusik grup blong Mexico
Coritiba Foot Ball Club i klub blong futbol blong [[Curitiba]] long Brazil.,Coritiba Foot Ball Club i klub blong futbol blong Curitiba long Brazil,Coritiba Foot Ball Club i klub blong futbol blong Curitiba long Brazil
Mark Elliot Zuckerberg (boen 14 Mei 1984) em i bisnesman blong [[Yunaeted Stet blong Amerika]].,Mark Elliot Zuckerberg boen Mei em i bisnesman blong Yunaeted Stet blong Amerika,Mark Elliot Zuckerberg boen Mei em i bisnesman blong Yunaeted_Stet_blong_Amerika
John Fitzgerald Kennedy (29 Mei 1917 – 22 Novemba 1963) em i hed blong stet blong [[Yunaeted Stet blong Amerika]].,John Fitzgerald Kennedy Mei Novemba em i hed blong stet blong Yunaeted Stet blong Amerika,John Fitzgerald Kennedy Mei Novemba em i hed blong stet blong Yunaeted_Stet_blong_Amerika
Arkansas i wan state blog Yunaeted Stet.,Arkansas i wan state blog Yunaeted Stet,Arkansas i wan state blog Yunaeted Stet
Kapital blong hem i Little Rock.,Kapital blong hem i Little Rock,Kapital blong hem i Little Rock
"Long July 2016, populaesen blong [[Arkansas]] i stap araon 2,988,248.",Long July populaesen blong Arkansas i stap araon,Long July populaesen blong Arkansas i stap araon
Park Chanyeol (1992 - ) em i wan man blong singsing blong [[Saot Koria]].,Park Chanyeol em i wan man blong singsing blong Saot Koria,Park Chanyeol em i wan man blong singsing blong Saot_Koria
Gloria May Josephine Swanson (27 Maj 1899 – 4 Epril 1983) i akta blong [[Yunaeted Stet blong Amerika]].,Gloria May Josephine Swanson Maj Epril i akta blong Yunaeted Stet blong Amerika,Gloria May Josephine Swanson Maj Epril i akta blong Yunaeted_Stet_blong_Amerika
Dolfin hemi wan animol we emi save swim lo sol wota.,Dolfin hemi wan animol we emi save swim lo sol wota,Dolfin hemi wan animol we emi save swim lo sol wota
"mo tu ol turis oli laikem blo lukaotem blo emi save plai, plai wetem ol geta.",mo tu ol turis oli laikem blo lukaotem blo emi save plai plai wetem ol geta,mo tu ol turis oli laikem blo lukaotem blo emi save plai plai wetem ol geta
"Kiai (Fortsenal, Vorozenale) hem wan lanwis blong Ripablik blong Vanuatu.",Kiai Fortsenal Vorozenale hem wan lanwis blong Ripablik blong Vanuatu,Kiai Fortsenal Vorozenale hem wan lanwis blong Ripablik blong Vanuatu
"Stamba ples blong hem, vilej blong ""Fortsenal"" long [[Santo aelan]] (Sanma provens).",Stamba ples blong hem vilej blong Fortsenal long Santo aelan Sanma provens,Stamba ples blong hem vilej blong Fortsenal long Santo_aelan Sanma provens
Histri blong lanwis ia.,Histri blong lanwis ia,Histri blong lanwis ia
"Olsem evri tokples blong Vanuatu, Kiai hem wan Oceanic lanwis, memba blong bigfela Austronesian famle.",Olsem evri tokples blong Vanuatu Kiai hem wan Oceanic lanwis memba blong bigfela Austronesian famle,Olsem evri tokples blong Vanuatu Kiai hem wan Oceanic lanwis memba blong bigfela Austronesian famle
Lanwis ia tedei.,Lanwis ia tedei,Lanwis ia tedei
"Tedei ia, ol lingwis i talem se igat 450 man i stap yet we i save tok long lanwis blong Kiai.",Tedei ia ol lingwis i talem se igat man i stap yet we i save tok long lanwis blong Kiai,Tedei ia ol lingwis i talem se igat man i stap yet we i save tok long lanwis blong Kiai
Momoko Shimizu (boen 9 Oktoba 1997) em i akta blong [[Japan]].,Momoko Shimizu boen Oktoba em i akta blong Japan,Momoko Shimizu boen Oktoba em i akta blong Japan
Liberia i kaontri long [[Afrika]].,Liberia i kaontri long Afrika,Liberia i kaontri long Afrika
"Daejeon Swijyad Stesen i relwei stesen, stap long [[Daejeon]].",Daejeon Swijyad Stesen i relwei stesen stap long Daejeon,Daejeon Swijyad Stesen i relwei stesen stap long Daejeon
Stesen ia i resevem Gyeongbu laen.,Stesen ia i resevem Gyeongbu laen,Stesen ia i resevem Gyeongbu laen
Joan Crawford (23 Maj 1904 – 10 Mei 1977) em i akta blong [[Yunaeted Stet blong Amerika]].,Joan Crawford Maj Mei em i akta blong Yunaeted Stet blong Amerika,Joan Crawford Maj Mei em i akta blong Yunaeted_Stet_blong_Amerika
"Sandlewood hemi wan lo valuable tri long [[Vanuatu]] we hem i makem big money igo long [[economi]] blo countri, sandlewood hemi wan tri we hem i unique aut long ol evri tri long Vanuatu.",Sandlewood hemi wan lo valuable tri long Vanuatu we hem i makem big money igo long economi blo countri sandlewood hemi wan tri we hem i unique aut long ol evri tri long Vanuatu,Sandlewood hemi wan lo valuable tri long Vanuatu we hem i makem big money igo long economi blo countri sandlewood hemi wan tri we hem i unique aut long ol evri tri long Vanuatu
"Frut blo hem i smol mo i raun mo hem i luk black,size blong hem i luk smal olsem napanka or panian tree long english toktok .",Frut blo hem i smol mo i raun mo hem i luk blacksize blong hem i luk smal olsem napanka or panian tree long english toktok,Frut blo hem i smol mo i raun mo hem i luk blacksize blong hem i luk smal olsem napanka or panian tree long english toktok
"Hem i gat braun [[stampa]] mo grin lif,lif blong hem i luk smalsmal olsem naus.oli makem samting [[aut]] long hem olsem:Oil,perfume,soap mo fulap mo samting long hem.",Hem i gat braun stampa mo grin liflif blong hem i luk smalsmal olsem nausoli makem samting aut long hem olsemOilperfumesoap mo fulap mo samting long hem,Hem i gat braun stampa mo grin liflif blong hem i luk smalsmal olsem nausoli makem samting aut long hem olsemOilperfumesoap mo fulap mo samting long hem
"Everi bodi blong hem oli kat uses,studi i sowem se North [[Tanna]] hemi wan long [[island]] long [[Vanuatu]] i stap lead long sandlewood after long eromango .",Everi bodi blong hem oli kat usesstudi i sowem se North Tanna hemi wan long island long Vanuatu i stap lead long sandlewood after long eromango,Everi bodi blong hem oli kat usesstudi i sowem se North Tanna hemi wan long island long Vanuatu i stap lead long sandlewood after long eromango
Entomoloji em i saens blong ol [[insek]].,Entomoloji em i saens blong ol insek,Entomoloji em i saens blong ol insek
Kakuei Tanaka (14 Mei 1918 – 16 Desemba 1993) i praem minista blong [[Japan]].,Kakuei Tanaka Mei Desemba i praem minista blong Japan,Kakuei Tanaka Mei Desemba i praem minista blong Japan
Akari Hayami (boen 1995) em i woman blong singsing blong [[Japan]].,Akari Hayami boen em i woman blong singsing blong Japan,Akari Hayami boen em i woman blong singsing blong Japan
"Auckland Grammar School, hemi wan bigfala sekondri skul oli stap go stadi long hem long sentral Auckland long Niu Zilan.",Auckland Grammar School hemi wan bigfala sekondri skul oli stap go stadi long hem long sentral Auckland long Niu Zilan,Auckland Grammar School hemi wan bigfala sekondri skul oli stap go stadi long hem long sentral Auckland long Niu Zilan
Olgeta Sir George Grey nao oli statem skul ia long yia 1868.,Olgeta Sir George Grey nao oli statem skul ia long yia,Olgeta Sir George Grey nao oli statem skul ia long yia
Skul ia hemi karem roll blong mo o les 2500 studens.,Skul ia hemi karem roll blong mo o les studens,Skul ia hemi karem roll blong mo o les studens
"Long saed blong olgeta akademik, skul hemi offerem olgeta ""high level qualification"" olsem assesmen system wetem Cambrige Internasonal Examinason.",Long saed blong olgeta akademik skul hemi offerem olgeta high level qualification olsem assesmen system wetem Cambrige Internasonal Examinason,Long saed blong olgeta akademik skul hemi offerem olgeta high level qualification olsem assesmen system wetem Cambrige Internasonal Examinason
Skul hemi save enrollem 70-80 internasonal studens stret long wan yia.,Skul hemi save enrollem internasonal studens stret long wan yia,Skul hemi save enrollem internasonal studens stret long wan yia
Olgeta well-known mo foma graduets long disfala skul hemi inkludim Sir Edmund Hillary (Klaemb bigfala hil) wetem Russell Crowe.,Olgeta wellknown mo foma graduets long disfala skul hemi inkludim Sir Edmund Hillary Klaemb bigfala hil wetem Russell Crowe,Olgeta wellknown mo foma graduets long disfala skul hemi inkludim Sir Edmund Hillary Klaemb bigfala hil wetem Russell Crowe
"Sebia (sr. - ""Република Србија, Republika Srbija"") i kaontri long Europe.",Sebia sr Република Србија Republika Srbija i kaontri long Europe,Sebia sr Република Србија Republika Srbija i kaontri long Europe
"I long Hungary, [[Romania]], [[Bulgaria]], [[Not Masedonia]], [[Albania]], Bosnia & Herzegovina.",I long Hungary Romania Bulgaria Not Masedonia Albania Bosnia Herzegovina,I long Hungary Romania Bulgaria Not Masedonia Albania Bosnia Herzegovina
I blong hem i Belgred.,I blong hem i Belgred,I blong hem i Belgred
Presidens blong hem i Tomislav Nikolić.,Presidens blong hem i Tomislav Nikolić,Presidens blong hem i Tomislav Nikolić
Praem Minista blong hem i Ivica Dačić.,Praem Minista blong hem i Ivica Dačić,Praem Minista blong hem i Ivica Dačić
Céline Marie Claudette Dion (boen 30 Maj 1968) em i woman blong singsing blong [[Kanada]].,Céline Marie Claudette Dion boen Maj em i woman blong singsing blong Kanada,Céline Marie Claudette Dion boen Maj em i woman blong singsing blong Kanada
"Raffaello Sanzio, o Raphael (6 Epril, 1483 - 6 Epril 1520) em i bin wan man blong at mo akiteksa blong [[Itali]] blong Renaissance.",Raffaello Sanzio o Raphael Epril Epril em i bin wan man blong at mo akiteksa blong Itali blong Renaissance,Raffaello Sanzio o Raphael Epril Epril em i bin wan man blong at mo akiteksa blong Itali blong Renaissance
Titja blong em i bin Pietro Perugino.,Titja blong em i bin Pietro Perugino,Titja blong em i bin Pietro Perugino
Samfala pitja we i bin pentem ol i stap long Vatican long [[Rome]].,Samfala pitja we i bin pentem ol i stap long Vatican long Rome,Samfala pitja we i bin pentem ol i stap long Vatican long Rome
Vladimir Vladimirovich Putin (boen 1952) i hed blong stet blong Rusia.,Vladimir Vladimirovich Putin boen i hed blong stet blong Rusia,Vladimir Vladimirovich Putin boen i hed blong stet blong Rusia
"Angela Merkel (Hamburg, 17 Juli 1954) i hed blong stet blong [[Jemani]].",Angela Merkel Hamburg Juli i hed blong stet blong Jemani,Angela Merkel Hamburg Juli i hed blong stet blong Jemani
Esia i wan [[kontinen]] we i bik tumas.,Esia i wan kontinen we i bik tumas,Esia i wan kontinen we i bik tumas
Taelan i kaontri long [[Esia]].,Taelan i kaontri long Esia,Taelan i kaontri long Esia
Kapital blong hem i [[Bangkok]].,Kapital blong hem i Bangkok,Kapital blong hem i Bangkok
King blong hem i Rama X (Vajiralongkorn).,King blong hem i Rama X Vajiralongkorn,King blong hem i Rama X Vajiralongkorn
Sanya Dharmasakti (1907 - 2002) i praem minista blong Thailand.,Sanya Dharmasakti i praem minista blong Thailand,Sanya Dharmasakti i praem minista blong Thailand
Kuba hem i wan kaontri long Karibin Si.,Kuba hem i wan kaontri long Karibin Si,Kuba hem i wan kaontri long Karibin Si
Benigno Simeon Cojuangco Aquino III (boen 1960) i hed blong stet blong Philippines.,Benigno Simeon Cojuangco Aquino III boen i hed blong stet blong Philippines,Benigno Simeon Cojuangco Aquino III boen i hed blong stet blong Philippines
Theodore Roosevelt Jr. (1858 - 1919) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Theodore Roosevelt Jr i hed blong stet blong Yunaeted Stet blong Amerika,Theodore Roosevelt Jr i hed blong stet blong Yunaeted_Stet_blong_Amerika
Siria i kaontri long [[Esia]].,Siria i kaontri long Esia,Siria i kaontri long Esia
"Astronomi i stadi blong plante kaen samting blong skae: [[san]], [[mun]], ol sta, ol plenet, ol galaksi, mo narafala kaen ol samting.",Astronomi i stadi blong plante kaen samting blong skae san mun ol sta ol plenet ol galaksi mo narafala kaen ol samting,Astronomi i stadi blong plante kaen samting blong skae san mun ol sta ol plenet ol galaksi mo narafala kaen ol samting
Keizō Obuchi (25 Jun 1937 – 14 Mei 2000) i praem minista blong [[Japan]].,Keizō Obuchi Jun Mei i praem minista blong Japan,Keizō Obuchi Jun Mei i praem minista blong Japan
Saepras i kaontri long [[Yurop]].,Saepras i kaontri long Yurop,Saepras i kaontri long Yurop
Kapital blong hem i Nicosia.,Kapital blong hem i Nicosia,Kapital blong hem i Nicosia
Presidens blong hem i Nicos Anastasiades.,Presidens blong hem i Nicos Anastasiades,Presidens blong hem i Nicos Anastasiades
"Long Julae 2015, populaesen blong Saepras i stap araon wan milien.",Long Julae populaesen blong Saepras i stap araon wan milien,Long Julae populaesen blong Saepras i stap araon wan milien
Fiji hem i wan kaontri long [[Pasifik]].,Fiji hem i wan kaontri long Pasifik,Fiji hem i wan kaontri long Pasifik
Beljiom (du.,Beljiom du,Beljiom du
- Koninkrijk België; fr.,Koninkrijk België fr,Koninkrijk België fr
"- ""Royaume de Belgique""; ge.",Royaume de Belgique ge,Royaume de Belgique ge
"- ""Königreich Belgien"") i kaontri long Europe.",Königreich Belgien i kaontri long Europe,Königreich Belgien i kaontri long Europe
"I long Netherlands, [[Jemani]], Luxembourg, [[Franis]].",I long Netherlands Jemani Luxembourg Franis,I long Netherlands Jemani Luxembourg Franis
Kapital blong hem i [[Brussels]].,Kapital blong hem i Brussels,Kapital blong hem i Brussels
King blong hem i Filip.,King blong hem i Filip,King blong hem i Filip
Praem Minista blong hem i Charles Michel.,Praem Minista blong hem i Charles Michel,Praem Minista blong hem i Charles Michel
"Long Julae 2015, populaesen blong [[Beljiom]] i stap araon 11 milien.",Long Julae populaesen blong Beljiom i stap araon milien,Long Julae populaesen blong Beljiom i stap araon milien
Kamatari Fujiwara (15 Januware 1905 – 21 Desemba 1985) i akta blong [[Japan]].,Kamatari Fujiwara Januware Desemba i akta blong Japan,Kamatari Fujiwara Januware Desemba i akta blong Japan
Isao Bitō (boen 1943) em i man blong singsing blong [[Japan]].,Isao Bitō boen em i man blong singsing blong Japan,Isao Bitō boen em i man blong singsing blong Japan
Sergei Mikhailovich Eisenstein (22 Januware 1898 – 11 Februari 1948) em i muvi daerekta blong Rusia.,Sergei Mikhailovich Eisenstein Januware Februari em i muvi daerekta blong Rusia,Sergei Mikhailovich Eisenstein Januware Februari em i muvi daerekta blong Rusia
Not Amerika em i wan [[kontinen]] long notwes pat blong [[wol]].,Not Amerika em i wan kontinen long notwes pat blong wol,Not Amerika em i wan kontinen long notwes pat blong wol
Delaware i wan state blog Yunaeted Stet.,Delaware i wan state blog Yunaeted Stet,Delaware i wan state blog Yunaeted Stet
Kapital blong hem i Dover.,Kapital blong hem i Dover,Kapital blong hem i Dover
"Long July 2016, populaesen blong [[Delaware]] i stap araon 952,065.",Long July populaesen blong Delaware i stap araon,Long July populaesen blong Delaware i stap araon
Tafea i provens blong [[Vanuatu]].,Tafea i provens blong Vanuatu,Tafea i provens blong Vanuatu
Kapital blong Tafea i [[Isangel]].,Kapital blong Tafea i Isangel,Kapital blong Tafea i Isangel
"Nem blong Tafea kam long faiv nem: Tanna, Aniwa, Futuna, Erromango, mo Aneityum.",Nem blong Tafea kam long faiv nem Tanna Aniwa Futuna Erromango mo Aneityum,Nem blong Tafea kam long faiv nem Tanna Aniwa Futuna Erromango mo Aneityum
