Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property,Pred_Property,Prediction
.al em i Intanet kod bilong kantri Albenia .,.al,Albenia,Q38291,Q222,P17,P361,False
.no em i Intanet kod bilong kantri Nowe .,.no,Nowe,Q41060,Q20,P17,P361,False
.ru em i Intanet kod bilong kantri Rasia .,.ru,Rasia,Q36541,Q159,P17,P361,False
.sb em i Intanet kod bilong kantri Solomon Ailans .,.sb,Solomon Ailans,Q43829,Q685,P17,P361,False
Takuu emi wanpela ailan long Papua Niugini .,Takuu,Papua Niugini,Q1247596,Q691,P17,P361,False
Con Dao em i bikpela ailan long Vietnam .,Con Dao,Vietnam,Q370746,Q881,P17,P17,True
Is Niu Briten em i wanpela provins long Papua Niugini .,Is Niu Briten,Papua Niugini,Q753702,Q691,P17,P17,True
Honshu em i bikpela ailan long Siapan .,Honshu,Siapan,Q13989,Q17,P17,P39,False
"Pet stap wanpela biktaun bilong Wes Ostrelia , Ostrelia .",Pet,Ostrelia Ostrelia,Q3183,Q408,P17,P361,False
Toranga stap wanpela biktaun long Niu Silan .,Toranga,Niu Silan,Q207756,Q664,P17,P39,False
"Olbri stap wanpela biktaun bilong Niu Saut Wels , Ostrelia .",Olbri,Ostrelia,Q331764,Q408,P17,P39,False
"Wulongong stap wanpela biktaun bilong Niu Saut Wels , Ostrelia .",Wulongong,Ostrelia,Q187861,Q408,P17,P39,False
Phu Quoc em i bikpela ailan long Vietnam .,Phu Quoc,Vietnam,Q146695,Q881,P17,P17,True
Oklan em wanpela biktaun bilong Niu Silan .,Oklan,Niu Silan,Q37100,Q664,P17,P39,False
"Adalet stap wanpela biktaun bilong Saut Ostrelia , Ostrelia .",Adalet,Ostrelia Ostrelia,Q5112,Q408,P17,P361,False
"Sielong stap wanpela biktaun bilong Viktoria , Ostrelia .",Sielong,Ostrelia,Q231765,Q408,P17,P39,False
"Balarat stap wanpela biktaun bilong Viktoria , Ostrelia .",Balarat,Ostrelia,Q17856,Q408,P17,P39,False
"Melben stap wanpela biktaun bilong Viktoria , Ostrelia .",Melben,Ostrelia,Q3141,Q408,P17,P39,False
"Brisbin stap wanpela biktaun bilong Kwinslan , Ostrelia .",Brisbin,Ostrelia,Q34932,Q408,P17,P39,False
"Lonseston stap wanpela biktaun bilong Tasmenia , Ostrelia .",Lonseston,Ostrelia,Q339527,Q408,P17,P39,False
"Bendago stap wanpela biktaun bilong Viktoria , Ostrelia .",Bendago,Ostrelia,Q497793,Q408,P17,P39,False
Paltoga em i nambawan siti saut Rasia .,Paltoga,Rasia,Q23520,Q159,P17,P39,False
Moshchena em i nambawan siti saut Yukren .,Moshchena,Yukren,Q23495,Q212,P17,P361,False
Rio de Janeiro em i nambawan siti Brasil .,Rio de Janeiro,Brasil,Q8678,Q155,P17,P17,True
Osasku em i nambawan siti saut Brasil .,Osasku,Brasil,Q4035,Q155,P17,P17,True
Medellín em i nambawan siti saut Kolambia .,Medellín,Kolambia,Q48278,Q739,P17,P36,False
Hokkaido em i bikpela ailan long Siapan .,Hokkaido,Siapan,Q35581,Q17,P17,P36,False
"Dawin stap wanpela biktaun bilong Noten Teritori , Ostrelia .",Dawin,Ostrelia,Q11568,Q408,P17,P39,False
Araras em i nambawan siti Brasil .,Araras,Brasil,Q580366,Q155,P17,P17,True
Gris emi wanpela kantri bilong Yurop .,Gris,Yurop,Q41,Q46,P30,P361,False
Meksiko i wanpela kantri bilong Not Amerika .,Meksiko,Not Amerika,Q96,Q49,P30,P30,True
Frens em i kantri bilong Yurop .,Frens,Yurop,Q142,Q46,P30,P361,False
Senegal em i kantri bilong kontinen Aprika .,Senegal,Aprika,Q1041,Q15,P30,P30,True
Hangari em i kantri bilong sentrel Yurop .,Hangari,Yurop,Q28,Q46,P30,P361,False
China istap tupela kantri bilong Esia .,China,Esia,Q148,Q48,P30,P361,False
Laksembog em i kantri bilong Yurop .,Laksembog,Yurop,Q32,Q46,P30,P39,False
Oman em i wanpela kantri long Esia .,Oman,Esia,Q842,Q48,P30,P361,False
Gabon em i wanpela kantri bilong Aprika .,Gabon,Aprika,Q1000,Q15,P30,P30,True
Iran em i wanpela kantri long Esia .,Iran,Esia,Q794,Q48,P30,P361,False
Yemen em i kantri bilong kontinen Esia .,Yemen,Esia,Q805,Q48,P30,P36,False
Ijip em i kantri bilong kontinen Aprika .,Ijip,Aprika,Q79,Q15,P30,P361,False
Vietnam em i kantri bilong Esia .,Vietnam,Esia,Q881,Q48,P30,P361,False
Potugal em i kantri bilong Yurop .,Potugal,Yurop,Q45,Q46,P30,P361,False
Singapo i stap wanpela kantri long Esia .,Singapo,Esia,Q334,Q48,P30,P361,False
Tonga emi wanpela kantri long Osenia .,Tonga,Osenia,Q678,Q538,P30,P30,True
Saut Koria o Korea i kantri bilong Esia .,Saut Koria,Esia,Q884,Q48,P30,P39,False
Kapitol bilong Not Korea emi Pyongyang .,Not Korea,Pyongyang,Q423,Q18808,P36,P36,True
Kapitol bilong Slovakia i Bratislava .,Slovakia,Bratislava,Q214,Q1780,P36,P36,True
Kapitol bilong Aislan em i Reykjavik .,Aislan,Reykjavik,Q189,Q1764,P36,P36,True
Kapitol bilong Laksembog emi Luxembourg .,Laksembog,Luxembourg,Q32,Q1842,P36,P36,True
Kapitol bilong Hangari ol i kolim Budapest .,Hangari,Budapest,Q28,Q1781,P36,P36,True
Kapitol bilong Sierra Leone i Freetown .,Sierra Leone,Freetown,Q1044,Q3780,P36,P36,True
Kapitol bilong Ostria ol i kolim Vienna .,Ostria,Vienna,Q40,Q1741,P36,P36,True
Panama emi wanpela kantri bilong Sentrel Amerika .,Panama,Sentrel Amerika,Q804,Q27611,P361,P30,False
Viktor Orbán i praim minista bilong Hangari .,Viktor Orbán,praim minista bilong Hangari,Q57641,Q3315094,P39,P39,True
Sanna Marin ( Novemba 16 1985 ) i praim minista bilong Pinlan .,Sanna Marin,praim minista bilong Pinlan,Q16986436,Q738695,P39,P39,True
Gordon Brown i praim minista bilong Yunaitet Kingdom .,Gordon Brown,praim minista bilong Yunaitet Kingdom,Q10648,Q14211,P39,P39,True
Helen Clark i praim minista bilong Niu Silan .,Helen Clark,praim minista bilong Niu Silan,Q180383,Q1071117,P39,P39,True
Apisai Ielemia i praim minista bilong Tuvalu .,Apisai Ielemia,praim minista bilong Tuvalu,Q316267,Q592866,P39,P39,True
Kevin Rudd i praim minista bilong Ostrelia .,Kevin Rudd,praim minista bilong Ostrelia,Q43135,Q319145,P39,P39,True
Xavier Bettel i praim minista bilong Laksembog .,Xavier Bettel,praim minista bilong Laksembog,Q561213,Q1344632,P39,P39,True
Peter O'Neill i praim minista bilong Papua Niugini .,Peter O'Neill,praim minista bilong Papua Niugini,Q57892,Q1074656,P39,P39,True
János Áder i presiden bilong Hangari .,János Áder,presiden bilong Hangari,Q57467,Q520765,P39,P39,True
Tarja Halonen ( Desemba 24 1943 ) em i presiden bilong Pinlan .,Tarja Halonen,presiden bilong Pinlan,Q29213,Q29558,P39,P39,True
Sauli Niinistö ( Ogas 24 1948 ) em i presiden bilong kantri Pinlan .,Sauli Niinistö,presiden bilong kantri Pinlan,Q29207,Q29558,P39,P39,True
Barack Hussein Obama II i presiden bilong Ol Yunaitet Stet .,Barack Hussein Obama II,presiden bilong Ol Yunaitet Stet,Q76,Q11696,P39,P39,True
Marcus Stephen i presiden bilong Nauru .,Marcus Stephen,presiden bilong Nauru,Q274174,Q628102,P39,P39,True
Nicolas Sarkozy i presiden bilong Frens .,Nicolas Sarkozy,presiden bilong Frens,Q329,Q191954,P39,P39,True
Ilham Aliyev i presiden bilong Azerbaijan .,Ilham Aliyev,presiden bilong Azerbaijan,Q57371,Q205602,P39,P39,True
William Jefferson ( Bill ) Clinton i presiden bilong Amerika .,William Jefferson ( Bill ) Clinton,presiden bilong Amerika,Q1124,Q11696,P39,P39,True
Kim Il - sung ( 15 Epril 1912 – 8 Julai 1994 ) i presiden bilong Not Koria .,Kim Il - sung,presiden bilong Not Koria,Q41117,Q11700396,P39,P39,True
Toomas Hendrik Ilves i presiden bilong Estonia .,Toomas Hendrik Ilves,presiden bilong Estonia,Q57289,Q890005,P39,P39,True
Ham Lini i praim minista bilong Vanuatu .,Ham Lini,praim minista bilong Vanuatu,Q469851,Q1029958,P39,P39,True
