Unnamed: 0	Number	premise	hypothesis	label
217	218	Deh space Deh too small fi the Genna car park	Di Genna cyaa park deh suh	entailment
218	219	Christmas gone and me just bout fi sample the likkle cake	Bere cake mi eat since Christmas so mi nah guh eat nuh more	contradiction
219	220	October basically finished. Not one Christmas breeze mi nuh feel yet. I’m concerned.	From October start Christmas breeze a blow	contradiction
220	221	Mi cya play pool inna real life and mi cya play it pon mi phone. A wah this	Mi always a beat people wen mi play pool. 	contradiction
221	222	U know seh me start bawl a while ago. Like living eye wata	Me did a cry a while ago. Mi eye dem full up a wata	entailment
222	223	Da beard deh old yo up man… try the other beard wid the nose ring	Yuh need fi stop wear da ring deh cause it a get rusty	neutral
223	224	Mi waa know why mi dream say mi a run from Reading to Bogue. Fast fast too enuh, like lightning deh inna mi foot.	A big piece a lightning lick one grapefruit tree dung a Bogue	neutral
224	225	See it clear seh this side only have strength fi Leeds	This side look like dem have strength fi all a di team dem	contradiction
225	226	One God almighty fridge, 1 tv and 4 bulp inna mi mada house	Mi mada naav nuh tv inna har house	contradiction
226	227	Like mi need fi visit a physiotherapist a morning	Mi feel like me need fi guh one physiotherapist when morning come	entailment
227	228	Rainbow did pretty over mi hall since evening.	Mi si one rainbow when mi did guh a country	neutral
228	229	Only during World Cup mi tweet suh much... watch when it done mi gone back inna hiding	Mi nuh really tweet too often if World Cup nah gwaan	entailment
229	230	Mi remember how the place did tense inna May 2010 an mi just a imagine that x 1000 wid wah gwaan Ukraine. Jah guide an protect 🙏😔	Mi nuh guh work in person since May 2010 suh mi used to di work from home ting	neutral
230	231	Mi a follow mi friend purchase her house a cherry gardens Thursday and follow her go meet the Minister of Education Monday, all this friendship build from renting cars lol homegirl charter jet just fi come yah Mi just admire her.	Mi an mi auntie did plan fi guh visit Cherry Gardens Thursday but she did have one meeting wid one minister di same evenin suh we neva bodda guh	neutral
231	232	A di best clash dis inna magnum history mi naa lie 	Dis a di worst clash mi eva see inna Magnum history	contradiction
232	233	Smaddy tell mi sey yuh did a chat bout mi	Mi and dem did a chat ar	neutral
233	234	Holiday so mi phone deh pon DND.	Since a holiday mi put mi phone pon DND.	entailment
234	235	If yuh nuh season di meat before it guh inna di pot it is not Jamaican food	If di meat nuh season wid pimento it nah guh taste good	neutral
235	236	Feel like me wudda spend few days inna negril	Mi feel fi guh spend couple days inna negril	entailment
236	237	Fry dumpling would a nice inna the morning ya	Me feel fi some fry dumpling inna di morning ya	entailment
237	238	People change so ya fi just live wid it cause yuh caah change a person if they don’t wanna change themselves. 😴	Me nuh know wen dem change di requirement dem but me nuh tink mi a guh apply again	neutral
238	239	Me have the potential fi look good enu , a just bruk me bruk	Even if mi did av money mi know seh mi still woulda struggle fi look good	contradiction
239	240	A lone police deh pan d road	Nuff traffic deh pan di road	neutral
240	241	"Mi ""wallet"" full to de brim and mi belly empty"	Mi av money but mi hungry	entailment
241	242	$650 plus tax fi a likkle can a pineapple slice, with like 5 inna it. Mussi mad. The ham go haffi do without it	Mi uncle normally mek di ham wid pineapple a Christmas time fi gi it likkle flavor	neutral
242	243	Raisin a get soak in a red label wine fi make cake	Mi granny nuh normally mek har cake dem wid raisin	neutral
243	244	Craving pizza or pasta, like mi nuh have box food inna the kitchen.	Mi woulda neva eat pasta nuh matta how hungry mi feel	contradiction
244	245	me nuh understand how Jamaican dancers wear so much clothes inna these hot times. man inna turtle neck man inna trench coat & man inna leather jacket... yow I’m so confused	Jamaican dancers always a wear a bag a clothes like trench coat and dem tings deh. Me nuh get it cause di way how di temperature high dem mus hot	entailment
245	246	Jamaica done have whole heap a deal wid already and cah go manage a outbreak wid dem yah different strain a the virus weh a drop like how Kartel a drop him songs dem	Jamaica have a wul heap a dancehall artiste but dem nuh really a release songs weh can compete wid Kartel	neutral
246	247	If ano CLARKS mi nah wear it.	Mi nuh too like fi wear Clarks.	contradiction
247	248	Last night me dream seh me find 5 bills on the road. Weh dat mean?	Last night me nuh dream see nutn. Too tired fi dream from wah day deh	contradiction
248	249	So mi wash yesterday and never hang out cause a rain now sun a beat and rain just fall out a no where when me hang out! How comes what sign is this	Yesterday di sun did a shine bright suh mi did manage fi hang out di clothes dem	contradiction
249	250	Mi not even ago watch this Room of Requirement scene 🙄	Mi nah guh watch this Room of Requirement scene	entailment
