Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
"Abel Askoena ( Ieprel 1 , 1988 , Madrid ; fuul naem esa Abel Askoena Markuus ) esa wun Spanish akter .",Abel Askoena,akter,Q23907909,Q713200,P106
Taatu esa citii i ' Estonya .,Taatu,Estonya,Q13972,Q191,P17
"Valerii Leontiev ( Maach 19 , 1949 ) esa Rushan singer .",Valerii Leontiev,singer,Q32927,Q177220,P106
Madagascar esa ailen kuntrii i t'Indien Oshun ner Afreka .,Madagascar,ailen kuntrii,Q1019,Q112099,P31
"Anastacia ( Septemba 17 , 1968 , Chicago ) esa Merikan singer .",Anastacia,singer,Q34584,Q177220,P106
Rushan esa em laenghwij i ' Rusha .,Rushan,laenghwij,Q7737,Q34770,P31
Anna Netrebko ( 18 Septemba 1971 ) esa singer .,Anna Netrebko,singer,Q78516,Q2865819,P106
"Vilnius es t ' kapitel a ' Lithyuanya , an its biges citii , wi ' a popyulashun a ' 535,091 ( 809,225 t'gether wi ' Vilnius County ) as a ' 2011 .",Vilnius,Lithyuanya,Q216,Q37,P1376
Mogadisho es t ' kapitel a ' Somalia .,Mogadisho,Somalia,Q2449,Q1045,P1376
"Nyuu Ziilan esa ailen kuntrii eist o ' Ostrielya , i ' a ' sowth Pesifik Oshen .",Nyuu Ziilan,ailen kuntrii,Q664,Q112099,P31
T ' Hawayiian esa laenghwij tal'n i ' Hawayii ( Yunitid Staits ) .,T ' Hawayiian,Hawayii,Q33569,Q782,P2341
Belgrade es kapitel citii a ' Serbya .,Belgrade,Serbya,Q3711,Q403,P1376
Faaroyean esa ofishol laenghwij i ' dem Faaro Ailen ( Denmark ) .,Faaroyean,dem Faaro Ailen,Q25258,Q4628,P2341
Kaluga esa citii i ' Rusha an center a ' t ' Kaluga Oblast .,Kaluga,Rusha,Q2837,Q159,P17
Stokhoelm es t ' kapitel citii a ' Swiiden .,Stokhoelm,Swiiden,Q1754,Q34,P1376
"Kanbra esa kapitel citii o ' Ostrielya , an kapitel a ' t ' Ostrielyan Kapitel Teritrii too .",Kanbra,Ostrielya,Q3114,Q408,P1376
Bulgeriya esa kuntrii i ' Urup .,Bulgeriya,Urup,Q219,Q46,P30
Norfuk es a kreol laenghwij spoekn mien orn Norfuk Ailen an es disendiid fram t ' Pitkern laenghwij a ' t ' setlas from Pitkern Ailen .,Norfuk,Norfuk Ailen Ailen,Q33797,Q31057,P2341
Bulgeriyan esa laenghwij i Bulgeriya .,Bulgeriyan,Bulgeriya,Q7918,Q219,P17
Brisbin esa citii i ' Ostrielya .,Brisbin,Ostrielya,Q34932,Q408,P17
Shikotaan esa ailen i ' Pesifik Oshen o ' Archiipelago dem Kuril Ailen i ' Rusha .,Shikotaan,ailen,Q1043128,Q23442,P31
Tailan esa kuntrii i ' Asya .,Tailan,Asya,Q869,Q48,P30
T ' Hawayiian esa laenghwij tal'n i ' Hawayii ( Yunitid Staits ) .,T ' Hawayiian,laenghwij,Q33569,Q34770,P31
Ufa esa citii i ' Rusha .,Ufa,Rusha,Q911,Q159,P17
Uruguay esa kuntrii i ' Sowth Merika .,Uruguay,Sowth Merika,Q77,Q18,P30
Cape Verde esa ailen kuntrii i ' Afreka .,Cape Verde,ailen kuntrii,Q1011,Q112099,P31
"Alexandre Borges Corrêa ( Febyuweri 23 , 1966 ) es wun Breselyan akter .",Alexandre Borges Corrêa,akter,Q2670396,Q33999,P106
"Samoan esa Polynesian laenghwij , es spoken i ' Samoa .",Samoan,laenghwij,Q34011,Q34770,P31
Hamburg esa big citii i ' Doichland .,Hamburg,Doichland,Q1055,Q183,P17
Mauritius esa ailen kuntrii i ' Afreka .,Mauritius,ailen kuntrii,Q1027,Q112099,P31
Faaroyean esa ofishol laenghwij i ' dem Faaro Ailen ( Denmark ) .,Faaroyean,dem Faaro Ailen,Q25258,Q4628,P17
"Juuno es t ' kapitel a ' Alaska , Yunitid Staits .",Juuno,Alaska,Q29445,Q797,P1376
Aarmanya esa kuntrii i ' Asya .,Aarmanya,Asya,Q399,Q48,P30
Costa Rica esa kuntrii i ' Sentril Merika .,Costa Rica,Sentril Merika,Q800,Q27611,P361
Sowth Afreka esa kuntrii i ' Afreka .,Sowth Afreka,Afreka,Q258,Q15,P30
Osasco esa biges citii i ' Bresel .,Osasco,Bresel,Q4035,Q155,P17
"Josh Duhamel ( Nowemba 14 , 1972 ) es wun Merikan akter .",Josh Duhamel,akter,Q19794,Q33999,P106
"Nathalia Timberg ( Orgas 5 , 1929 ) es wun Breselyan aktress .",Nathalia Timberg,aktress,Q116188,Q33999,P106
Pitkern esa laenghwij spok'n i ' Pitkern Ailen .,Pitkern,Pitkern Ailen,Q36554,Q35672,P2341
"Batlshep esa ailen i ' Alaska , Yunitid Staits .",Batlshep,ailen,Q4873233,Q23442,P31
Cape Verde esa ailen kuntrii i ' Afreka .,Cape Verde,Afreka,Q1011,Q15,P30
Erabek esa laenghwij i ' t ' Medl Eist .,Erabek,laenghwij,Q13955,Q34770,P31
Luksemborg esa kuntrii i ' Urup .,Luksemborg,Urup,Q32,Q46,P30
"Jason Bateman ( Jaenyuweri 14 , 1969 ) es wun Merikan akter .",Jason Bateman,akter,Q284636,Q33999,P106
Yaan Meien esa ailen north a ' Norwaii en esa dapendecii a ' Norwaii .,Yaan Meien,ailen,Q14056,Q23442,P31
Maaori esa laenghwij mien spoken i ' Nyuu Ziilan .,Maaori,laenghwij,Q36451,Q34770,P31
"Andrew Garfield ( Orgas 20 , 1983 ) es wun Merikan akter .",Andrew Garfield,akter,Q23891,Q33999,P106
"Lília Cabral Bertolli Figueiredo ( barn Juulai 13 , 1957 ) esa Breselyan aktress .",Lília Cabral Bertolli Figueiredo,aktress,Q2704200,Q33999,P106
Patio es t ' ofishol kapitel an t ' biges sett'l'ment a ' t ' ailen Tahaa i ' French Poliinesya .,Patio,Tahaa,Q39421306,Q926768,P131
Hispanyola esa ailen in North Merika .,Hispanyola,ailen,Q25277,Q23442,P31
Sidni esa citii i ' Ostrielya .,Sidni,Ostrielya,Q3130,Q408,P17
Daun A'Taun es t ' ofishol kapitel a ' Norfuk Ailen .,Daun A'Taun,Norfuk Ailen,Q30963,Q31057,P1376
Saint Lucia esa ailen kuntrii i ' Etlantic Oshen .,Saint Lucia,ailen kuntrii,Q760,Q112099,P31
Pitkern esa laenghwij spok'n i ' Pitkern Ailen .,Pitkern,Pitkern Ailen,Q36554,Q35672,P17
"Samoan esa Polynesian laenghwij , es spoken i ' Samoa .",Samoan,Samoa,Q34011,Q683,P2341
"Coreca , esa citii i ' Italii , a ' es 4 km area .",Coreca,Italii,Q15220504,Q38,P17
Endora esa kuntrii i ' Urup .,Endora,Urup,Q228,Q46,P30
Berlin esa kapitel a ' Doichland .,Berlin,Doichland,Q64,Q183,P1376
Faaroyean esa ofishol laenghwij i ' dem Faaro Ailen ( Denmark ) .,Faaroyean,laenghwij,Q25258,Q34770,P31
"Freddie Mercury esa singer , Ingland .",Freddie Mercury,singer,Q15869,Q177220,P106
