text,text_preprocessed,LEN,label
Elvis Aaron Presley (8 Januwari 1935 − 16 Ogis 1977) em i bin wan man blong singsing mo akta blong [[Amerika]].,Elvis Aaron Presley em i bin wan man blong singsing mo akta blong Amerika,14,6
Minami Minegishi (bon long 15 Novemba 1992 long Itabashi long Tokyo Metropolis) em i woman blong singsing blong [[Japan]].,Minami Minegishi em i woman blong singsing blong Japan,9,3
Riko Fukumoto (boen 25 Novemba 2000) i akta blong [[Japan]].,Riko Fukumoto i akta blong Japan,6,9
Antonio Vivaldi (4 Maj 1678 long Venice - 28 Julae 1741 long [[Vienna]]) emi bin wan man blong miusik blong [[Itali]].,Antonio Vivaldi emi bin wan man blong miusik blong Itali,10,13
Jirō Hatoyama (boen 1979) i politikis blong [[Japan]].,Jirō Hatoyama i politikis blong Japan,6,38
"Josef Smit (Sharon, [[Vermont]], 1805-Carthage, [[Illinois]], 1844) i bin laef long Yunaeted Stet, we hem i wan kantri ia nomo we i bin stap gat fridom blong relijin long taem ia.",Josef Smit i bin laef long Yunaeted Stet we hem i wan kantri ia nomo we i bin stap gat fridom blong relijin long taem ia,26,35
Hem i bin wan taem we relijin i impoten tumas long Is pat blong [[Yunaeted Stet]].,Hem i bin wan taem we relijin i impoten tumas long Is pat blong Yunaeted_Stet,15,12
Ol famle memba blong hem [[oli]] bin stap insaed long relijin mo [[oli]] bin stap lukaotem trutok oltaem.,Ol famle memba blong hem oli bin stap insaed long relijin mo oli bin stap lukaotem trutok oltaem,18,35
[[Be]] plante minista oli bin klemem se oli bin gat tru gospel.,Be plante minista oli bin klemem se oli bin gat tru gospel,12,0
"Baebol i bin tijim se i gat “wan Masta nomo, wan tok nomo blong bilif long hem, mo wan baptaes nomo” ([[Efesas]] 4:5).",Baebol i bin tijim se i gat “ wan Masta nomo wan tok nomo blong bilif long hem mo wan baptaes nomo ”,23,40
William Shatner (boen 22 Maj 1931) em i akta blong [[Kanada]].,William Shatner em i akta blong Kanada,7,45
"Long Julae 2008, populaesen blong [[Louisiana]] i stap araon 4,410,796.",Long Julae populaesen blong Louisiana i stap araon,8,41
Fernand Joseph Désiré Contandin (1903 - 1971) i akta blong [[Franis]].,Fernand Joseph Désiré Contandin i akta blong Franis,8,8
Maki Goto (boen 1985) em i woman blong singsing blong [[Japan]].,Maki Goto em i woman blong singsing blong Japan,9,3
Niu York em i wan siti blong Niu York Stet blong [[Yunaeted Stet blong Amerika]].,Niu York em i wan siti blong Niu York Stet blong Yunaeted_Stet_blong_Amerika,12,7
Incheon i bigtaon blong [[Saot Koria]].,Incheon i bigtaon blong Saot_Koria,5,21
Thomas DeCarlo Callaway (boen 30 Mei 1975) i singa mo akta blong [[Yunaeted Stet blong Amerika]].,Thomas DeCarlo Callaway i singa mo akta blong Yunaeted_Stet_blong_Amerika,9,44
Alain Fabien Maurice Marcel Delon (boen 1935) i akta blong [[Franis]].,Alain Fabien Maurice Marcel Delon i akta blong Franis,9,8
Hemi wan bigfala wud we ol man [[oli]] ko visitim taem [[oli]] ko long tanna.,Hemi wan bigfala wud we ol man oli ko visitim taem oli ko long tanna,15,40
Kim Jong-hyun (1990 - 2017) em i wan man blong singsing blong [[Saot Koria]].,Kim Jonghyun em i wan man blong singsing blong Saot_Koria,10,37
Torba i provens blong [[Vanuatu]].,Torba i provens blong Vanuatu,5,5
Capital blong Torba i [[Sola]].,Capital blong Torba i Sola,5,4
"Alfred Matthew ""Weird Al"" Yankovic (bon 23 Oktoba 1959), em i man blong singsing mo man blong fani blong [[Yunaeted Stet blong Amerika]].",Alfred Matthew Weird Al Yankovic em i man blong singsing mo man blong fani blong Yunaeted_Stet_blong_Amerika,16,26
Israel i kaontri long [[Esia]].,Israel i kaontri long Esia,5,10
Clark Gable (1 Feb 1901 – 16 Novemba 1960) em i akta blong [[Yunaeted Stet blong Amerika]].,Clark Gable em i akta blong Yunaeted_Stet_blong_Amerika,7,34
Uganda i kaontri long [[Afrika]].,Uganda i kaontri long Afrika,5,33
Tomokazu Miura (boen 28 Januware 1952) i akta blong [[Japan]].,Tomokazu Miura i akta blong Japan,6,9
Emmanuel Jean-Michel Frédéric Macron (bon 21 Desemba 1977) em i hed blong stet blong [[Franis]].,Emmanuel JeanMichel Frédéric Macron em i hed blong stet blong Franis,11,12
Giotto da Bondone (1267 – 8 Januar 1338) em i bin wan man blong [[arkitekisa]] blong [[Itali]].,Giotto da Bondone em i bin wan man blong arkitekisa blong Itali,12,13
"Long Julae 2009, populaesen blong [[Virginia]] i stap araon 24,782,302.",Long Julae populaesen blong Virginia i stap araon,8,41
"Maurizio Micheli, (3 Februari 1947 long Livorno) i akta, man blong mekem muvi, blong [[Itali]].",Maurizio Micheli i akta man blong mekem muvi blong Itali,10,50
Daejeon i bigtaon blong [[Saot Koria]].,Daejeon i bigtaon blong Saot_Koria,5,21
Providence hem i kapital blong [[Rhode Island]].,Providence hem i kapital blong Rhode_Island,6,29
"Gupo Stesen i relwei stesen long Gyeongbu laen, stap long [[Busan]].",Gupo Stesen i relwei stesen long Gyeongbu laen stap long Busan,11,48
Annapolis hem i kapital blong [[Maryland]].,Annapolis hem i kapital blong Maryland,6,29
"Alla Borisovna Pugacheva (bon long 15 Epril 1949 long [[Moskow]]), em i woman blong singsing mo raeta blong miusik blong Rusia.",Alla Borisovna Pugacheva em i woman blong singsing mo raeta blong miusik blong Rusia,14,37
"Sato Kilman (30 disemba 1957, Malekula) hemi elekted long 2009 olsem Lida blong Opposisen blong [[Vanuatu]] afta ol grup blong Grin mo Namakiaute oli disaed blong ko sapotem hem akensem Maxime Carlot Korman we hemi fel blong jenisim kavman plente taem.",Sato Kilman hemi elekted long olsem Lida blong Opposisen blong Vanuatu afta ol grup blong Grin mo Namakiaute oli disaed blong ko sapotem hem akensem Maxime Carlot Korman we hemi fel blong jenisim kavman plente taem,36,28
"Long end blong Novemba 2010, Praem Minista [[Edward Natapei]] hemi appointem hem olsem Deputy Praem Minista mo Minista blong Tred blong riplesem Ham Lini.",Long end blong Novemba Praem Minista Edward_Natapei hemi appointem hem olsem Deputy Praem Minista mo Minista blong Tred blong riplesem Ham Lini,22,35
"Long aelan ia, i gat [[Luganville]], hem i kapital blong [[Sanma]].",Long aelan ia i gat Luganville hem i kapital blong Sanma,11,29
"[[Long]] [[Wol]] wo tu, armi blong [[Amerika]] hem i bin kriatem wan stamba.",Long Wol wo tu armi blong Amerika hem i bin kriatem wan stamba,13,40
Nem blong stamba hem i [[Buttons]].,Nem blong stamba hem i Buttons,6,20
afta long [[wol]] wo tu santo i bin kat fulap development i kam antap mo ol man [[oli]] bin save sentem pikinini ko long skul mo kasem gudfala wok mo [[oli]] bin jusum lablas olsem wan pablic ples we ol man [[oli]] save ko stap togeta long taem blong wan lafet o eni taem we oli wantem seleparsion olsem interdependence day,afta long wol wo tu santo i bin kat fulap development i kam antap mo ol man oli bin save sentem pikinini ko long skul mo kasem gudfala wok mo oli bin jusum lablas olsem wan pablic ples we ol man oli save ko stap togeta long taem blong wan lafet o eni taem we oli wantem seleparsion olsem interdependence day,61,28
Marlon Brando Jr. (3 Epril 1924 – 1 Julae 2004) i akta blong [[Yunaeted Stet blong Amerika]].,Marlon Brando Jr i akta blong Yunaeted_Stet_blong_Amerika,7,44
Jiang Zemin (boen 1926) i hed blong stet blong [[Jaena]].,Jiang Zemin i hed blong stet blong Jaena,8,32
Taewan i kaontri long [[Esia]].,Taewan i kaontri long Esia,5,10
"Long Julae 2016, populaesen blong [[Hawaii]] i stap araon 1,428,557.",Long Julae populaesen blong Hawaii i stap araon,8,41
Shiori Tamai (boen 1995) em i woman blong singsing blong [[Japan]].,Shiori Tamai em i woman blong singsing blong Japan,9,3
"John Pierpont ""J. P."" Morgan (17 Epril 1837 – 31 Maj 1913) em i bisnesman blong [[Yunaeted Stet blong Amerika]].",John Pierpont J P Morgan em i bisnesman blong Yunaeted_Stet_blong_Amerika,10,49
Jennie kim (boen 16 Januale 1996) em i woman blong singsing blong [[Saot Koria]].,Jennie kim em i woman blong singsing blong Saot_Koria,9,37
Shinzō Abe (bon 21 Septemba 1954) i praem minista blong [[Japan]].,Shinzō Abe i praem minista blong Japan,7,42
"[[Nangai]] hemi semark long natapoa from twofala olsem one nut, defrent between natapoa mo nangi hemi two drfrent tree mekem sei mi must talem olsem blong you save.",Nangai hemi semark long natapoa from twofala olsem one nut defrent between natapoa mo nangi hemi two drfrent tree mekem sei mi must talem olsem blong you save,28,40
James Madison Jr. (1751 - 1836) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,James Madison Jr i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,46
John Quincy Adams (11/7/1767 - 23/2/1848) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,John Quincy Adams i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,46
Mongolia i kaontri long [[Esia]].,Mongolia i kaontri long Esia,5,30
Daebang Stesen i relwei stesen long [[Seoul]].,Daebang Stesen i relwei stesen long Seoul,7,48
Momoko Okui (boen 7 Maj 1968) i akta blong [[Japan]].,Momoko Okui i akta blong Japan,6,9
hemi wan [[tree]] we igat frut blong hem.,hemi wan tree we igat frut blong hem,8,35
Jean Gabin (1904 - 1976) i akta blong [[Franis]].,Jean Gabin i akta blong Franis,6,45
Yuko Nakazawa (boen 1973) em i woman blong singsing blong [[Japan]].,Yuko Nakazawa em i woman blong singsing blong Japan,9,3
Johann Sebastian Bach (28 Mah 1685 long Eisenach – 28 Jul 1750 long Leipzig) em i bin wan man blong miusik blong [[Jemani]].,Johann Sebastian Bach em i bin wan man blong miusik blong Jemani,12,13
Andrew Johnson (1808 - 1875) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Andrew Johnson i hed blong stet blong Yunaeted_Stet_blong_Amerika,8,46
Springfield hem i kapital blong [[Illinois]].,Springfield hem i kapital blong Illinois,6,29
Grap kokonas hemi wan aninmol we fulap man oli wantem kakae maet blo hem i nice mo tast gud even ol turist tu oli wantem kakae taem oli visitm [[Vanuatu]].,Grap kokonas hemi wan aninmol we fulap man oli wantem kakae maet blo hem i nice mo tast gud even ol turist tu oli wantem kakae taem oli visitm Vanuatu,30,0
Louis Armstrong (4 Ogis 1901 – 6 Julae 1971) em i bin man blong singsing blong [[Yunaeted Stet blong Amerika]].,Louis Armstrong em i bin man blong singsing blong Yunaeted_Stet_blong_Amerika,10,26
Masaki Kanda (boen 21 Desemba 1950) i akta blong [[Japan]].,Masaki Kanda i akta blong Japan,6,9
Mark Acheson (boen 19 Septemba 1957) em i akta blong [[Kanada]].,Mark Acheson em i akta blong Kanada,7,45
Momoka Akashi (boen 1981) em i woman blong singsing blong [[Japan]].,Momoka Akashi em i woman blong singsing blong Japan,9,3
"Iolu Abil ([[Tanna]], 1942) i presiden blong [[Vanuatu]].",Iolu Abil i presiden blong Vanuatu,6,5
Renhō Murata (boen 1967) i politikis blong [[Japan]].,Renhō Murata i politikis blong Japan,6,38
Elmshorn i stap smol taon blong [[Jemani]] blong west.,Elmshorn i stap smol taon blong Jemani blong west,9,47
Sukarno i Hed blong Stet (presidens) blong Yunaeted Stet blong [[Indonesia]] (1945-1967),Sukarno i Hed blong Stet blong Yunaeted Stet blong Indonesia,10,46
"Abbas Kiarostami (bon long 22 Maj 1940 long Tehran – bin ded long 6 Septemba 2016 long [[Paris]] long [[Franis]]), em i bin wan muvi daerekta blong [[Iran]].",Abbas Kiarostami em i bin wan muvi daerekta blong Iran,10,17
"Long July 2009, populaesen blong [[Kentucky]] i stap araon 4,314,113.",Long July populaesen blong Kentucky i stap araon,8,41
Satyajit Ray (2 Mei 1921 – 23 Epril 1992) em i muvi daerekta blong [[India]].,Satyajit Ray em i muvi daerekta blong India,8,17
Amitabh Harivansh Rai Shrivastava Bachchan (boen 1942) i akta blong [[India]].,Amitabh Harivansh Rai Shrivastava Bachchan i akta blong India,9,8
"Hindi (हिन्दी, हिंदी) i tok tok blong [[India]].",Hindi i tok tok blong India,6,21
Gerhard Schröder (boen 7 Epril 1944) em i hed blong stet blong [[Jemani]].,Gerhard Schröder em i hed blong stet blong Jemani,9,12
"Zhu Xi (mo ""Chu Hsi"", Chinese: 朱熹, 1130-1200) em i bin wan man blong [[Filosofi]] mo Litorasa blong [[Jaena]].",Zhu Xi em i bin wan man blong Filosofi mo Litorasa blong Jaena,13,1
Emi gat han mo [[leg]] be emi hiphop plante.,Emi gat han mo leg be emi hiphop plante,9,0
Oman i kaontri long [[Esia]].,Oman i kaontri long Esia,5,10
Brasil i [[kaontri]] long [[Saot Amerika]].,Brasil i kaontri long Saot Amerika,6,33
Łobez i wan taon long [[Polan]].,Łobez i wan taon long Polan,6,13
Nauru i kaontri long [[Pasifik]].,Nauru i kaontri long Pasifik,5,33
“Doti win we i stap olbaot long [[wol]] i wan long ol bigfala problem long [[wol]] blong yumi.”,“ Doti win we i stap olbaot long wol i wan long ol bigfala problem long wol blong yumi ”,20,11
Namba em i wan samting blong [[matematikis]].,Namba em i wan samting blong matematikis,7,13
Boise hem i kapital blong [[Idaho]].,Boise hem i kapital blong Idaho,6,36
Helena hem i kapital blong [[Montana]].,Helena hem i kapital blong Montana,6,36
"Ronald Wilson Reagan (6 Februari 1911 – 5 Jun 2004) em i akta mo Hed blong Stet (presidens) blong [[Yunaeted Stet blong Amerika]], pati blong hem i Republican Pati.",Ronald Wilson Reagan em i akta mo Hed blong Stet blong Yunaeted_Stet_blong_Amerika pati blong hem i Republican Pati,18,7
"Lemahrejo hem i taon long [[Is Java]], [[Indonesia]].",Lemahrejo hem i taon long Is_Java Indonesia,7,8
Judy Garland (10 Jun 1922 – 22 Jun 1969) em i akta blong [[Yunaeted Stet blong Amerika]].,Judy Garland em i akta blong Yunaeted_Stet_blong_Amerika,7,34
Euclid (Yuklid) (365-275 BCE) i bin wan man blong [[Jiometri]] blong Greece.,Euclid i bin wan man blong Jiometri blong Greece,9,50
Tetsu Katayama (28 Julae 1887 – 30 Mei 1978) i praem minista blong [[Japan]].,Tetsu Katayama i praem minista blong Japan,7,42
Takeo Fukuda (14 Januware 1905 – 5 Julae 1995) i praem minista blong [[Japan]].,Takeo Fukuda i praem minista blong Japan,7,42
Gini-Bisau i kaontri long [[Afrika]].,GiniBisau i kaontri long Afrika,5,33
"Mildred ""Millie"" Dresselhaus (11 Novemba 1930 – 20 Februari 2017) em i saentis blong [[Yunaeted Stet blong Amerika]].",Mildred Millie Dresselhaus em i saentis blong Yunaeted_Stet_blong_Amerika,8,49
Lebanon i kaontri long [[Esia]].,Lebanon i kaontri long Esia,5,10
Gryfice i wan taon long [[Polan]].,Gryfice i wan taon long Polan,6,13
Momoko Akiyama (boen 1986) i akta blong [[Japan]].,Momoko Akiyama i akta blong Japan,6,9
