Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property,Pred_Property,Prediction
Davit Bakradze es un georgiano politico .,Davit Bakradze,politico,Q673705,Q82955,P106,P106,TRUE
Cher Lloyd es un cantante,Cher Lloyd,cantante,Q230451,Q177220,P106,P106,TRUE
Lena Belkina ( ta nacida el 1987 ) es un cantante .,Lena Belkina,cantante,Q6522077,Q177220,P106,P106,TRUE
Franka Batelić ( ta nacida el 1992 ) es un cantante de pop y soul .,Franka Batelić,cantante,Q468367,Q177220,P106,P106,TRUE
Nina Kraljić ( ta nacida el 1992 ) es un cantante de pop,Nina Kraljić,cantante,Q22928445,Q177220,P106,P106,TRUE
Mila Nitich es una cantante de Ucrania .,Mila Nitich,cantante,Q4293297,Q177220,P106,P106,TRUE
Bebe Rexha es un cantante,Bebe Rexha,cantante,Q16185856,Q177220,P106,P106,TRUE
"Allan Pineda Lindo , alias apl.de.ap , ( nacido el 28 de noviembre de 1974 ) es un cantante de R&B y soul .",Allan Pineda Lindo,cantante,Q293590,Q177220,P106,P106,TRUE
"Córdoba es un ciudad de Argentina , con un populacion de 1.329.604 maga gente 2010 .",Córdoba,Argentina,Q44759,Q414,P131,P17,FALSE
"Corrientes es un ciudad de Argentina , con un populacion de 346.334 maga gente ( 2010 ) .",Corrientes,Argentina,Q44758,Q414,P131,P17,FALSE
"Rotterdam es un ciudad de Holanda , con un populacion de 617.347 maga gente ( 2012 ) .",Rotterdam,Holanda,Q34370,Q55,P131,P17,FALSE
"Mendoza es un ciudad de Argentina , con un populacion de 114.822 maga gente 2010 .",Mendoza,Argentina,Q44797,Q414,P131,P17,FALSE
Caracas - es el capital del nacion Venezuela .,Caracas,Venezuela,Q1533,Q717,P1376,P17,FALSE
El Nuuk es el ciudad capital del Groenlandia .,Nuuk,Groenlandia,Q226,Q223,P1376,P17,FALSE
El Ottawa es el ciudad capital del Canada .,Ottawa,Canada,Q1930,Q16,P1376,P17,FALSE
El Lisboa es el ciudad capital del Portugal .,Lisboa,Portugal,Q597,Q45,P1376,P17,FALSE
El Tbilisi amo el capital del ' Georgia .,Tbilisi,Georgia,Q994,Q230,P1376,P17,FALSE
El Berlín amo el capital del Alemania .,Berlín,Alemania,Q64,Q183,P1376,P17,FALSE
El Roma amo el capital del ' Italia,Roma,Italia,Q220,Q38,P1376,P17,FALSE
Pekín es el capital de China .,Pekín,China,Q956,Q148,P1376,P17,FALSE
El Paris amo el capital del ' Francia .,Paris,Francia,Q90,Q142,P1376,P17,FALSE
"Barcelona ay una ciudad española , el capital de Cataluña .",Barcelona,Cataluña,Q1492,Q5705,P1376,P131,FALSE
"Sárkeresztes es un baryu del provincia de Fejér , na Hungría .",Sárkeresztes,Hungría,Q390971,Q28,P17,P17,TRUE
Baselga di Piné es una ciudad italia na de la provincia de Trento ( Trentino ) .,Baselga di Piné,italia,Q244005,Q38,P17,P17,TRUE
"Rosario es un ciudad de Argentina , con un populacion de 1.036.286 maga gente ( 2009 ) .",Rosario,Argentina,Q52535,Q414,P17,P17,TRUE
"Catalão es un ciudad del Centro - Oeste del Brasil , na estado de Goiás .",Catalão,Brasil,Q35135,Q155,P17,P17,TRUE
"Reconquista es un ciudad de Argentina , con un populacion de 99.288 maga gente 2010 .",Reconquista,Argentina,Q933165,Q414,P17,P17,TRUE
Amsterdam es el ciudad capital del Holanda .,Amsterdam,Holanda,Q727,Q55,P17,P17,TRUE
"Tordas es un baryu del provincia de Fejér , na Hungría .",Tordas,Hungría,Q972594,Q28,P17,P17,TRUE
"Pátka es un baryu del provincia de Fejér , na Hungría .",Pátka,Hungría,Q1094990,Q28,P17,P17,TRUE
"Sárosd es un baryu del provincia de Fejér , na Hungría .",Sárosd,Hungría,Q1084388,Q28,P17,P17,TRUE
"Újbarok es un baryu del provincia de Fejér , na Hungría .",Újbarok,Hungría,Q240322,Q28,P17,P17,TRUE
"Sárkeszi es un baryu del provincia de Fejér , na Hungría .",Sárkeszi,Hungría,Q258522,Q28,P17,P17,TRUE
"Soponya es un baryu del provincia de Fejér , na Hungría .",Soponya,Hungría,Q1084395,Q28,P17,P17,TRUE
"Úrhida es un baryu del provincia de Fejér , na Hungría .",Úrhida,Hungría,Q523090,Q28,P17,P17,TRUE
Lota es un ciudad del Chile con un populacion de 49.089 gente ( 2002 ) .,Lota,Chile,Q16911,Q298,P17,P17,TRUE
"Szár es un baryu del provincia de Fejér , na Hungría .",Szár,Hungría,Q1094998,Q28,P17,P17,TRUE
"Vereb es un baryu del provincia de Fejér , na Hungría .",Vereb,Hungría,Q587260,Q28,P17,P17,TRUE
"Vértesacsa es un baryu del provincia de Fejér , na Hungría .",Vértesacsa,Hungría,Q1084360,Q28,P17,P17,TRUE
"Pákozd es un baryu del provincia de Fejér , na Hungría .",Pákozd,Hungría,Q1084400,Q28,P17,P17,TRUE
"Óbarok es un baryu del provincia de Fejér , na Hungría .",Óbarok,Hungría,Q1095342,Q28,P17,P17,TRUE
"Tác es un baryu del provincia de Fejér , na Hungría .",Tác,Hungría,Q946252,Q28,P17,P17,TRUE
"Láchar es un municipio del provincia de Granada , na España .",Láchar,España,Q484981,Q29,P17,P17,TRUE
"Paraná es un ciudad de Argentina , con un populacion de 283.710 maga gente ( 2013 ) .",Paraná,Argentina,Q44213,Q414,P17,P17,TRUE
"Toronto es un ciudad del Canada , tiene un populacion de 2 731 571 maga gente ( 2016 ) .",Toronto,Canada,Q172,Q16,P17,P17,TRUE
"Zurich es un ciudad del Suiza , tiene un populacion de 392.062 maga gente ( 2012 ) .",Zurich,Suiza,Q72,Q39,P17,P17,TRUE
Coronel es un ciudad del Chile con un populacion de 95.527 gente ( 2002 ) .,Coronel,Chile,Q3873,Q298,P17,P17,TRUE
El Düsseldorf amo un ciudad del Alemania .,Düsseldorf,Alemania,Q1718,Q183,P17,P17,TRUE
Edirne es una ciudad na Turquía,Edirne,Turquía,Q43387,Q43,P17,P17,TRUE
Monte Águila el primero es una ciudad na Chile .,Monte Águila,Chile,Q6022566,Q298,P17,P17,TRUE
"Perkáta es un baryu del provincia de Fejér , na Hungría .",Perkáta,Hungría,Q339890,Q28,P17,P17,TRUE
"Utrecht es un ciudad de Holanda , con un populacion de 324.723 maga gente ( 2013 ) .",Utrecht,Holanda,Q803,Q55,P17,P17,TRUE
Israel es un pais na Asia .,Israel,Asia,Q801,Q48,P30,P30,TRUE
Sri Lanka es un pais insular de Asia .,Sri Lanka,Asia,Q854,Q48,P30,P30,TRUE
Bangladesh es un pais del sur de Asia .,Bangladesh,Asia,Q902,Q48,P30,P30,TRUE
Brunei es un pais na Asia .,Brunei,Asia,Q921,Q48,P30,P30,TRUE
El Líbano es un pais na Asia .,El Líbano,Asia,Q822,Q48,P30,P30,TRUE
El Belgica amo un pais na Europa .,El Belgica,Europa,Q31,Q46,P30,P30,TRUE
Singapur es un pais insular de Asia .,Singapur,Asia,Q334,Q48,P30,P30,TRUE
El Cuba es un pais na America .,El Cuba,America,Q241,Q49,P30,P30,TRUE
Papua Nueva Guinea es un pais na Oceania .,Papua Nueva Guinea,Oceania,Q691,Q55643,P361,P30,FALSE
