Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property,Pred_Property,Prediction
Paraguay esa inlan kuntrii i ' Sowth Merika .,Paraguay,Sowth Merika,Q733,Q18,P30,P31,FALSE
Endora esa kuntrii i ' Urup .,Endora,Urup,Q228,Q46,P30,P131,FALSE
Burkina Faso esa kuntrii i ' Afreka .,Burkina Faso,Afreka,Q965,Q15,P30,P1376,FALSE
T ' Repablik a ' Nauruu ( also spelt Ripublik Naoero ) esa ailen kuntrii i ' Pesifik Oshen .,T ' Repablik a ' Nauruu,ailen kuntrii,Q697,Q112099,P31,P361,FALSE
"Nyuu Ziilan esa ailen kuntrii eist o ' Ostrielya , i ' a ' sowth Pesifik Oshen .",Nyuu Ziilan,ailen kuntrii,Q664,Q112099,P31,P31,TRUE
Mauritius esa ailen kuntrii i ' Afreka .,Mauritius,ailen kuntrii,Q1027,Q112099,P31,P31,TRUE
Cape Verde esa ailen kuntrii i ' Afreka .,Cape Verde,ailen kuntrii,Q1011,Q112099,P31,P31,TRUE
Saint Lucia esa ailen kuntrii i ' Etlantic Oshen .,Saint Lucia,ailen kuntrii,Q760,Q112099,P31,P31,TRUE
Hispanyola esa ailen in North Merika .,Hispanyola,ailen,Q25277,Q23442,P31,P131,FALSE
"Batlshep esa ailen i ' Alaska , Yunitid Staits .",Batlshep,ailen,Q4873233,Q23442,P31,P1376,FALSE
"Saint Vincent a ' t ' Grenadines esa ailen kuntrii i ' Etlantic Oshen , i ' t ' karibiyen .",Saint Vincent a ' t ' Grenadines,ailen kuntrii,Q757,Q112099,P31,P31,TRUE
Trinidad a ' Tobago esa ailen kuntrii i ' Etlantic Oshen .,Trinidad a ' Tobago,ailen kuntrii,Q754,Q112099,P31,P17,FALSE
Serbyan esa major laenghwij a ' Serbya .,Serbyan,laenghwij,Q9299,Q4536543,P31,P31,TRUE
Bulgeriyan esa laenghwij i Bulgeriya .,Bulgeriyan,laenghwij,Q7918,Q34770,P31,P361,FALSE
Pitkern esa laenghwij spok'n i ' Pitkern Ailen .,Pitkern,laenghwij,Q36554,Q34770,P31,P31,TRUE
"Samoan esa Polynesian laenghwij , es spoken i ' Samoa .",Samoan,laenghwij,Q34011,Q34770,P31,P31,TRUE
Erabek esa laenghwij i ' t ' Medl Eist .,Erabek,laenghwij,Q13955,Q34770,P31,P106,FALSE
Faaroyean esa ofishol laenghwij i ' dem Faaro Ailen ( Denmark ) .,Faaroyean,laenghwij,Q25258,Q34770,P31,P31,TRUE
T ' Hawayiian esa laenghwij tal'n i ' Hawayii ( Yunitid Staits ) .,T ' Hawayiian,laenghwij,Q33569,Q34770,P31,P361,FALSE
Maaori esa laenghwij mien spoken i ' Nyuu Ziilan .,Maaori,laenghwij,Q36451,Q34770,P31,P31,TRUE
Rushan esa em laenghwij i ' Rusha .,Rushan,laenghwij,Q7737,Q34770,P31,P361,FALSE
Shikotaan esa ailen i ' Pesifik Oshen o ' Archiipelago dem Kuril Ailen i ' Rusha .,Shikotaan,ailen,Q1043128,Q23442,P31,P31,TRUE
Yaan Meien esa ailen north a ' Norwaii en esa dapendecii a ' Norwaii .,Yaan Meien,ailen,Q14056,Q23442,P31,P31,TRUE
Costa Rica esa kuntrii i ' Sentril Merika .,Costa Rica,Sentril Merika,Q800,Q27611,P361,P1376,FALSE
Beles esa kuntrii i ' Sentril Merika .,Beles,Sentril Merika,Q242,Q27611,P361,P31,FALSE
Nicaragua esa kuntrii i ' Sentril Merika .,Nicaragua,Sentril Merika,Q811,Q27611,P361,P1376,FALSE
