text,text_preprocessed,LEN,label
 es t' ofishol [[kurencii]] a' [[Fiijii]].,es t ofishol kurencii a Fiijii,6,73
"Iin [[Norfuk]]/[[Pitkern]], t' uni letaa difr'nt iin t' [[Inglish]] ekronim es t' ""S"" as t' ""G"" (as t' Norfuk/Pitkern werd f' ""gay"" es ""suuta"").",Iin NorfukPitkern t uni letaa difrnt iin t Inglish ekronim es t S as t G,16,12
"Pigazzano esa toen i' [[Italii]], a' es 6.2 km² area.",Pigazzano esa toen i Italii a es km² area,9,1
Dis 's wen Niue got independens an join'd i' t' frii associashun wi' [[Nyuu Ziilan]].,Dis s wen Niue got independens an joind i t frii associashun wi Nyuu_Ziilan,14,73
Wiehs a' get araun: Norufuk [[Ailen]] transport.,Wiehs a get araun Norufuk Ailen transport,7,0
"[[Norfuk Ailen]] reliis moestly on tuu forms a' transport: Dem sheps laen a' [[Kingston]] ulla Kaaskied piya, en pliens laen a' t' Norfuk Ailen Eyaport.",Norfuk_Ailen reliis moestly on tuu forms a transport Dem sheps laen a Kingston ulla Kaaskied piya en pliens laen a t Norfuk Ailen Eyaport,24,68
Lae es t' sekan biges sitii iin [[Papua Nyuu Gini]].,Lae es t sekan biges sitii iin Papua_Nyuu_Gini,8,32
Baagdad ([[Erabek]]: بغداد‎) esa wan o' em biges citii o' [[Medl Eist]].,Baagdad esa wan o em biges citii o Medl_Eist,9,29
Ets elsa t' kapitel an t' biges citii a' [[Eraak]] (wit a' popyulayshun a' 9 million salan).,Ets elsa t kapitel an t biges citii a Eraak,10,71
"Sukhumi ulla Sukhum ([[Rushan]]: Сухум; Jorjan: სოხუმი; Abkasiyan: ""Аҟәа"") es t' kapitel citii o' region Abkasiya an o' unrekogniis'd kuntrii [[Repablik o' Abkasiya]] (""[[Jorja]]"").",Sukhumi ulla Sukhum es t kapitel citii o region Abkasiya an o unrekogniisd kuntrii Repablik_o_Abkasiya,15,6
"Hebe Maria Camargo (barn 8 Maach 1929) esa [[Bresel]]yan television presenta, aktres an singa.",Hebe Maria Camargo esa Breselyan television presenta aktres an singa,10,73
Estonya esa kuntrii i' [[Urup]].,Estonya esa kuntrii i Urup,5,66
[[Tallinn]] es t' kapitel.,Tallinn es t kapitel,4,17
"Estonya, [[Latwya]] a' [[Lithyuanya]] maik a' em Baawltik Staat.",Estonya Latwya a Lithyuanya maik a em Baawltik Staat,9,18
"Estonya es kut i' 15 cauntii, kaal ""maakond"" i' [[Estonyan]]:",Estonya es kut i cauntii kaal maakond i Estonyan,9,52
 esa [[ailen]] kuntrii i' [[Pesifik Oshen]].,esa ailen kuntrii i Pesifik Oshen,6,63
Es kapitel a' [[Funafuti]].,Es kapitel a Funafuti,4,38
" (Norwaiian: ""Svalbard""; [[Rushan]]: ""Шпицберген""; Doich: ""Spitzbergen"") esa [[ailen]] north a' [[Norwaii]] en esa dapendecii a' Norwaii.",esa ailen north a Norwaii en esa dapendecii a Norwaii,10,68
"Campora San Giovanni, esa citii i' [[Italii]], a' es 6,2 km area.",Campora San Giovanni esa citii i Italii a es km area,11,1
"[[Puerto Rico]] ofishili t' [[Commonwealth of Puerto Rico]] ""(Spanish: [[Estado Libre Asociado de Puerto Rico]])"" esa Merikan teritorii.",Puerto_Rico ofishili t Commonwealth of Puerto Rico esa Merikan teritorii,10,12
Sicilii esa ailen i' [[Italii]].,Sicilii esa ailen i Italii,5,27
[[A]]' Etem es a' baesik paatikel a' t' metaa.,A Etem es a baesik paatikel a t metaa,9,68
"[[Theresa Mary May]] (née Brasier, born 1 Oktoeba 1956) es t' Priim Minista a' t' [[Yunitid Kingdum]].",Theresa_Mary_May es t Priim Minista a t Yunitid Kingdum,9,5
T' [[kapitel citii]] es [[Kingston]].,T kapitel_citii es Kingston,4,67
"T' airea o' t' kuntrii es 10,991 km² an t' [[popyulayshun]] as a' 2017 iya es 2,890,299 salan.",T airea o t kuntrii es km² an t popyulayshun as a iya es salan,15,52
"T' mien [[laenghwij]] es [[Inglish]], alla ets neya kuntriis daa tal [[Spanish]].",T mien laenghwij es Inglish alla ets neya kuntriis daa tal Spanish,12,52
Esrail esa kuntrii i' t' [[Medl Eist]].,Esrail esa kuntrii i t Medl_Eist,6,7
"Mas salan a' Esrail es em [[Jua]], taedha salan a' em Erab an a' em Druus.",Mas salan a Esrail es em Jua taedha salan a em Erab an a em Druus,16,73
"T' kapitel citii es Jerusalem daa es houlii i' [[Islem]], [[Judaism]] an [[Kreschenitii]].",T kapitel citii es Jerusalem daa es houlii i Islem Judaism an Kreschenitii,13,54
"Samoan esa Polynesian laenghwij, es spoken i' [[Samoa]].",Samoan esa Polynesian laenghwij es spoken i Samoa,8,2
Blomberg esa toen i' [[Doichland]].,Blomberg esa toen i Doichland,5,23
Iseland esa kuntrii i' [[Urup]].,Iseland esa kuntrii i Urup,5,66
Yaren Konstituensii es wan a' dem konstituensiis o' [[Nauruu]].,Yaren Konstituensii es wan a dem konstituensiis o Nauruu,9,12
Miidya riilated t' Konstituensiis o' [[Nauruu]] a' Wikkamiidya Komons.,Miidya riilated t Konstituensiis o Nauruu a Wikkamiidya Komons,9,59
"Šiprage (Шипраге) esa village in [[Bosnya a' Hersegowina]], kuntrii i' [[Urup]].",Šiprage esa village in Bosnya_a_Hersegowina kuntrii i Urup,8,14
Ducie Ailen esa [[ailen]] i t' [[Pesifik Oshen]].,Ducie Ailen esa ailen i t Pesifik Oshen,8,27
Es oend b' [[Pitkern Ailen]].,Es oend b Pitkern_Ailen,4,3
Kresmes (Anshunt Griik: Ή κατά σάρκα Γέννησις τού Κυρίου καί Θεού καί Σωτήρος ἡμῶν Ιησού Χριστού) es a [[Kreschen]] ennyuual hohlidi dat silibriet d' biirth o' Jiisus Kraist.,Kresmes es a Kreschen ennyuual hohlidi dat silibriet d biirth o Jiisus Kraist,13,59
"Et s' silibriet'd orn Disemba 25 i' t' Werl eksept d' ortodoks kuntriis ([[Rusha]], [[Yukrayn]], [[Griis]] andem) said et s' silibriet'd orn Jaenyuweri 7.",Et s silibrietd orn Disemba i t Werl eksept d ortodoks kuntriis said et s silibrietd orn Jaenyuweri,18,48
"Iin d' Northern Hemisfiir, d' Kresmes siisen es iin [[winta]].",Iin d Northern Hemisfiir d Kresmes siisen es iin winta,10,9
Plenti o' em sitiis an tauns silibreit [[Kresmes]] lorngf' putinap dekorayshuns.,Plenti o em sitiis an tauns silibreit Kresmes lorngf putinap dekorayshuns,11,12
"Thus, Ángela and Samantha will hauf t' fight wi' all dem obstacles daa their enemies will [[put]] them through i' order t' b' hapii wi' t' piopel dey love, while always having a' brave heart.",Thus Ángela and Samantha will hauf t fight wi all dem obstacles daa their enemies will put them through i order t b hapii wi t piopel dey love while always having a brave heart,35,12
"Orklan (Maori: ""Tāmaki-Makarau"", [[Inglish]]: ""Auckland"") es t' biges citii i' [[Nyuu Ziilan]].",Orklan es t biges citii i Nyuu_Ziilan,7,32
I' es on t' [[North Ailen]].,I es on t North_Ailen,5,0
Kazakstaan ulla Kasakstaan esa kuntrii i' [[Asya]].,Kazakstaan ulla Kasakstaan esa kuntrii i Asya,7,14
Adoelf Hitlar (20 [[Ieprel]] 1889 — † 30 Ieprel 1945; ) wos t' Führer a' [[Doichland]].,Adoelf Hitlar wos t Führer a Doichland,7,10
"Hii an hiis kuntrii, [[Nazi Jirmanii]], wos difiitid i' [[Werl War II]].",Hii an hiis kuntrii Nazi_Jirmanii wos difiitid i Werl War II,11,48
"Ongdalen esa plaes, formaa munisipalitii i' [[Norwaii]].",Ongdalen esa plaes formaa munisipalitii i Norwaii,7,12
Kingston es t' mien toen an t' kapitel citii a' [[Jamaeka]].,Kingston es t mien toen an t kapitel citii a Jamaeka,11,43
"Nihat Haluk Bilginer (Juun 5 1954, Ismir, [[Turkii]]) esa wun Turkiish akter, huu plaay rols a' em [[Inglish]] an Merikan film.",Nihat Haluk Bilginer esa wun Turkiish akter huu plaay rols a em Inglish an Merikan film,16,52
Ai Frisian Ailen esa [[ailen]] i t' North sea.,Ai Frisian Ailen esa ailen i t North sea,9,27
Moldoewa ([[Romainyan]]: Moldova; [[Rushan]]: Молдавия) esa kuntrii i' [[Urup]].,Moldoewa esa kuntrii i Urup,5,36
Paraguay esa inlan kuntrii i' [[Sowth Merika]].,Paraguay esa inlan kuntrii i Sowth_Merika,6,15
Sierra Leona esa kuntrii i' [[Afreka]].,Sierra Leona esa kuntrii i Afreka,6,75
Tallinn () es t' kapitel an biges [[citii]] o [[Estonya]].,Tallinn es t kapitel an biges citii o Estonya,9,71
"Ivens François ""Toon"" Buffett wos wun politikel figure o' t' Ostrielyan External Teritrii a' [[Norfuk Ailen]].",Ivens François Toon Buffett wos wun politikel figure o t Ostrielyan External Teritrii a Norfuk_Ailen,15,49
"T' Sauth Ailen moa ([[Maaori]]: ""Moa o Te Waipounamu"") es a [[moa]] from t' [[Sauth Ailen]] o' [[Nyuu Ziilan]].",T Sauth Ailen moa es a moa from t Sauth Ailen o Nyuu Ziilan,14,4
Sowth Afreka esa kuntrii i' [[Afreka]].,Sowth Afreka esa kuntrii i Afreka,6,75
"T’ kapitel citiis are Pretoria, [[Cape Taun]] an Bloemfontein.",T ’ kapitel citiis are Pretoria Cape_Taun an Bloemfontein,9,54
T’ largest citii es [[Johannesburg]].,T ’ largest citii es Johannesburg,6,12
[[Sowth Afreka]] has 11 offishul laenghwijs.,Sowth_Afreka has offishul laenghwijs,4,64
"Bobrov esa toen i' [[Rusha]], t' populayshun esa 20 460 piopel (2018).",Bobrov esa toen i Rusha t populayshun esa piopel,9,56
Hungrii esa kuntrii i' [[Urup]].,Hungrii esa kuntrii i Urup,5,36
[[Budapest]] esa t' mien toen (an t' kapitel citii) o' Hungrii.,Budapest esa t mien toen o Hungrii,7,68
Botswana esa kuntrii i' [[Afreka]].,Botswana esa kuntrii i Afreka,5,70
 esa kuntrii i' [[Asya]].,esa kuntrii i Asya,4,39
" (), ofisholi , es one a' t' 47 prefectures a' [[Japan]].",ofisholi es one a t prefectures a Japan,8,57
James Gordon Brown (born 9 [[Febyuweri]] 1951) waas t' Priim Minista a' t' [[Yunitid Kingdum]].,James Gordon Brown waas t Priim Minista a t Yunitid_Kingdum,10,5
Northan Teritrii esa fedrel teritrii i' t' north o' [[Ostrielya]].,Northan Teritrii esa fedrel teritrii i t north o Ostrielya,10,22
"[[Daarwin]] esa kapitel a' biges citii, [[Alis Springs]] a' Ten'nent Criik a' otha citii.",Daarwin esa kapitel a biges citii Alis Springs a Tennent Criik a otha citii,14,71
"Northan Teritrii esa't sentril-north o' Ostrielya, eist o' West Ostrielya, north o' [[Sowth Ostrielya]], a' west o' [[Kwiinsland]].",Northan Teritrii esat sentrilnorth o Ostrielya eist o West Ostrielya north o Sowth_Ostrielya a west o Kwiinsland,17,22
Ba es a taun i' [[Fiijii]].,Ba es a taun i Fiijii,6,72
"A lyst o' ull citiis i' [[Fiijii]], b' popyulashun.",A lyst o ull citiis i Fiijii b popyulashun,9,59
Luksemborg esa kuntrii i' [[Urup]].,Luksemborg esa kuntrii i Urup,5,36
"Adradas ([[Spanish]]: ""Adradas"") esa toen i' [[Spain]], en t' prowins o' Soria, i' [[Castiil a' Liion]].",Adradas esa toen i Spain en t prowins o Soria i Castiil a Liion,14,16
"Freddie Mercury (Farrokh Bulsara; Gujarati: ફરોખ બલ્સારા‌, Pharōkh Balsārā‌; Zanzibar, 5 Septemba 1946 - [[London]], 24 Nowemba 1991) esa singer, [[Ingland]].",Freddie Mercury esa singer Ingland,5,10
A' haus es a' [[bilding]] daa salan liiv i'.,A haus es a bilding daa salan liiv i,9,73
A' haus es a' part o' [[aarkitekchur]].,A haus es a part o aarkitekchur,7,57
A dor esa ting daa ken bin yuusen f' getten intuu a' [[bilding]].,A dor esa ting daa ken bin yuusen f getten intuu a bilding,13,12
"Pisonia brunoniana esa species a' flowerin trii in t' ""Bougainvillea"" family, Nyctaginaceae, that es native t' [[Nyuu Ziilan]], [[Norfuk Ailen]], [[Lord Howe Ailen]] an Hawaii.",Pisonia brunoniana esa species a flowerin trii in t Bougainvillea family Nyctaginaceae that es native t Nyuu_Ziilan Norfuk Ailen Lord Howe Ailen an Hawaii,24,68
"Ardon esa toen i' [[Rusha]], a' populayshun a' 19,371 (2017).",Ardon esa toen i Rusha a populayshun a,8,56
"Mosaik esa aart a' maaken dekorashun a' letl piise o' glas, [[stoen]] ulla tiel.",Mosaik esa aart a maaken dekorashun a letl piise o glas stoen ulla tiel,14,68
"Yaren ([[Nauruuan]]: ""Moqua/Makwa"") es t' ""de jure"" kapitel citii o' t' ailen kuntrii [[Nauruu]].",Yaren es t de jure kapitel citii o t ailen kuntrii Nauruu,12,6
Kaliningrad Oblast esa suubjekt o' [[Rusha]].,Kaliningrad Oblast esa suubjekt o Rusha,6,10
T' kapitel citii es [[Kaliningrad]].,T kapitel citii es Kaliningrad,5,67
"Bamaakoe es t' kapitel an biges citii a' [[Maali]], wi' a popyulashun a' 1.8 million (2009 Census, provisional).",Bamaakoe es t kapitel an biges citii a Maali wi a popyulashun a million,14,71
"Romaa es t' kapitel citii o' [[Italii]], a' es 1.287,3586 km area.",Romaa es t kapitel citii o Italii a es km area,11,37
 es t' sekan biges kuntri en [[Sowth Merika]].,es t sekan biges kuntri en Sowth_Merika,7,53
T' kuntrii es an taedha said t' Andiis Mauntens f' [[Chili]].,T kuntrii es an taedha said t Andiis Mauntens f Chili,11,68
Kwiinsland esa stait i' t' north o' [[Ostrielya]].,Kwiinsland esa stait i t north o Ostrielya,8,22
Es kapitel citii a' [[Brisbin]].,Es kapitel citii a Brisbin,5,30
 esa kuntrii i' sowth [[Asya]].,esa kuntrii i sowth Asya,5,33
"Es neya [[Shiina]], [[Endya]], [[Eraan]] en [[Afganistaan]].",Es neya Shiina Endya Eraan en Afganistaan,7,18
"Daa refers tuu raiten as a' [[aart]] form, espeshuali novels, novellas, plais an poems.",Daa refers tuu raiten as a aart form espeshuali novels novellas plais an poems,14,9
Polis esa toen i' [[Siipris]].,Polis esa toen i Siipris,5,16
"Oksietan esa [[laenghwij]] mein spoek i' [[Frans]], [[Italii]], [[Spain]] en [[Monako]] a' em teritrii o' [[Urup]].",Oksietan esa laenghwij mein spoek i Frans Italii Spain en Monako a em teritrii o Urup,16,47
"Juba es t' kapitel citii a'[[Sowth Sudan]],an mas popyuulos citii i'Sowth Sudan.W' an estimatid 525,953 salan i' 2017.",Juba es t kapitel citii aSowth_Sudanan mas popyuulos citii iSowth SudanW an estimatid salan i,15,43
"Valerii Leontiev ([[Maach]] 19, 1949) esa [[Rushan]] singer.",Valerii Leontiev esa Rushan singer,5,73
"Siiland ([[Inglish]]: ""Sealand"") esa mikronashun (letl kuntrii) a' t' platform i' North Sii neya t' coast o' t' [[Yunitid Kingdum]].",Siiland esa mikronashun a t platform i North Sii neya t coast o t Yunitid_Kingdum,15,5
Katalan () es a laenghwij spoken en t' riijin o' [[Cataloniya]] an i' t' kuntrii o' [[Endora]].,Katalan es a laenghwij spoken en t riijin o Cataloniya an i t kuntrii o Endora,16,47
"Wikkapedya ([[Inglish]]: ""Wikipedia"") es t' frii online ensiiklopedya.",Wikkapedya es t frii online ensiiklopedya,6,46
[[Pridi Banomyong]] (1900 - 1983) is the Priim Minista a' t' Yunitid [[Tailan]].,Pridi_Banomyong is the Priim Minista a t Yunitid Tailan,9,5
"Ostrielya esa kuntrii i' [[Osheania]], a' t' kontenent [[Ostrielya]].",Ostrielya esa kuntrii i Osheania a t kontenent Ostrielya,9,24
"Ets west a' [[Norfuk Ailen]] an t' mos a' t' res a' Osheania, sowth a' [[Papua Nyuu Gini]], north a' t' Sowthern Oshen an Antarktika, an iist a' t' [[Indien Oshen]].",Ets west a Norfuk_Ailen an t mos a t res a Osheania sowth a Papua Nyuu Gini north a t Sowthern Oshen an Antarktika an iist a t Indien Oshen,30,68
Dis es biikaus dem [[ken]] receive t' piinus i' a' better way daa small briists.,Dis es biikaus dem ken receive t piinus i a better way daa small briists,15,12
Gels or cremes lokayted on t' briists o' t' piinus [[maa]] bii yusful.,Gels or cremes lokayted on t briists o t piinus maa bii yusful,13,12
Dem [[ken]] serf a' lubricants t' help perform t' akt.,Dem ken serf a lubricants t help perform t akt,10,9
Breselya ([[Porchuguees]]: Brasília) es t' kapitel o' [[Bresel]].,Breselya es t kapitel o Bresel,6,58
Hanoi es t' kapitel an sekan biges citii i' [[Wiyetnaam]].,Hanoi es t kapitel an sekan biges citii i Wiyetnaam,10,71
Faaroyean (føroyskt mál) esa ofishol laenghwij i' [[dem Faaro Ailen]] ([[Denmark]]).,Faaroyean esa ofishol laenghwij i dem_Faaro_Ailen,6,64
Togo esa kuntrii i' [[Afreka]].,Togo esa kuntrii i Afreka,5,70
Maaori Laenghwij Wiik es a wiik 'bout t' [[Maaori]] laenghwij.,Maaori Laenghwij Wiik es a wiik bout t Maaori laenghwij,10,45
I' es selebratid i' [[Nyuu Ziilan]] an [[Ostrielya]].,I es selebratid i Nyuu_Ziilan an Ostrielya,7,49
"T' werd kom f' [[Leten]] ""scire"", a' miin ""t' no"".",T werd kom f Leten scire a miin t no,10,57
"Skopie (Masedoenyan: ""Скопје""; [[Elbanyan]]: ""Shkup"") es t' kapitel citii o' [[North Masedoenya]].",Skopie es t kapitel citii o North_Masedoenya,7,37
Cordoba esa kurencii i' [[Nicaragua]].,Cordoba esa kurencii i Nicaragua,5,14
"Dani Rodrik ([[Orgas]] 14, 1957) esa Turkiish ekonomiist an t' Ford Foundayshun Professa o' Entanashunal Politikl Ekonomii a' t' Harvar Yuuniversitii.",Dani Rodrik esa Turkiish ekonomiist an t Ford Foundayshun Professa o Entanashunal Politikl Ekonomii a t Harvar Yuuniversitii,18,12
"Kuuk Ailens/Dem Kuuk Ailen ([[Dem Kuuk Ailen Maaori]]: ""Kūki 'Āirani"", [[Inglish]]: ""Cook Islands"") esa self-gawanin ailen kuntrii i' t' Sowth [[Pesifik Oshen]] i' frii assosiayshun lorngf' [[Nyuu Ziilan]].",Kuuk AilensDem Kuuk Ailen esa selfgawanin ailen kuntrii i t Sowth Pesifik_Oshen i frii assosiayshun lorngf Nyuu Ziilan,18,63
"[[Nyuu Ziilan]] es riisponsibel f' Dem Kuuk Ailens' defens an entanashunal riilaeshensheps, alla, dem ar eksersis'd i' konsyulayshun [[wit]]' [[Dem Kuuk Ailen]].",Nyuu_Ziilan es riisponsibel f Dem Kuuk Ailens defens an entanashunal riilaeshensheps alla dem ar eksersisd i konsyulayshun wit Dem Kuuk Ailen,21,73
"I' riisent tiems, [[Dem Kuuk Ailen]] hauf edoptid an enkriisinglii endapendint entanashunal polisii.",I riisent tiems Dem_Kuuk_Ailen hauf edoptid an enkriisinglii endapendint entanashunal polisii,11,9
"Alla Dem Kuuk Ailenas ar sitizens a' [[Nyuu Ziilan]], dem hauf t' status a' dem Kuuk [[Ailen]] nashunals, wich es nor giwen t' otha [[Nyuu Ziilan]] sitizens.",Alla Dem Kuuk Ailenas ar sitizens a Nyuu_Ziilan dem hauf t status a dem Kuuk Ailen nashunals wich es nor giwen t otha Nyuu_Ziilan sitizens,25,4
"Haiti (ofishali Repablik a' Haiti) es t' kuntrii a' west haaf o' t' ailen [[Hispanyola]], i' [[North Merika]].",Haiti es t kuntrii a west haaf o t ailen Hispanyola i North Merika,14,52
 <ns>0</ns>  <revision></revision>  <timestamp>2018-07-30T12:48:24Z</timestamp>  <contributor></contributor>  <username>Coconutic</username>    <comment>Coconutic moved page Cek to [[Dzhek]]</comment>  <model>wikitext</model>  <format>text/x-wiki</format>,nsns revisionrevision timestampTZtimestamp contributorcontributor usernameCoconuticusername commentCoconutic moved page Cek to Dzhekcomment modelwikitextmodel formattextxwikiformat,13,31
"T' Nyuu Ziilan dola es t' ofishil kurencii o' [[Nyuu Ziilan]], [[Dem Kuuk Ailen]], [[Tokelau]] an [[Niue]].",T Nyuu Ziilan dola es t ofishil kurencii o Nyuu_Ziilan Dem Kuuk Ailen Tokelau an Niue,16,73
  [[A]] flag [[esa]] wun a' em ofishol sembels o' kuntrii.,A flag esa wun a em ofishol sembels o kuntrii,10,28
Norfuk Aileners es salan fram [[Norfuk Ailen]].,Norfuk Aileners es salan fram Norfuk_Ailen,6,0
Dem tork en [[Inglish]] an [[Norfuk]].,Dem tork en Inglish an Norfuk,6,0
Sam liw en [[Ostrielya]] an [[Nyuu Ziilan]].,Sam liw en Ostrielya an Nyuu Ziilan,7,4
"T' North Ailen ([[Inglish]]: ""North Island"", [[Maaori]]: ""Te Ika a Maui"") es wan o' tu mien ailens o' [[Nyuu Ziilan]].",T North Ailen es wan o tu mien ailens o Nyuu_Ziilan,11,4
"T' kapitel o' Nyuu Ziilan, [[Welingtan]], es on t' North Ailen.",T kapitel o Nyuu Ziilan Welingtan es on t North Ailen,11,4
"Italiian esa [[laenghwij]] mienlii spoek i' [[Italii]], a' em teritrii o' [[Urup]].",Italiian esa laenghwij mienlii spoek i Italii a em teritrii o Urup,12,47
"Marilyn Monroe ([[Juun]] 1, 1926 — [[Orgas]] 5, 1962) wos wun Merikan aktress an model.",Marilyn Monroe wos wun Merikan aktress an model,8,74
Graz es t' sekan biges citii en [[Ostriya]].,Graz es t sekan biges citii en Ostriya,8,29
Nicaragua esa kuntrii i' [[Sentril Merika]].,Nicaragua esa kuntrii i Sentril_Merika,5,7
T' kapitel es [[Managua]].,T kapitel es Managua,4,40
Dem Isla Salas y Gómez es a' eist Pesific Oshen [[ailen]].,Dem Isla Salas y Gómez es a eist Pesific Oshen ailen,11,41
T' ailen es a' teritrii a' [[Iista Ailen]].,T ailen es a teritrii a Iista_Ailen,7,69
"Wetls es a substens det [[ken]] bi iiten bai salan an/or kriichas, f' nyuutrients.",Wetls es a substens det ken bi iiten bai salan anor kriichas f nyuutrients,14,68
Leten esa ekstiinkt [[laenghwij]] bin spoken i' Romaan Empaaye.,Leten esa ekstiinkt laenghwij bin spoken i Romaan Empaaye,9,2
" es d' fifth manth a' d' iya, d' laas manth a' [[spring]] en d' laas manth a' [[ortam]].",es d fifth manth a d iya d laas manth a spring en d laas manth a ortam,18,61
Gambia esa kuntrii i' [[Afreka]].,Gambia esa kuntrii i Afreka,5,70
"Lithyuanyan es em [[laenghwij]] spoken i' [[Lithyuanya]], i' [[Urup]].",Lithyuanyan es em laenghwij spoken i Lithyuanya i Urup,9,2
"Asplenium dimorphum (Norfuk Ailen Spleenwort) esa species a' fern in t' Aspleniaceae family, endemic i' [[Norfuk Ailen]].",Asplenium dimorphum esa species a fern in t Aspleniaceae family endemic i Norfuk_Ailen,13,12
Poelish esa em laenghwii i' [[Poeland]].,Poelish esa em laenghwii i Poeland,6,2
Et es spoken most i' [[Urup]].,Et es spoken most i Urup,6,47
", ofisialii Demokratik Piopels Repablik o' Koriya, esa kuntrii i' north-eist Asya, neks t' [[Sowth Koriya]], [[Shiina]], an [[Rusha]].",ofisialii Demokratik Piopels Repablik o Koriya esa kuntrii i northeist Asya neks t Sowth_Koriya Shiina an Rusha,17,24
"I' 1910, t' Koriyan Peninsula waa aneksed b' [[Japan]], which waa at t' tiem known as t' Empire o' Japan.",I t Koriyan Peninsula waa aneksed b Japan which waa at t tiem known as t Empire o Japan,19,73
"Afta t' Japanese surrender followin their defeat i' [[Werl War II]] i' 1945, Koriya waa divided biitwiin t' [[Yunitid Staits o' Merika]] an t' Sowiet Yunyuun.",Afta t Japanese surrender followin their defeat i Werl_War_II i Koriya waa divided biitwiin t Yunitid Staits o Merika an t Sowiet Yunyuun,23,12
"Ghent (Dutch: ""Gent"") es a citii i' [[Beljum]].",Ghent es a citii i Beljum,6,35
 esa letl kuntrii i' [[Urup]].,esa letl kuntrii i Urup,5,66
T' Flag o' t' [[Pitkern Ailen]] esa flag a' t' [[Pitkern Tal']] an t' flag o' t' [[Yunitid Kingdum]].,T Flag o t Pitkern_Ailen esa flag a t Pitkern Tal an t flag o t Yunitid Kingdum,18,68
