Property,e1,e2,Sentence,Properties,TripleInWD
P31,Q13955,Q34770,[[Erabek]] esa [[laenghwij]] i' t' Medl Eist.,['P31'],True
P31,Q25258,Q34770,[[Faaroyean]] esa ofishol [[laenghwij]] i' dem Faaro Ailen (Denmark).,['P31'],True
P31,Q7918,Q34770,[[Bulgeriyan]] esa [[laenghwij]] i Bulgeriya.,['P31'],True
P31,Q9299,Q34770,[[Serbyan]] esa major [[laenghwij]] a' Serbya.,,False
P31,Q33569,Q34770,[[T' Hawayiian]] esa [[laenghwij]] tal'n i' Hawayii (Yunitid Staits).,['P31'],True
P31,Q36451,Q34770,[[Maaori]] esa [[laenghwij]] mien spoken i' Nyuu Ziilan.,['P31'],True
P31,Q7737,Q34770,[[Rushan]] esa em [[laenghwij]] i' Rusha.,['P31'],True
P31,Q33797,Q34770,[[Norfuk]] es a kreol [[laenghwij]] spoekn mien orn Norfuk Ailen an es disendiid fram t' Pitkern laenghwij a' t' setlas from Pitkern Ailen.,,False
P30,Q41,Q46,[[Griese]] esa kuntrii i' [[Urup]].,['P30'],True
P30,Q155,Q18,[[Bresel]] esa kuntrii i' [[Sowth Merika]].,"['P30', 'P361']",True
P30,Q869,Q48,[[Tailan]] esa kuntrii i' [[Asya]].,['P30'],True
P30,Q1033,Q15,[[Niijiirya]] esa kuntrii i' [[Afreka]].,['P30'],True
P30,Q32,Q46,[[Luksemborg]] esa kuntrii i' [[Urup]].,['P30'],True
P30,Q811,Q27611,[[Nicaragua]] esa kuntrii i' [[Sentril Merika]].,['P361'],False
P30,Q77,Q18,[[Uruguay]] esa kuntrii i' [[Sowth Merika]].,"['P30', 'P361']",True
P30,Q800,Q27611,[[Costa Rica]] esa kuntrii i' [[Sentril Merika]].,['P361'],False
P30,Q1014,Q15,[[Liberia]] esa kuntrii i' t' west o' [[Afreka]].,['P30'],True
P30,Q258,Q15,[[Sowth Afreka]] esa kuntrii i' [[Afreka]].,"['P30', 'P138']",True
P30,Q244,Q27611,[[Barbados]] es a' letl ailen kuntrii en [[Sentril Merika]].,,False
P30,Q1028,Q15,[[Morocco]] esa kuntrii i' [[Afreka]].,['P30'],True
P30,Q45,Q46,[[Portugal]] esa kuntrii i' [[Urup]].,['P30'],True
P30,Q399,Q48,[[Aarmanya]] esa kuntrii i' [[Asya]].,['P30'],True
P30,Q1011,Q15,[[Cape Verde]] esa ailen kuntrii i' [[Afreka]].,['P30'],True
P30,Q262,Q15,[[Algeria]] esa kuntrii i' [[Afreka]].,['P30'],True
P30,Q733,Q18,[[Paraguay]] esa inlan kuntrii i' [[Sowth Merika]].,"['P30', 'P361']",True
P30,Q228,Q46,[[Endora]] esa kuntrii i' [[Urup]].,['P30'],True
P30,Q965,Q15,[[Burkina Faso]] esa kuntrii i' [[Afreka]].,['P30'],True
P30,Q29,Q46,[[Spain]] esa kuntrii i' [[Urup]].,"['P30', 'P361']",True
P30,Q242,Q27611,[[Beles]] esa kuntrii i' [[Sentril Merika]].,['P361'],False
P30,Q219,Q46,[[Bulgeriya]] esa kuntrii i' [[Urup]].,['P30'],True
P30,Q28,Q46,[[Hungrii]] esa kuntrii i' [[Urup]].,['P30'],True
P131,Q34932,Q408,[[Brisbin]] esa citii i' [[Ostrielya]].,['P17'],False
P131,Q1289,Q142,[[Grenobel]] esa citii i' [[Frans]].,['P17'],False
P131,Q911,Q159,[[Ufa]] esa citii i' [[Rusha]].,['P17'],False
P131,Q13972,Q191,[[Taatu]] esa citii i' [[Estonya]].,['P17'],False
P131,Q4035,Q155,[[Osasco]] esa biges citii i' [[Bresel]].,['P17'],False
P131,Q40191,Q408,[[Hobart]] esa citii i' [[Ostrielya]].,['P17'],False
P131,Q3130,Q408,[[Sidni]] esa citii i' [[Ostrielya]].,['P17'],False
P131,Q19520,Q159,[[Podolsk]] esa citii i' Moscow Oblast i' [[Rusha]].,['P17'],False
P131,Q1055,Q183,[[Hamburg]] esa big citii i' [[Doichland]].,"['P17', 'P131']",True
P131,Q15220504,Q38,"[[Coreca]], esa citii i' [[Italii]], a' es 4 km area.",['P17'],False
P131,Q2837,Q159,[[Kaluga]] esa citii i' [[Rusha]] an center a' t' Kaluga Oblast.,['P17'],False
P106,Q15869,Q177220,"[[Freddie Mercury]] esa [[singer]], Ingland.",['P106'],True
P106,Q34584,Q177220,"[[Anastacia]] (Septemba 17, 1968, Chicago) esa Merikan [[singer]].",['P106'],True
P106,Q32927,Q177220,"[[Valerii Leontiev]] (Maach 19, 1949) esa Rushan [[singer]].",['P106'],True
P106,Q6522077,Q177220,[[Lena Belkina]] (27 Nowemba 1987) esa [[singer]].,['P106'],True
P106,Q78516,Q177220,[[Anna Netrebko]] (18 Septemba 1971) esa [[singer]].,,False
P106,Q30449,Q177220,[[Avril Lavigne]] esa Kanedan [[singer-songwriter]].,['P106'],True
P106,Q568578,Q177220,[[Julien Doré]] (7 Juulai 1982) esa [[singer]].,,False
P106,Q318158,Q33999,[[Goran Vishnich]] (b. September 9 1972) es wun Kroayshan [[akter]].,['P106'],True
P106,Q284636,Q33999,"[[Jason Bateman]] (Jaenyuweri 14, 1969) es wun Merikan [[akter]].",['P106'],True
P106,Q19794,Q33999,"[[Josh Duhamel]] (Nowemba 14, 1972) es wun Merikan [[akter]].",['P106'],True
P106,Q23359,Q33999,"[[Taylor Lautner]] (barn Febyuweri 11, 1992) es wun Merikan [[akter]].",['P106'],True
P106,Q2670396,Q33999,"[[Alexandre Borges Corrêa]] (Febyuweri 23, 1966) es wun Breselyan [[akter]].",['P106'],True
P106,Q23891,Q33999,"[[Andrew Garfield]] (Orgas 20, 1983) es wun Merikan [[akter]].",['P106'],True
P106,Q2704200,Q33999,"[[Lília Cabral Bertolli Figueiredo]] (barn Juulai 13, 1957) esa Breselyan [[aktress]].",['P106'],True
P106,Q116188,Q33999,"[[Nathalia Timberg]] (Orgas 5, 1929) es wun Breselyan [[aktress]].",['P106'],True
P106,Q1375057,Q33999,"[[Kendall Nicole Jenner]] (Nowemba 3, 1995) es wun Merikan [[akter]] and model.",['P106'],True
P106,Q35332,Q33999,"[[William Bradley Brad Pitt]] (Disemba 18, 1963) es wun Merikan [[akter]] an film producer.",,False
P1376,Q64,Q183,[[Berlin]] esa kapitel a' [[Doichland]].,"['P17', 'P131', 'P1376']",True
P1376,Q1754,Q34,[[Stokhoelm]] es t' kapitel citii a' [[Swiiden]].,"['P17', 'P1376']",True
P1376,Q3711,Q403,[[Belgrade]] es kapitel citii a' [[Serbya]].,"['P17', 'P1376']",True
P1376,Q2449,Q1045,[[Mogadisho]] es t' kapitel a' [[Somalia]].,"['P17', 'P1376']",True
P1376,Q11568,Q17872,"[[Daarwin]] esa kapitel a' biges citii, [[Alis Springs]] a' Ten'nent Criik a' otha citii.",,False
P1376,Q30966,Q34020,[[Alofi]] es t' ofishol kapitel a' t' Pesifik ailen kuntrii o' [[Niue]].,"['P17', 'P131', 'P1376']",True
P1376,Q3114,Q408,"[[Kanbra]] esa kapitel citii o' [[Ostrielya]], an kapitel a' t' Ostrielyan Kapitel Teritrii too.","['P17', 'P1376']",True
P1376,Q3630,Q252,[[Jakarta]] es t' kapitel a' biges citii o' [[Endonesya]].,"['P17', 'P131', 'P1376']",True
P1376,Q3894,Q1036,[[Kampala]] es t' biges citii an kapitel a' [[Yuganda]].,"['P17', 'P1376']",True
P1376,Q30963,Q31057,[[Daun A'Taun]] es t' ofishol kapitel a' [[Norfuk Ailen]].,"['P131', 'P1376']",True
P1376,Q29445,Q797,"[[Juuno]] es t' kapitel a' [[Alaska]], Yunitid Staits.",['P1376'],True
P1376,Q39421306,Q926768,[[Patio]] es t' ofishol kapitel an t' biges sett'l'ment a' t' ailen [[Tahaa]] i' French Poliinesya.,['P131'],False
P1376,Q649,Q159,[[Moskou]] es t' kapitel an' t' biges citii a' [[Rusha]] an' t' sekan biges citii a' Urup (aftaa Istanbuel).,"['P17', 'P131', 'P1376']",True
P1376,Q1748,Q35,"[[Kopengagn]] es t' kapitel a' [[Denmark]] an ets t' msa popyulous citii, wi' an urban popyulayshun a' 1,230,728 an a' metropolitan popyulayshun a' 1,956,278.","['P17', 'P1376']",True
P1376,Q216,Q37,"[[Vilnius]] es t' kapitel a' [[Lithyuanya]], an its biges citii, wi' a popyulashun a' 535,091 (809,225 t'gether wi' Vilnius County) as a' 2011.","['P17', 'P1376']",True
P31,Q757,Q112099,"[[Saint Vincent a' t' Grenadines]] esa [[ailen kuntrii]] i' Etlantic Oshen, i' t' karibiyen.",['P31'],True
P31,Q697,Q112099,[[T' Repablik a' Nauruu]] (also spelt Ripublik Naoero) esa [[ailen kuntrii]] i' Pesifik Oshen.,['P31'],True
P31,Q1019,Q112099,[[Madagascar]] esa [[ailen kuntrii]] i t'Indien Oshun ner Afreka.,['P31'],True
P31,Q664,Q112099,"[[Nyuu Ziilan]] esa [[ailen kuntrii]] eist o' Ostrielya, i' a' sowth Pesifik Oshen.",['P31'],True
P31,Q1027,Q112099,[[Mauritius]] esa [[ailen kuntrii]] i' Afreka.,['P31'],True
P31,Q754,Q112099,[[Trinidad a' Tobago]] esa [[ailen kuntrii]] i' Etlantic Oshen.,['P31'],True
P31,Q760,Q112099,[[Saint Lucia]] esa [[ailen kuntrii]] i' Etlantic Oshen.,['P31'],True
P31,Q1011,Q112099,[[Cape Verde]] esa [[ailen kuntrii]] i' Afreka.,['P31'],True
P31,Q4873233,Q23442,"[[Batlshep]] esa [[ailen]] i' Alaska, Yunitid Staits.",['P31'],True
P31,Q17070,Q23442,[[Réunion Ailen]] esa [[ailen]] i t' Indien Oshen.,,False
P31,Q25277,Q23442,[[Hispanyola]] esa [[ailen]] in North Merika.,['P31'],True
P31,Q1043128,Q23442,[[Shikotaan]] esa [[ailen]] i' Pesifik Oshen o' Archiipelago dem Kuril Ailen i' Rusha.,['P31'],True
P31,Q14056,Q23442,[[Yaan Meien]] esa [[ailen]] north a' Norwaii en esa dapendecii a' Norwaii.,['P31'],True
P106,Q23907909,Q33999,"[[Abel Askoena]] (Ieprel 1, 1988, Madrid; fuul naem esa Abel Askoena Markuus) esa wun Spanish [[akter]].",,False
