	Clean_Content	Human_Label
4291	"""we don dey gada database of unemployed and qualified youths dem for government and organisation to fit find pipo to employ"". - president buhari speech"	positive
10993	abeg  you dey do beta work oh... i dey feel say most of all this upcoming artist need to understand &gt;music business. you no fit waste money produce song make you no set marketing and promotions budget.	neutral
6388	we don return to winning ways. 🤗🤝	positive
13825	our pre-season waka continue on saturday... na arezzo we dey follow enta one trouser dis time!	neutral
7496	pishure: squad don land for hilton garden inn manchester hotel today [men]	positive
1226	we taya!	positive
2879	egungun be careful..na eress you dey go... liverpool v atl. madrid psg v b.dortmund which team go qualify for today games for champions league?	neutral
10253	“i say ah, omo no go dia, dis tin no easy, if i try am i go knack my head for ground! … japa!!!”	negative
10702	ekpang nkukwo na very important food for di efik pipo of cross river state, south-south nigeria. check di full tori hia	positive
6452	oya read. learn from olujacobs and joke.	positive
2032	on point make una dey listen to frank wella. na sure pesin!	neutral
8990	coronavirus? covid19? pandemic? coronavirus treatment? coronavirus symptoms? answers to all di kwesions you dey ask here  -check	neutral
11176	️ pellegrini ️ hin dey wear skippo band for di fess time for dis night! ©️	positive
6737	merry christmas' man rob bank finish begin spray di moni	negative
6837	we no sabi yab pipu naa. hin sense too much. we dey hail am.	positive
13594	national assembly information director rawlings agada defend building renovation moni.	positive
4161	una feel say time don reach for nigeria to close dia border too? coronavirus in nigeria: lagos don confam third case of covid-19 outbreak - see wetin we know so far	neutral
2225	oya oh. you don wake. carry that your small business .. products.. work. carry ham for head. make everybody know . because if you no do ham no body go do ham. and if…	positive
4689	di undercover investigate wey bbc news arabic do show say dem dey buy some house helps illegally come sell dem online for correct black market through apps wey dey google play and apple app stores. see full video hear	negative
3895	80' batsman dey enta for abraham.	positive
4120	hustle oooooo, make your mates... forget opata yarns jare! just hustle. you &amp; your family nid di raba. na monday morning!…	positive
4114	lingard - zero pereira - zero sometimes e dey hard to blame coach and hin managerial team sef, na bunch of mumus we pack full manchester united	positive
13617	anglophone crisis: kumba tight for middle local authorities and separatists	neutral
12646	nigeria corruption police  don jail 15 oil tiffs, two collect two years self-contain inside prison.	positive
11380	don offer ashley young one year contract [sky]	positive
7345	another partner . we dey say thank you  mebsunprotennis for this partnership .. follow  if you won learn or get child wey won play tennis na be no1 for that area.…	positive
13922	street art festival 2019: top pictures from accra event	positive
19	90' batshuayi for score dia but he no score as valencia goalie gada the ball.	positive
13687	shey di gap between rich and poor dey increase for south africa?	negative
4515	wan-bissaka na warrior!	positive
1932	fall your hand for what again? 🤷‍️ una no dey belleful?	neutral
7914	america firefighters dey go australia to help quench di four month fire	positive
4472	lagos island building collapse: goment don begin demolish buildings	neutral
9255	supreme court confam apc oyetola as di govnor of osun state	neutral
5331	‘wen dem ban okada, e bi like say my enemy life end’ - sandra dis na tori of 19 year old sandra wey loose her only means of survival wen lagos state goment ban commercial okada and keke for lagos.	negative
8765	line up we dey start di new year as we take finish 2019 - we get line up wey no change at all for dis one. ️	neutral
10954	five things wey we observe as man united lose 2-1 against astana: chong na mumu	positive
13148	soyinka, sani, odinkalu show face as di sowore trial resume	neutral
10460	wetin we see for internet - books wey di former emir of kano state, 🇳🇬 don vamoose. : abubakar sadiq kurbe/twitter wetin go be di future for sanusi lamido sanusi:	neutral
147	women's world cup: england knockout cameroon for france 2019	neutral
11092	lisa li na blogger with 1.1 million followers wey pipo sabi for her fine-fine travel, party and oda foto of adventures. but one video go viral wey show how with dirty, rotten food and dog poo-poo.	negative
6764	dear woodward, give us bruno fernandes abeg!	positive
8247	this is the best you can get . with just 20mb you fit listen to  for 2hrs. unlimited nigerian music. or downlo…	neutral
13273	cas don fix november 20 as the day wey and fifa go shook leg for one trouser ova transfa ban wey fifa knack chelsea.	positive
11684	yesssooo	positive
8092	carlos tevez don praise cristiano ronaldo.	positive
2433	mauricio pochettino don turn down the chance to manage real madrid because hin dream job na to manage manchester united. [men]	positive
11947	samuel chukwueze: villareal 4-4 barcelona wia nigeria best young player shine	positive
13998	you strong o. some pipo blood pressure don climb up	positive
4191	menzgold: accra court slap nana appiah mensah plus ghc1 billion bail condition	neutral
4336	last match end with win! diego perotti goal for ending of match na hin win am...	positive
40	nemanja matic and scott mctominay dey fit for our clash against tottenham.	positive
3420	2020 budget: buhari go present di 2020 spend moni plan today	neutral
924	some of the nicknames wey united fans dey suggest for bruno fernandes: uncle b burna boy bruno mars burna findi bruno boy which one sweet pass?	positive
4096	finally finally  don get chance to cast her vote.	neutral
2243	malaria dey preventable and curable but still dey kill well-well: e dey kill one pikin evri two minutes and more than 200 million new cases na im dem dey report evri year, according to world health organisation.	negative
778	we bin sabi angel gomes before we hear about marcus rashford and mason greenwood. but rashford don blow, greenwood dey show mad potential to blow. gomes still dey play for u23s na only short gomes short, e no kill person.	positive
11033	women match fit happen before di main anthony joshua v andy ruiz own.	neutral
8188	football is for everyone. show your support of in	positive
3841	woundjury no gree am.	neutral
8600	: goment 'shing' for postpone elections, say go tight for regions	neutral
2904	make una no forget to dey jam pidginradio all day, everyday on top	positive
4118	lampard con add say new signing no dey close. tori onto transfa mata no dey today or tomoro.	neutral
8152	if you no love  davido no fall our hand. shut 02 arena down. iya chaille know say something happen. read th…	positive
13376	23' mount try confam cross from corner but wolves back men knack am commot.	positive
7319	kogi west senatorial rerun: five tins wey happun during di supplementary election - situation room	neutral
4557	guingamp announce say 23-year-old winger nathael julan bin die tonight as e dey involved in car crash after e leave training rip	positive
5357	just the oda day. when  carry body come studio . yarn us about him new song . and how the waka for music life t…	positive
11062	over 25 die inside road crash for ghana	negative
8134	ed woodward dey bad, we gree. the board dey bad, we gree. the players dey lack quality, we gree. but any manager wey no fit coach hin team to beat the team wey dey bottom of the table, deserve sack letter.	positive
7899	presidential amnesty: why buhari suspend charles dokubo	neutral
11372	ole: “man united fans sabi football. dem be the best fans wey dey this world. na only positive relationships wey i get with them and i hope say e go continue that way.”	positive
11972	di next pesin wey dem dey screen na senator godswill akpabio	neutral
10190	sierra leone presido julius maada bio dey marry im wife fatima again	positive
4573	we dey happy with the first half!	positive
3123	41' zouma don collect mtn from referee, e don even load am.	positive
5655	34' hustler try long cross from back but spurs back men cut the ball commot.	neutral
3805	mason greenwood better pass joao felix this season.	positive
12579	"“i bin choose roma becos na beta opportunate for me..."" read more for henrikh mkhitaryan's press conference...️ ️"	positive
6330	rashford!!!! e shoot! keeper fly punsh am.	positive
1621	why greenwood dey play rw abeg? this ole na mumu.	positive
4171	frank lampard yarn say he bin send messages give jose mourinho, dey wish am well for him new role, as mourinho bin do for am before.	positive
13257	ghana parliament ‘drop’ de chamber after public opposition – kate addo	neutral
4543	22' diaaaaaaa fadaaaaaa. who be man city where kante dey? na him 3rd goal of the season. chelsea fans go haywire!	positive
3175	mason greenwood deserve am!	positive
12439	nigeria police ig don send trained-dogs to secure railways stations	neutral
4902	na one year now since buy christian pulisic.	positive
11325	if pogba no start, ole na ode.	positive
4554	world mental health day: anglophone idp pikin dem di share dia tori for heal	neutral
2065	hope ole dey see??? pereira no be midfielder.	positive
2383	inside dis match naim we mean.	positive
4234	beijing show dia military power as china celebrate dia 70 years anniversary parade.	neutral
68	why greenwood dey drop deep? who go score if e drop deep? 🤷‍️	positive
9470	dem talk say na musa fernandes be this 🤣	positive
13670	meet di cameroon and ajax number 1 goalkeeper wey dey confident say time don ripe for im club to return to european glory 24 years afta dem last win di champions league.	positive
11266	watch di live for  watch here:	neutral
6687	bbc dey close dia office and operation for burundi	negative
327	president muhammadu buhari say im know wetin to do &amp; e no go fall di hands of nigerians	positive
13253	trade union workers no go affect nigeria power supply - transmission company	neutral
1669	oya get ready . see who dey show the studio .  kolapraise33 host itsurgurlhp as he go dey yarn about him music and plenty plenty yarns. listen. …	positive
10035	make pesin check kdb oo. i hear say after fred pocket am for ethiad stadium hin dun dey missing since then. make una hala 911 if una sight am anywhere.	positive
12165	na nottingham forest we go meet for fa cup 3rd round!	positive
2644	no mata wia you dey go juss no forget road wey go lead you go house back	positive
11631	manchester united dey make plans just incase paul pogba wan leave the club. dem wan sign two central midfielders before next season. donny van de beek and saúl ñíguez dey part of the people wey dem dey reason. (source: daily mail)	positive
4530	it's almost time! come on chelsea!	positive
5209	callum hudson-odoi no sabi ball, aswerugad!	negative
10267	sudan crisis: opposition call for nationwide protest afta dem arrest dia leaders	negative
3773	this bros ginger too much️️ ooo phorkish  download link in my bio	positive
9695	2019 bbnaija pepper dem season housemate, khafi kareem, don engage.	positive
4039	that greenwood finish!!!!! this boy sabi score!!! jesus!!	positive
32	important goal!!	positive
10156	when international break dey for your tv but you no fit stop to dey reason fixtures of club football for weekend	negative
261	ah dey tell you. we gats scatter lille tomoro. na chop, clean mouth we gats do lille.	positive
7784	cameroon elections: sdf, oda parties petition for cancel election for seka violence, vote buying, army voting	negative
12181	nigeria border closure: how ban on petrol supply dey affect pipo wey dey live near border	negative
299	"dis year, bbc dey hold two sessions for  wey dem call ""turning up the volume for female voices"", wey go hold for friday, february and ""growing audiences in a competitive digital space"" wey go hold for monday."	neutral
1369	rashford join for people wey get most premier league goals for month of december 5⃣ marcus rashford 5⃣ jamie vardy 5⃣ dominic calvert-lewin 5⃣ danny ings	positive
1722	sabi pikin nicolo zaniolo don enta shortlist for award of small pikin player sabi pass for europe for 2019 🇮🇹	positive
10728	"solskjaer: ""klopp talk say we too dey defend when we face am? so make we allow make e score because we no get work? if e like, make e frustrate, na hin problem. e show say my boys dey try."""	positive
5779	squad list men dem wey dey fly go istanbul for thursday europa league match - ! ️	neutral
3254	you sabi wetin self-isolate or self-quarantine mean? dis na five important tins to sabi if dem tell you to do am.	neutral
8890	manchester city fit get uefa ban from champions league for one season	negative
364	: we don get over 5,500 signatures for online petition'	neutral
13507	tori be say di uganda woman feed her step-pikin di period out of jealousy.	negative
605	this fred no sabi play shot abeg. all hin shots dey land for accra.	positive
6058	tuale  🦁	positive
6774	if we go dey honest. williams &gt;&gt; shaw	positive
643	see jorginho pass	neutral
6741	win best dressed female for di as she slay dem mercilessly	neutral
13955	cindy don comot from house	negative
5068	police arrest di 'brain' behind di abuja bank robbery	negative
1651	you dey enjoy ooo!	positive
5160	man united na our heart ️	positive
5272	70' pulisic commot for pedro.	positive
12899	kidnapping: “i no sleep for 62 days, president buhari no dey fit sleep”	negative
1913	we dey miss you our special one!	positive
9888	apapa traffic: nigeria don extend presidential marching order to clear hold up	negative
2117	4' willian don foul pesin.	negative
7274	baba rahman don waka! we dey wish am well!	positive
13007	na you kuku be hin pa, brother in-law and agent. who fit argue am wit you? you fit let us know hin shoe size join?	positive
9582	ht: 0 vs brighton 0. na audio money we chop for dis first half. our old boiz no dey dis game, dey jus dey chop chances. goal wey we neva see na audio.	positive
3660	akure elosion from mining company affect buildings, nobody die	negative
6458	this our players dey make the wrong decisions. why rashford no pass am one time to pereira, e wan touch ball before e pass. na so chance take go.	positive
7477	round two... see dem oh . dey are chasing everyone oh.	positive
12288	55' callum hudson-odoi cross ball but manu goalie gada am.	positive
3048	marcus rashford dey as good as sadio mane this season. wow	positive
1565	ht: 2 vs lille 0. na chelsea dey lead with abraham and azpilicueta goal. we no nid to chillax now. we suppoz wipe dem plenti for 2nd half to avoid tori wey dey touch heart.	positive
2139	nigeria fail to assist victims of human trafficking'	negative
2080	breaking: make una meet di new emir of kano, nigeria, aminu ado bayero. im be di son of di former emir, ado bayero. emir aminu go be di 15th emir of di emirate.	neutral
297	e be like say davido ( ) don turn gospel singer. read about di good news:	positive
8491	buhari in south africa: president buhari say make nigerians wey dey spoil di kontri name abroad change  🇳🇬🇿🇦	positive
6803	anthony joshua speech wen im give for 2020 commonwealth service for westminster abbey go make you wan eat egusi soup dis morning. how you see di speech?	positive
13407	underground with toks. for pidgin radio. underground with toks na show for ontop pidgin radio wey we dey carry all the matter wey concern upcoming music artist for inside…	positive
6809	rashford better pass that okrika lukaku because.... oh wait! you be chelsea fan? my mama talk say make i no dey follow agberos argue because dem no dey ever get sense.	positive
8764	dey communicate: if you feel say you or your friend mind no dey point, start to dey look for safe space wia you fit get epp.	neutral
6250	live video as our pipo from bbc yoruba service dey live for ijegun, lagos where early mor mor fire happun on thursday	negative
12354	jesus!! we never get any shot on target	positive
8829	update dey on di tori. di coach don dey beg di kidnappers say make dem free im mama	negative
10218	last year pidgin radio zero hunger . was great. i cried when i saw what some kids go through. some never even see father ch…	neutral
672	gooooooooooooooooooooal!!!  epp tear net! 1-0	negative
3616	skippo caesar azpilicueta, jorginho and n'golo kante follow for players wey go contest dis year uefa team of t…	positive
2004	ghana vs tunisia: black stars don crash out of 2019 afcon	negative
10229	dis na dambe - di kain boxing of hausa butchers &amp; fishermen for west africa wey don go global.	neutral
6953	you agree or you no agree? - discuss for lagos na 'yabaleft' for kano na 'dawanau', one chief say couples must provide mental certificate before marriage.	positive
10422	24' manu don convert penarity afta alonso mess up for back.	positive
3587	wetin con happen las las? he carry am put for pocket. shey na keyholder ni the player be?	positive
2868	gorilla chop n7 million for kano zoo for nigeria?	negative
8426	make we sha protect the lead o	positive
10042	confam:  don announce time and date for all our fixtures take reach december! our next match na 🆚 sassuolo and na on sunday, september 15 (7pm naija time).	neutral
2262	let’s hear what frank has to say...	positive
5073	victor moses wan come back to for january. (takvim)	positive
8428	"""my son and my fans na di accomplishment wey i dey proud of"". jackie appiah wit her eyes and smile go make you fall in love for dis episode of 'question till mouth pain you'"	positive
12017	chai	positive
1187	"duchess of sussex ""meghan markel"" don enta labour to born pikin."	positive
8242	breaking news: jorge mendes dey directors box for old trafford this night. e be like say bruno fernandes dey come o.	positive
4119	if say juan mata na naija man, e for don get potbelly.	positive
4541	good morning pidgin radio listeners, na sports news we want give una as e dey unfold, usa beat england as they qualify for women world cup final.	positive
8923	you dey ask us the question wey you suppose sabi? na so craze dey start.	positive
2097	conor mcgregor beat donald cerrone in 40 seconds for ufc 246 for las vegas	neutral
7101	four pipo die for magodo building collapse as heavy rain worry lagos	negative
3817	president buhari go attend uk-africa investment summit for london	neutral
7085	netherland court give ogoni widows go ahead to cari shell go court	positive
8029	today na match day: liverpool vs man united. ⏳ hopefully,  picture go bring us good luck. 🥰 in the meantime guys/girls, reply us with your jersey picture. we go  am!	positive
1923	afcon 2019: comoros wan make fifa helep open case for sanction cameroon	negative
13238	one of di world most famous cat  don pass away	negative
4531	"juan mata: ""many teams dey fight for champions league spot. chelsea dey eye am, but the koko for us na to dey win dey go.” [bbc]"	positive
7034	apc national chairman adams oshiomhole don chop suspension	negative
628	marcus rashford don win pfa player of the month for december. congrats!	positive
7830	hapi baidae our correct striker, olivier giroud!	positive
866	aponkye, ‘mɛɛnatives’ wan go court over ghana district assembly election loss	negative
13909	players wey go start match for us - starting xi: pau lopez; florenzi, fazio, jesus, kolarov; cristante, diawara; cengiz, zaniolo, kluivert; dzeko	neutral
2870	marcus rashford don score 6 goals for hin last 7 starts. na goal machine.	positive
9023	healthy habits wey go make pesin live long	neutral
1801	cameroon goment bi 'restless' afta eu parliament resolution	neutral
7039	we bin wan start to dey tweet match updates as usual today, later com remember say international break dey club football, we don miss you o	positive
7554	chelsea head coach lampard go check rudiger befor he go decide weda or not to make a £40m january move for nathan ake (ake woundjure today). and bournemouth dey hope say na nothing serious. also, giroud yarn say he wan commot.	positive
6825	dey for shock afta surprise die for mayor for ekema patrick	negative
13956	before cristiano ronaldo hang boot how many more goals you feel say im go score for portugal? ronaldo score score hat-trick for portugual as dem waya lithuania 6-0. di striker now don score 98 international goals for im kontri.	neutral
5373	na dis babe dem dey call stephanie frappart naim go blow uefa supa cup final between liverpool vs .	positive
10266	we dey hear say don shapaly swallow two goals.	positive
2564	wife of di redeemed pastor wey drown wit two pikin for costa del sol say dem sabi swim	negative
4071	we gats score one more goal!	positive
7261	big brother don disqualify tacha meaning she don comot from di house.	negative
6598	wetin be malaria and how we fit stop am?	neutral
12507	uk police go pay nigerian street preacher oluwole ilesanmi â£2,500 for wrongful arrest	positive
10348	see oda prince &amp; princess wey don lose dia royal titles. wetin harry and meghan dey go through now, many oda royals don see dis kain tin before.	negative
10818	coronavirus update: nigeria don get 210 cases of covid-19 outbreak including 3 in edo plus 2 new deaths - see details here	negative
4457	dis na the list for youngest players to reach 40 pl goals for manchester united: w. rooney – 21 years, 175 days m. rashford – 22 years, 72 days c. ronaldo – 22 years, 279 days r. giggs – 24 years, 16 days a. martial – 24 years, 21 days	positive
502	porto goalkeeper iker casillas don comot from hospital afta im get heart attack	positive
2497	mino raiola: “i no threaten anybody with gun say make dem buy paul pogba back. sir alex ferguson dey beef me and paul, e dey allowed but where e dey when united dey sign pogba back?” [voetbal international,	positive
7208	na our starting lineup be dis!	positive
1609	liverpool v barcelona make musician kc lose n1m bet	negative
3983	read di tori	neutral
12520	some pipo still di miss afta ship accident for bakassi wata as deh as deh komot nigeria for go tiko for cameroon.	negative
4647	computer village ikeja lagos phone accessories be my hustle	neutral
11359	we dey wish you well ️	positive
3950	juan mata na sabi man!	positive
2437	pdp condemn senator elisha abbo, atiku abubakar want apology	positive
3877	you already know as e dey go nah. we no dey give our pipu washing tinz. e go plum!	positive
13929	bbc news yoruba presents - ‘chloroquine fit fight ?’	neutral
11887	goment put passengers from two planes for hotel for 14 days, how you see dis move?	neutral
2279	fine one, skippo!	positive
5258	eriksen no get united dna, but shey you see that sean longstaff guy? e get the dna for body.	positive
12391	el-zakzaky dey suffer from lead poisoning'	negative
5259	we bin continue our pre-season dis weekend as we waya lille for france we continue again dis week wit two ogbonge matc…	positive
7904	sickle cell pipo no go die now now now - hilda	neutral
7121	"""chei! abeg comot for road!"" 🇳🇬"	positive
6940	frank yarn say he dey hapi with the squad as e dey now, so e no dey eect make anybodi commot again before the end of august.	positive
645	protesters don dey gada momentum for nigeria capital, abuja to do we-no-go gree on di rape mata of busola dakolo	negative
12695	first half don finish. ngr 1 sa 0. .	positive
13733	el-zakzaky daughter deny suspension of shiite protest	neutral
11542	match don start for giuseppe meazza! forza roma! 0⃣-0⃣	positive
4516	anglophone crisis: de world di watch how goment forces di kill, hrw rights group tok	negative
13212	bayelsa election: court rule say apc no get governorship candidate for bayelsa state	negative
1686	some say leicester embarrass newcastle. jamie vardy score two times, hayden chop red card.	negative
2451	"brendan rodgers ontop the lingard/maddison swap deal: ""una dey talk rubbish, i no dey talk about rumours and gossip. james na wonderful player and e go dey here in january, inshort e no dey leave."" [men]"	positive
3646	mason greenwood and brandon williams dey fight for their place in first team with amazing performances. but angel gomes like tahith chong don struggle for the few times wey dem see chance. even chong don try pass gomes this season. if gomes no sit up, e no go blow at united	positive
2552	nobody don keep clean sheets pass dean henderson for the premier league this season.	positive
2338	"we sure say dis na di mood of di ""dancing senator."" osun govnorship election tribunal don declare pdp ademola adeleke winner read more:"	positive
10975	40' kante get chance to score but faya am commot.	positive
6461	loud am	negative
1612	camair-co say de captain even as de plane get shock from bullet do e best land de plane safely.	positive
1263	harry maguire dey talk to rashford after e score hin header.	positive
13236	as dey trend, we wan ask...which  diss track don sweet you pass?	positive
6703	️ sub 84' all man tanda clap for pellegrini as hin comot for pastore!	positive
9964	73' fada abraham time him shot from tight angle and e remain small make net shake.	positive
12424	v  july 20 | charlotte ️ bank of america stadium ️ tickets:  …	positive
3955	oya ova to you. afta burnley take manchester united shine, wetin you think say be di red devils main problem? leave pogba, ansa di kwesion	neutral
1177	marcus rashford no wan leave man united for barcelona. e no even reason am for once. [eress]	positive
7212	she try wella	positive
11941	young!!!!!!! their daddy!!! 1-0	positive
12176	dem give cows for russia virtual reality headsets to take watch feem to make dem produce more milk.	positive
3594	why couples for my area must do mental check before marriage - kano chief	neutral
1542	from di food basket of di nation, benue see di update:	positive
8196	omoyele sowore don meet bail condition, im trial go start for december - falana	positive
13384	dis na afta di club no carry am go dia winter break training camp for spain.	neutral
11506	na only you fit give yasef beta food wey cari plenti nutrition.	positive
4881	manchester united bin table huge money to bring erling braut haaland to the club but e no gree come as e wan go dortmund. (source: independent)	positive
13154	el-zakzaky lawyer too don tok ontop the bail and di conditions wey court grant am today.	neutral
2468	terrorism in : groups wey worry sotey goment ban, call dem	negative
10232	choi. dis dragging no be hia.	negative
2460	: buhari dey meet nigerians in south africa today	neutral
9398	pica na eating disorder wey dey lead to cravings of tins wey no be food, and e dey affect many pregnant women. ugandan brenda naggita get dis condition, and as get belle she dey chop rocks.	negative
9605	winks don injure, e foul fred but god catch am.	positive
4524	"""if i go comot for manchester united na big club wey get big aim i go like go and dis club get am. dem get beta history and beta targets wey i go like join bodi epp achieve."" read more from smalling's fess interview as player... ️"	positive
13973	"abraham don yarn say fit tidy ajax like dey tidy lille. ""we bin dig wella con tidy lille, who tok say we no fit do am against ajax?"""	positive
13887	new ebola outbreak for central africa dey make pipo fear	negative
10321	frank con yarn say we gats dey more clinical for games, but dey hapi with how him attacking players dey behave so far. him eect goals to come from giroud, abraham and batshuayi.	positive
8068	2019 venice film festival see africans collect ogbonge awards	positive
13817	ogun oooo. una result don drop election results update:	positive
4871	7' kante tear race dey go lille post but one back man block am.	positive
3859	we dey celebrate draw vs wolves god epp us	positive
10154	nigeria president muhammadu buhari dey host ghana president nana akufo-addo for aso rock	neutral
8787	issa independence celebration. wetin you wish nigeria 🇳🇬 go fit step up as di kontri dey turn 59?	positive
5286	̶m̶o̶n̶d̶a̶y̶m̶o̶t̶i̶v̶a̶t̶o̶n̶ na evri day nid motivation. our 4-kondo win for udine yestaday na di perfect one dis morning! take it!!! ️	positive
5464	no pressure! meet alioum sidi di cameroonian referee weh e go blow whistle for senegal-algeria match.	neutral
9285	uk visa alert: just like canada and australia immigration system, di uk go begin use points-based system for immigration. na 70 points you go need to japa go britain. click here to know how get di full points	neutral
10290	10' abraham dress ball for pulisic wey faya shot wey jus pass post with small thing for right.	positive
9159	cameroon army say small pikin wey dey play with grenade na im cause gamboru elosion	negative
12651	88' batshuayi don chop chance. he nod the ball commot. na waaa!	neutral
11096	if dem tell you say you fit enta taxi and driver no go worry you wit plenty tok tok till you reach wia you dey go but you go pay extra money, you go like am so?	neutral
6565	sorry we no ansa you shapaly. na side foot him dey use. if you watch football clips, e dey be like say he dey show him studs but again, if you luk well you go see say na him sidefoot dey use play am.	positive
9233	today na match day and we gats tidy lille!	positive
2517	nigeria oldest prisoner don get freedom	positive
4533	try am again. some pipu don sign up.	positive
4030	bruno fernandes don gree sign five year deal with , e fit extend am by one year — e go dey collect £150,000 per week [mirror]	positive
7298	madt o, madt o, madt o.	neutral
11791	ht: everton 1-0 man united. na lindelof wey score own goal. luke shaw na horrible player.	positive
431	man down! italian daniele rugani na di first juventus player to test positive to covid-19	negative
13890	ramadan fast: kano state sharia police don begin arrest 'prostitutes and criminals'	positive
1227	president buhari say make cbn stop say nigeria don attain food security.	neutral
6759	so you sabi. no worry, we go make am..	positive
12725	cameroon army di search for die bodi afta ship capsize for bakassi	negative
3303	afcon 2019: nigeria striker ighalo retire from national team	positive
4505	how di iran-us kasala fit affect west africa	negative
629	team news men dem wey dey start dis for us. ️	neutral
5060	na today we go know who we go play with for dis year . luk around for ya broda &amp; sista wey dey support manure utd &amp; assnal, and ask dem which group dem go dey.	positive
7179	oversabi make some military men cause katakata for elections - nigeria army	neutral
1564	77' batsman don show for fada abraham. abeg batsman save us.	positive
6434	chong don enter for martial.	positive
109	45' willian see post tear, you say no. willian abegggggggg!	positive
2312	employ 350,000 youth for public sector in two years - veep bawumia	positive
1058	ft: tottenham 0 vs 2. mourinho chop akpako belle full from him boi, lampard. e don tey wey we win, dis one dey totori us. we really knack dem throway. na willian do am for us . na clean sheet too. spurs fans cast as dem yab hustler die na wetin wey no gud for	positive
1867	alledge n33bn money laundering:  arraign suspected internet fraudster, ismaila mustapha, a.k.a. mompha for federal high court dis morning.	negative
5269	toni ann singh don win di 69th edition of di miss world pageant.	positive
3879	our men don show!	positive
1914	check out moments from di ️ “ for nigeria”	neutral
13426	you no even know your own handle 🤦‍️	negative
1648	we get mad love for lingard	positive
2832	i no dey fear man city, i dey fear phil jones.	positive
9199	everton oga ancelotti dey ready for 'emotional' return to stamford bridge today. how e go be and which side you dey?	neutral
13993	make we sign haaland? yes or no	positive
3189	oga paulo: “my belle dey totori me for dis important win for our home crowd front. i nid thank all our fans wey dey always dey provide beta support. we go continue to dey fight togeda wit our colours. daje roma!”	positive
12427	kanye west disappoint im fans again	negative
965	u get am (in flavour voice)	positive
