text,text_preprocessed,k10_label
"Kapital blong hem i Luxembourg, I blong hem i Belgium, [[Jemani]], [[Franis]].",Kapital blong hem i Luxembourg I blong hem i Belgium Jemani Franis,0_21
Dziecinów i wan vilej long taon blong Grabów nad Pilicą long saotis blong [[Polan]].,Dziecinów i wan vilej long taon blong Grabów nad Pilicą long saotis blong Polan,0_50
Yurop i wan [[Kontinen]].,Yurop i wan Kontinen,0_55
Kapitol blong hem i [[Beijing]].,Kapitol blong hem i Beijing,0_21
Kapital blong Rasia i [[Moskow]].,Kapital blong Rasia i Moskow,0_21
"Narafala bigwan taon long kaontri ia hemi [[San-Peterburg]], Novosibirsk, Kazan, etc.",Narafala bigwan taon long kaontri ia hemi SanPeterburg Novosibirsk Kazan etc,0_55
"oli save makem hause wetem lif blo hem, mat blo staon, basket blo kakae [[.Blo]] ademup , coconut oli makem copra lo hem blo keanem moni.",oli save makem hause wetem lif blo hem mat blo staon basket blo kakae Blo ademup coconut oli makem copra lo hem blo keanem moni,0_10
Oli ten bilif blong tru [[Jisas]] jioj:,Oli ten bilif blong tru Jisas jioj,0_23
"Bartosz Kamil Kurek (boen 29 Ogis 1988 long Wałbrzych), em i volibol pleya blong [[Polan]].",Bartosz Kamil Kurek em i volibol pleya blong Polan,0_58
Hem i bin transletem [[Baebol]] i kam long [[Inglis]].,Hem i bin transletem Baebol i kam long Inglis,0_55
Bry-sur-Marne stap taon blong [[Franis]].,BrysurMarne stap taon blong Franis,0_69
Tok Pisin hemi wan toktok blong [[Papua Niugini]] we fulap pipol oli tok.,Tok Pisin hemi wan toktok blong Papua_Niugini we fulap pipol oli tok,0_23
"Ol defren stori abaot [[Fas]] Visen ia, oli tokbaot wan semfala stori nomo, be samfala ditel mo samting we [[oli]] tokbaot plante nao i defren smol long ol narawan.",Ol defren stori abaot Fas Visen ia oli tokbaot wan semfala stori nomo be samfala ditel mo samting we oli tokbaot plante nao i defren smol long ol narawan,0_11
"Ol man we [[oli]] stap raetem histri, oli save se taem wan man i stap talem bakegen mo bakegen wan eksperiens blong hem long ol defren ples, mo long ol defren pipol ova long plante yia, bae wanwan stori ia bae i tokbaot bigwan sam defren pat blong eksperiens ia, mo bae i gat ol spesel ditel we i no stap long sam narafala ples.",Ol man we oli stap raetem histri oli save se taem wan man i stap talem bakegen mo bakegen wan eksperiens blong hem long ol defren ples mo long ol defren pipol ova long plante yia bae wanwan stori ia bae i tokbaot bigwan sam defren pat blong eksperiens ia mo bae i gat ol spesel ditel we i no stap long sam narafala ples,0_12
"Ol samting olsem we oli defren long ol stori ia blong [[Fas]] Visen, oli stap long ol defren skripja stori blong visen blong [[Pol]] long rod i go long Damaskes, mo long eksperiens blong Ol Aposol antap long Hil ia we [[Jisas]] I Kam [[Niu]] I Kam Narafala.",Ol samting olsem we oli defren long ol stori ia blong Fas Visen oli stap long ol defren skripja stori blong visen blong Pol long rod i go long Damaskes mo long eksperiens blong Ol Aposol antap long Hil ia we Jisas I Kam Niu I Kam Narafala,0_13
"Be yet, i nomata ol samting ia we oli defren, wan semfala stori i stap long evriwan long ol stori ia abaot [[Fas]] Visen.",Be yet i nomata ol samting ia we oli defren wan semfala stori i stap long evriwan long ol stori ia abaot Fas Visen,0_65
"[[Sam]] oli mekem mistek mo oli toktok bigwan se eni samting we i defren taem oli stap talem bakegen stori ia, i wan pruf se hemia i wan giaman stori.",Sam oli mekem mistek mo oli toktok bigwan se eni samting we i defren taem oli stap talem bakegen stori ia i wan pruf se hemia i wan giaman stori,0_14
"Man blong boteni i stadim ol [[tri]], flaoa, mos, algi, mo plant blong agrikulta.",Man blong boteni i stadim ol tri flaoa mos algi mo plant blong agrikulta,0_23
Pipol se i bin mekem fastaem Theorem blong Pythagoras blong [[Jiometri]].,Pipol se i bin mekem fastaem Theorem blong Pythagoras blong Jiometri,0_23
"Ilaesa R. Sno i talem bakegen tijing blong Profet [[Josef Smit]] se “nomata nem ia [Rilif Sosaeti] i wan nem blong tedei, sosaeti ia hem i blong longtaem bifo finis.",Ilaesa R Sno i talem bakegen tijing blong Profet Josef_Smit se “ nomata nem ia Rilif Sosaeti i wan nem blong tedei sosaeti ia hem i blong longtaem bifo finis,0_15
"Em i bin wan man blong at, [[saens]], miusik, [[matematikis]], [[boteni]], enjiniring, litorasa, [[jialoji]], skulpting, histori mo mekem ol map.",Em i bin wan man blong at saens miusik matematikis boteni enjiniring litorasa jialoji skulpting histori mo mekem ol map,0_16
"yut senta hemi wan skul,hemi trenem ol pikinini lo saet lo computa bich-vole basket-boll [[Mo]] hiphop karate paledanse rokstep taple-tenis trama mo samo.Lo yut senta yu save luk To se i kat skul blong ol disapiliti.",yut senta hemi wan skulhemi trenem ol pikinini lo saet lo computa bichvole basketboll Mo hiphop karate paledanse rokstep tapletenis trama mo samoLo yut senta yu save luk To se i kat skul blong ol disapiliti,0_17
"Hem i bin ded long 10 Jun 1926, [[Barcelona]], Catalonia, Spain.",Hem i bin ded long Jun Barcelona Catalonia Spain,0_55
Alice Augusta Ball (24 Julae 1892 - 31 Disemba 1916) emi bin wan African-American woman blong [[kemistri]].,Alice Augusta Ball emi bin wan AfricanAmerican woman blong kemistri,0_23
Emi bin fas wuman getem wan Master's Degree long Yunivesiti blong [[Hawaii]].,Emi bin fas wuman getem wan Masters Degree long Yunivesiti blong Hawaii,0_23
"Henri Heyart (boen long yia 1911 mo bin ded yia 2006), em i bin basketbol pleya blong [[Laksembog]].",Henri Heyart em i bin basketbol pleya blong Laksembog,0_58
"Konstantin Yuryevich Khabensky (toktok Rasia: Константин Юрьевич Хабенский, bon long 11 Januware 1972 long Leningrad (San-Peterburg)), em i akta mo filem daerekta blong [[Rasia]].",Konstantin Yuryevich Khabensky em i akta mo filem daerekta blong Rasia,0_23
"[[Grin pijin]], [[dakdak]], [[hoknaet]], sigal (pijin blong solwota), [[pijin blong hariken]], longfala nek, mo nalaklak ol i somfala kaen pijin.",Grin_pijin dakdak hoknaet sigal pijin blong hariken longfala nek mo nalaklak ol i somfala kaen pijin,0_23
"Georges Jean Raymond Pompidou i Hed blong Stet (presidens) blong [[Franis]], pati blong hem i ""Union des Démocrates pour la République"".",Georges Jean Raymond Pompidou i Hed blong Stet blong Franis pati blong hem i Union des Démocrates pour la République,0_18
"Ailan kapis hemi main vestable blong ol man vanuatu [[oli]] usum blong kaekae evri dei even sipos e ngat meat [[oli]] save boilem o frinem kapis nmo afta kaekae wetem rice , taro, banana o eny kaekae.",Ailan kapis hemi main vestable blong ol man vanuatu oli usum blong kaekae evri dei even sipos e ngat meat oli save boilem o frinem kapis nmo afta kaekae wetem rice taro banana o eny kaekae,0_19
Pedro Pablo Kuczynski Godard (boen 1938) i hed blong stet blong [[Peru]].,Pedro Pablo Kuczynski Godard i hed blong stet blong Peru,0_23
Federico Fellini (20 Januware 1920 – 31 Oktoba 1993) em i muvi daerekta blong [[Itali]].,Federico Fellini em i muvi daerekta blong Itali,0_23
"Arithmetic ((long Greek ἀριθμός arithmos, ""namba"") i stadi blong [[namba]] mo kwatiti, mo simpol operesen long namba: adisen, sustreksen, multiplikesen mo divisen.",Arithmetic i stadi blong namba mo kwatiti mo simpol operesen long namba adisen sustreksen multiplikesen mo divisen,0_23
Somkid Jatusripitak (bon long yia 1958) i politikis blong [[Taelan]].,Somkid Jatusripitak i politikis blong Taelan,0_23
Namyoung Stesen i relwei stesen long [[Seoul]].,Namyoung Stesen i relwei stesen long Seoul,0_4
"Seodaejeon Stesen i relwei stesen, stap long [[Daejeon]].",Seodaejeon Stesen i relwei stesen stap long Daejeon,0_4
"Ambrym aelan hemi wan volcanic aeland or majik aeland wea befo oli kollem mama blong tudak ,hemi stap long nort profens blong aeland .Hemi gat tu [[volcano]] wea i pulum plante Turis pipol i [[kam]] mo watchem kustom danis wetem good fren pipol .",Ambrym aelan hemi wan volcanic aeland or majik aeland wea befo oli kollem mama blong tudak hemi stap long nort profens blong aeland Hemi gat tu volcano wea i pulum plante Turis pipol i kam mo watchem kustom danis wetem good fren pipol,0_20
"Hem i stap klosap long Amerikan stet blong Teksas (long not), mo Belis mo [[Gwatemala]] (long saot).",Hem i stap klosap long Amerikan stet blong Teksas mo Belis mo Gwatemala,0_65
Kapital blong hem i [[Warsaw]].,Kapital blong hem i Warsaw,0_21
"Matematikis (Long Greek μάθημα ""máthēma"", “stadi, laning”) em i stadi blong ol [[namba]], jenis, ol shape, mo ol patern.",Matematikis em i stadi blong ol namba jenis ol shape mo ol patern,0_23
Aishwarya Rai Shrivastava Bachchan (boen 1973) em i akta blong [[India]].,Aishwarya Rai Shrivastava Bachchan em i akta blong India,0_69
Hem i bin talem se enjel Gabriel i bin kamaot long hem mo i bin givim hem wan mesej we i kam long Allah ([[God]]).,Hem i bin talem se enjel Gabriel i bin kamaot long hem mo i bin givim hem wan mesej we i kam long Allah,0_55
"Taon ia i gat 19772 man, kapital blong hem i [[Santiago Tequixquiac]].",Taon ia i gat man kapital blong hem i Santiago_Tequixquiac,0_21
"Leonhard Euler (15 Epril 1707 – 18 Septemba 1783) i bin wan man blong [[matematikis]], fisikis, [[astronomi]], lojik mo enjiniring blong Switzerland.",Leonhard Euler i bin wan man blong matematikis fisikis astronomi lojik mo enjiniring blong Switzerland,0_23
Medisin em i [[saens]] mo at blong ol badi blong ol pipol mo ol animol.,Medisin em i saens mo at blong ol badi blong ol pipol mo ol animol,0_23
[[Volkeno]] i bigfala hil blong lava.,Volkeno i bigfala hil blong lava,0_23
Ho Chi Minh City emi nambawan bigfala taon blong [[Vietnam]].,Ho Chi Minh City emi nambawan bigfala taon blong Vietnam,0_67
[[Tana]] ilan hemi wan ilan long [[Vanuatu]] we ol turist oli laekem from [[Yasur]] [[volcano]].,Tana ilan hemi wan ilan long Vanuatu we ol turist oli laekem from Yasur volcano,0_34
"string band hemi wan lokol musik blong yumi ol man vanuatu.spos yu wantem winim smol mani blo skul fee,yu save infaetem string band blo [[kam]] ple musik blo pulum ol pipol blong [[kam]] long smol kakae blo yu.mo sem taem oli [[kam]] pem kakae an watjem string band.",string band hemi wan lokol musik blong yumi ol man vanuatuspos yu wantem winim smol mani blo skul feeyu save infaetem string band blo kam ple musik blo pulum ol pipol blong kam long smol kakae blo yumo sem taem oli kam pem kakae an watjem string band,0_22
"Dmitry Alexandrovich ""Dima"" Muserskiy (bon long 29 Oktoba 1988 long Makiyivka long tede [[Yukren]]), em i wan volibol pleya blong [[Rasia]].",Dmitry Alexandrovich Dima Muserskiy em i wan volibol pleya blong Rasia,0_58
[[Mo]] ol man vanuatu oli laikem blong vitim beby long him tu.,Mo ol man vanuatu oli laikem blong vitim beby long him tu,0_23
[[From]] wanem popo i gud from him i blokim sik long bodi blong yumi.,From wanem popo i gud from him i blokim sik long bodi blong yumi,0_23
[[Mo]] i helpem bodi blong yumi tu.,Mo i helpem bodi blong yumi tu,0_23
"Wol Wo Tu hemi wan bigfala wo we hemi tek ples long 1939 kasem 1945 bitwin ol Allis (Inglan, [[Amerika]], USSR, [[Jaena]] mo ol fren blong trifala) mo Aksis ([[Jemani]], [[Japan]] mo ol fren blong tufala).",Wol Wo Tu hemi wan bigfala wo we hemi tek ples long kasem bitwin ol Allis mo Aksis,0_55
"Skin blo hem i black mo i smol olsem fruit blo nakatampol be i bigwan smol long hem nomo, hemi round mo blak outside be inside i kat four o tri [[korner]] .",Skin blo hem i black mo i smol olsem fruit blo nakatampol be i bigwan smol long hem nomo hemi round mo blak outside be inside i kat four o tri korner,0_24
Hemi wan sweat nut fulap man oli likem tumas long [[Vanuatu]].,Hemi wan sweat nut fulap man oli likem tumas long Vanuatu,0_34
"Afta topik blong Polanbol i ingkludum histri, rilesensip, rong ting blong [[Polan]].",Afta topik blong Polanbol i ingkludum histri rilesensip rong ting blong Polan,0_23
Wan Polanbol i stat wetem intanet batel bitwin pipol blong [[Polan]] mo nara pipol long drawball.com.,Wan Polanbol i stat wetem intanet batel bitwin pipol blong Polan mo nara pipol long drawballcom,0_23
Brigitte Anne-Marie Bardot (boen 28 Septemba 1934) i akta blong [[Franis]].,Brigitte AnneMarie Bardot i akta blong Franis,0_69
Annie Jump Cannon (11 Desemba 1863 – 13 Epril 1941) i bin wan wuman blong [[Astronomi]].,Annie Jump Cannon i bin wan wuman blong Astronomi,0_23
Goat o Nanigot hemi wan [[animol]] wea i stap lo plantesen yu pasem lo rop o i stap lo fens.,Goat o Nanigot hemi wan animol wea i stap lo plantesen yu pasem lo rop o i stap lo fens,0_65
"Hem i stap long [[Penama]] provens, klosap long Santo, Pentecost, mo Maewo aelan.",Hem i stap long Penama provens klosap long Santo Pentecost mo Maewo aelan,0_65
Provinsial senta blong Penama provens i stap long [[Saratamata]] long is Ambae.,Provinsial senta blong Penama provens i stap long Saratamata long is Ambae,0_65
Yu ting se yu stap long [[solwota]].,Yu ting se yu stap long solwota,0_65
Amerika i wan [[kontinen]].,Amerika i wan kontinen,0_55
"Leji (""Litchi chinensis"") hemi wan frut blong [[Guangdong]] mo [[Fujian]] provins long Jaena.",Leji hemi wan frut blong Guangdong mo Fujian provins long Jaena,0_23
"Niccolò Machiavelli (boen 3 May 1469 long Florence, daed 14 Septemba 1527 long Florence) em i bin wan blong [[Filosofi]] [[Itali]].",Niccolò Machiavelli em i bin wan blong Filosofi Itali,0_23
"Long saotsaot west to notnot is sait blong aeland I gad Meriu, Bongabonga, [[Mangarisu]], Euta, Itakomamo Matangi we oli toktok [[Namakura]] mo long notnott is to saotsaot west sait I gad Panita, Lumbukiti, Ravenga, Lupalea, Pele, Purao mo Kurumambe we oli toktok Nakanamanga.",Long saotsaot west to notnot is sait blong aeland I gad Meriu Bongabonga Mangarisu Euta Itakomamo Matangi we oli toktok Namakura mo long notnott is to saotsaot west sait I gad Panita Lumbukiti Ravenga Lupalea Pele Purao mo Kurumambe we oli toktok Nakanamanga,0_25
Seoul Stesen i big relwei stesen long [[Seoul]].,Seoul Stesen i big relwei stesen long Seoul,0_4
"Mariusz Łukasz Wlazły (boen 4 Ogis 1983 long Wieluń), em i volibol pleya blong [[Polan]].",Mariusz Łukasz Wlazły em i volibol pleya blong Polan,0_58
"Hemi wan gudfala kaekae we ol man oli wantem blo kakae usum ol difren stil blo kuk olsem mekem [[laplap]], bolem taem i raep, rusum mo tu oli man oli wantem kaekae taem i raep mo tu banana hemi save gro fulap wantaem.",Hemi wan gudfala kaekae we ol man oli wantem blo kakae usum ol difren stil blo kuk olsem mekem laplap bolem taem i raep rusum mo tu oli man oli wantem kaekae taem i raep mo tu banana hemi save gro fulap wantaem,0_26
"Katalan hem wan lanwis we olgeta i stap toktok long hem long Katalonia (tufala long notis Spain mo saotis [[Franis]]), Valencian Kaontry, Balearik Aelan, [[Andorra]], Alguer (wan siti blong [[Itali]]) mo wes hafples long Aragon.",Katalan hem wan lanwis we olgeta i stap toktok long hem long Katalonia Valencian Kaontry Balearik Aelan Andorra Alguer mo wes hafples long Aragon,0_27
"Diego María de la Concepción Juan Nepomuceno Estanislao de la Rivera y Barrientos Acosta y Rodríguez, (Diego Rivera; Disemba 8, 1886 – Novemba 24, 1957) i wan man blong at blong [[Meksiko]].",Diego María de la Concepción Juan Nepomuceno Estanislao de la Rivera y Barrientos Acosta y Rodríguez i wan man blong at blong Meksiko,0_28
KoŇĄskowola ( : [k…Ē…≤sk…Ē'v…Ēla]) i wan smol taon long [[Polan]].,KoŇĄskowola i wan smol taon long Polan,0_55
"""Bichelamar"") hem wan lanwis we olgeta i stap toktok long hem long [[Vanuatu]], mo hem nasonal lanwis blong kantri ia.",Bichelamar hem wan lanwis we olgeta i stap toktok long hem long Vanuatu mo hem nasonal lanwis blong kantri ia,0_29
"Narafala eksempol blong kriol olsem, igat [[Pijin]] blong [[Solomon Aelan]], [[Tok Pisin]] long PNG, ale Torres Strait Kriol long Kwinsilan ([[Ostrelia]]).",Narafala eksempol blong kriol olsem igat Pijin blong Solomon Aelan Tok Pisin long PNG ale Torres Strait Kriol long Kwinsilan,0_30
Buôn Ma Thuột i stap smol taon blong [[Vietnam]].,Buôn Ma Thuột i stap smol taon blong Vietnam,0_67
"Marion Anne Perrine ""Marine"" Le Pen (boen 5 Ogis 1968) em i politikis blong [[Franis]].",Marion Anne Perrine Marine Le Pen em i politikis blong Franis,0_69
Hem i bin berem ol gol plet mo afta i kamaot long [[Josef Smit]] long wan enjel.,Hem i bin berem ol gol plet mo afta i kamaot long Josef_Smit long wan enjel,0_55
"Tanna sup hemi wan kakae we hem i kam [[aut]] long sauten [[island]] blo [[Vanuatu]] we oli kolem [[Tanna]], fulap lo ol aeland blo [[Vanuatu]] tete tu oli stap atoptem kaen stael blo kook ia.",Tanna sup hemi wan kakae we hem i kam aut long sauten island blo Vanuatu we oli kolem Tanna fulap lo ol aeland blo Vanuatu tete tu oli stap atoptem kaen stael blo kook ia,0_31
Fulap lo ol man tete long [[Vanuatu]] oli traem blo atem ap ol different kind stael long kaen kaekae ia tu.,Fulap lo ol man tete long Vanuatu oli traem blo atem ap ol different kind stael long kaen kaekae ia tu,0_34
"Bae fulap [[island]] pae oli save atem ol style long kaen kakae ia hamas, be name Tanna sup hemi still stap yet, pae ol man save changem sweatness hamas be name i still stap sa mak.",Bae fulap island pae oli save atem ol style long kaen kakae ia hamas be name Tanna sup hemi still stap yet pae ol man save changem sweatness hamas be name i still stap sa mak,0_32
"[[Blo]] endem smol lukluk abautem [[Tanna]] sup , [[Tanna]] sup hemi wan gud kakae i save helpem man o woman long side blo haelt, grouth blo wan bikinini mo life expectancy blo wan man.",Blo endem smol lukluk abautem Tanna sup Tanna sup hemi wan gud kakae i save helpem man o woman long side blo haelt grouth blo wan bikinini mo life expectancy blo wan man,0_33
Be tanna sup hemi still kohed yet long ol [[island]] blo Vanuatu.,Be tanna sup hemi still kohed yet long ol island blo Vanuatu,0_55
Fes Praem Minista blong Vanuatu hemi Father [[Walter Lini]].,Fes Praem Minista blong Vanuatu hemi Father Walter_Lini,0_34
Long [[Vanuatu]] oli toktok long bitim 100 langwis blong ples.,Long Vanuatu oli toktok long bitim langwis blong ples,0_34
"[[Man]] we oli save moa langwis, bren blong hem i save moa helti.",Man we oli save moa langwis bren blong hem i save moa helti,0_21
Wilkes-Barre i stap smol taon blong [[Pennsylvania]].,WilkesBarre i stap smol taon blong Pennsylvania,0_67
[[Mo]] hemi wan spesel kakae blo ol baby.,Mo hemi wan spesel kakae blo ol baby,0_55
Kapital blong hem i [[Port Vila]].,Kapital blong hem i Port_Vila,0_21
[[Pedro Fernández de Quirós]] i bin kamtru long [[Vanuatu]] long 1606.,Pedro_Fernández_de_Quirós i bin kamtru long Vanuatu long,0_34
Hemi independent aot blong British mo [[Franis]] long 30 July 1980.,Hemi independent aot blong British mo Franis long July,0_23
[[Vanuatu]] i wan akipilego we i gat 83 smolfala aelan we [[oli]] bon blong ol volkeno (65 long ol aelan ia oli gat pipol we i sta liv ia).,Vanuatu i wan akipilego we i gat smolfala aelan we oli bon blong ol volkeno,0_34
Palamen blong [[Vanuatu]] i gat 52 memba.,Palamen blong Vanuatu i gat memba,0_34
Malvatu Mauri: Nasonal Kaonsel blong olgeta Jif Politikol pati blong [[Vanuatu]] i: Populaesen blong [[Vanuatu]].,Malvatu Mauri Nasonal Kaonsel blong olgeta Jif Politikol pati blong Vanuatu i Populaesen blong Vanuatu,0_34
Ol tufala spot we ol man [[Vanuatu]] i stap pleiplei long hemi oltaem hemi i kriket mo futbol.,Ol tufala spot we ol man Vanuatu i stap pleiplei long hemi oltaem hemi i kriket mo futbol,0_34
Be wan nogud samting i se  ol yangfala pikinini blong [[Vanuatu]] i nogat fulap janis blong tekem pat long tufala spot ia  from inogat gudfala okanaesesen aotsed long Efate long ol narafala aelan.,Be wan nogud samting i se ol yangfala pikinini blong Vanuatu i nogat fulap janis blong tekem pat long tufala spot ia from inogat gudfala okanaesesen aotsed long Efate long ol narafala aelan,0_35
Nasonal lanwis blong Vanuatu emi [[Bislama]].,Nasonal lanwis blong Vanuatu emi Bislama,0_34
Is Java hem i provins long [[Indonesia]].,Is Java hem i provins long Indonesia,0_55
Dziecinów i wan vilej long taon blong Sobienie-Jeziory long is blong [[Polan]].,Dziecinów i wan vilej long taon blong SobienieJeziory long is blong Polan,0_50
Kapital blong hem i [[London]].,Kapital blong hem i London,0_21
"Kween blong Yunaeted Kingdom hemi [[Elisabet II]], mo praem minista blong Yunaeted Kingdom hemi Boris Johnson.",Kween blong Yunaeted Kingdom hemi Elisabet_II mo praem minista blong Yunaeted Kingdom hemi Boris Johnson,0_23
