Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property,Pred_Property,Prediction
Burkina Faso esa kuntrii i ' Afreka .,Burkina Faso,Afreka,Q965,Q15,P30,P1376,False
T ' Repablik a ' Nauruu ( also spelt Ripublik Naoero ) esa ailen kuntrii i ' Pesifik Oshen .,T ' Repablik a ' Nauruu,ailen kuntrii,Q697,Q112099,P31,P361,False
Madagascar esa ailen kuntrii i t'Indien Oshun ner Afreka .,Madagascar,ailen kuntrii,Q1019,Q112099,P31,P2341,False
"Nyuu Ziilan esa ailen kuntrii eist o ' Ostrielya , i ' a ' sowth Pesifik Oshen .",Nyuu Ziilan,ailen kuntrii,Q664,Q112099,P31,P31,True
Mauritius esa ailen kuntrii i ' Afreka .,Mauritius,ailen kuntrii,Q1027,Q112099,P31,P31,True
Cape Verde esa ailen kuntrii i ' Afreka .,Cape Verde,ailen kuntrii,Q1011,Q112099,P31,P31,True
Saint Lucia esa ailen kuntrii i ' Etlantic Oshen .,Saint Lucia,ailen kuntrii,Q760,Q112099,P31,P31,True
Hispanyola esa ailen in North Merika .,Hispanyola,ailen,Q25277,Q23442,P31,P131,False
"Batlshep esa ailen i ' Alaska , Yunitid Staits .",Batlshep,ailen,Q4873233,Q23442,P31,P1376,False
"Saint Vincent a ' t ' Grenadines esa ailen kuntrii i ' Etlantic Oshen , i ' t ' karibiyen .",Saint Vincent a ' t ' Grenadines,ailen kuntrii,Q757,Q112099,P31,P31,True
Trinidad a ' Tobago esa ailen kuntrii i ' Etlantic Oshen .,Trinidad a ' Tobago,ailen kuntrii,Q754,Q112099,P31,P17,False
Serbyan esa major laenghwij a ' Serbya .,Serbyan,laenghwij,Q9299,Q4536543,P31,P31,True
Bulgeriyan esa laenghwij i Bulgeriya .,Bulgeriyan,laenghwij,Q7918,Q34770,P31,P361,False
Pitkern esa laenghwij spok'n i ' Pitkern Ailen .,Pitkern,laenghwij,Q36554,Q34770,P31,P31,True
"Samoan esa Polynesian laenghwij , es spoken i ' Samoa .",Samoan,laenghwij,Q34011,Q34770,P31,P31,True
Erabek esa laenghwij i ' t ' Medl Eist .,Erabek,laenghwij,Q13955,Q34770,P31,P106,False
Faaroyean esa ofishol laenghwij i ' dem Faaro Ailen ( Denmark ) .,Faaroyean,laenghwij,Q25258,Q34770,P31,P31,True
T ' Hawayiian esa laenghwij tal'n i ' Hawayii ( Yunitid Staits ) .,T ' Hawayiian,laenghwij,Q33569,Q34770,P31,P361,False
Maaori esa laenghwij mien spoken i ' Nyuu Ziilan .,Maaori,laenghwij,Q36451,Q34770,P31,P31,True
Rushan esa em laenghwij i ' Rusha .,Rushan,laenghwij,Q7737,Q34770,P31,P361,False
Shikotaan esa ailen i ' Pesifik Oshen o ' Archiipelago dem Kuril Ailen i ' Rusha .,Shikotaan,ailen,Q1043128,Q23442,P31,P31,True
Yaan Meien esa ailen north a ' Norwaii en esa dapendecii a ' Norwaii .,Yaan Meien,ailen,Q14056,Q23442,P31,P31,True
Costa Rica esa kuntrii i ' Sentril Merika .,Costa Rica,Sentril Merika,Q800,Q27611,P361,P1376,False
Beles esa kuntrii i ' Sentril Merika .,Beles,Sentril Merika,Q242,Q27611,P361,P31,False
Nicaragua esa kuntrii i ' Sentril Merika .,Nicaragua,Sentril Merika,Q811,Q27611,P361,P1376,False
